fbus,tbus,r,x,b,rateA,rateB,rateC,ratio,angle,status,angmin,angmax,Pf,Qf,Pt,Qt
1,1405,0.00278,0.01149,0.0019,166.999996,555.999994,209.99999,1,0,1,1,0,19.0553097847474,-0.496924950164159,-19.0452746775985,0.347286621858387
1,1404,0.00277,0.01146,0.0019,166.999996,555.999994,209.99999,1,0,1,1,0,74.8409732872516,-9.08645205342879,-74.6845742396324,9.54248859986169
1,1403,0.00276,0.01141,0.00189,166.999996,555.999994,209.99999,1,0,1,1,0,74.917802370284,-9.10097433302356,-74.7616449656416,9.55652789064948
1,1402,0.0028,0.01156,0.00192,115.999997,555.999994,145.000005,1,0,1,2,0,73.827618493395,-15.9306788369058,-73.6689905943576,16.3924047445963
1,1422,0.0019,0.00785,0.0013,166.999996,555.999994,209.99999,1,0,1,1,0,25.3275025023304,-0.135057691396253,-25.3153911060046,0.0543334559049443
1,1551,0.00437,0.01805,0.00299,555.999994,555.999994,555.999994,1,0,1,2,0,-174.863813143344,8.61566224430225,176.194953929345,-3.42033833353673
1,1551,0.00477,0.01973,0.00327,555.999994,555.999994,555.999994,1,0,1,1,0,-159.989307487741,7.80416167972499,161.205574589867,-3.10458292067469
1,1550,0.02427,0.10034,0.01662,115.999997,555.999994,145.000005,1,0,1,2,0,-70.8134232213173,8.90547487118055,72.0456649053759,-5.5003524879301
1,1550,0.02427,0.10034,0.01662,115.999997,555.999994,145.000005,1,0,1,1,0,-70.8134232213173,8.90547487118055,72.0456649053759,-5.5003524879301
1,242,0.00663,0.02741,0.00454,166.999996,555.999994,209.99999,1,0,1,1,0,44.9228223461907,-9.9485196237902,-44.7836442002164,10.0671387903698
1,228,0.01336,0.05524,0.00915,166.999996,555.999994,209.99999,1,0,1,2,0,41.4681569920853,-4.83169413987911,-41.2373293778819,4.86790184213912
1,228,0.01207,0.04989,0.00826,166.999996,555.999994,209.99999,1,0,1,1,0,45.9138498677691,-5.25899022887265,-45.6581954388424,5.48681851794197
1,199,0.00254,0.01051,0.00174,166.999996,555.999994,209.99999,1,0,1,1,0,17.8882986967072,-0.1420939741537,-17.880222099444,0.000486782975426224
1,1402,0.0028,0.01156,0.00192,115.999997,555.999994,145.000005,1,0,1,1,0,73.827618493395,-15.9306788369058,-73.6689905943576,16.3924047445963
4,193,0.00102,0.00421,0.0007,166.999996,555.999994,209.99999,1,0,1,1,0,25.0344971911703,-0.0541088239791002,-25.0279991714039,0.0120823885723532
4,449,0.00637,0.02634,0.00436,166.999996,555.999994,209.99999,1,0,1,1,0,12.9244004537824,-1.82001758589029,-12.9134176295248,1.43667619699069
4,193,0.00103,0.00425,0.0007,166.999996,555.999994,209.99999,1,0,1,3,0,24.7984646120701,-0.055625142061954,-24.7920260339656,0.0133453970967555
4,1527,0.00495,0.0211,0.0027,166.999996,555.999994,209.99999,1,0,1,2,0,-80.5190668998221,0.981793561165982,80.8453455968811,0.142336054211949
4,1527,0.00495,0.0211,0.0027,166.999996,555.999994,209.99999,1,0,1,1,0,-80.5190668998221,0.981793561165982,80.8453455968811,0.142336054211949
4,193,0.00105,0.00435,0.00072,166.999996,555.999994,209.99999,1,0,1,2,0,24.2337845426199,-0.0338355704129958,-24.2275164612266,-0.0110104056618078
9,851,0.00323,0.01336,0.00221,240.00001,555.999994,265.00001,1,0,1,1,0,116.161638199297,3.9459375594933,-115.736483901593,-2.41331472401528
9,524,0.01092,0.04516,0.00748,555.999994,555.999994,555.999994,1,0,1,1,0,6.72630330611089,8.9272149663464,-6.71226593331006,-9.63321669080119
10,450,0.00418,0.01729,0.00286,166.999996,555.999994,209.99999,1,0,1,1,0,-14.8093969999997,-4.32596666821716e-13,14.8188741707249,-0.237649242016507
11,489,0.00196,0.00812,0.00134,166.999996,555.999994,209.99999,1,0,1,1,0,11.3060806468573,-10.5406471284211,-11.3015117429399,10.4229669683294
13,1442,0.00156,0.00646,0.00107,166.999996,555.999994,209.99999,1,0,1,1,0,-9.15298460074721,-3.34098646548137,9.15441933473981,3.23685946742065
13,196,0.00156,0.00645,0.00107,166.999996,555.999994,209.99999,1,0,1,1,0,-9.14086923270225,-3.3422921575713,9.14230073458399,3.23814264544556
14,460,0.00143,0.0059,0.00098,166.999996,555.999994,209.99999,1,0,1,1,0,2.07706393512908,-0.0990208841928195,-2.07700300000044,2.4985222224494e-12
15,402,0.0021,0.0087,0.00144,166.999996,555.999994,209.99999,1,0,1,1,0,-15.3996401810688,4.81162920990749,15.4049088956023,-4.93960477292914
16,391,0.02118,0.08756,0.0145,166.999996,555.999994,209.99999,1,0,1,1,0,38.8208416297877,-8.85189660095632,-38.496227591333,8.70661983829824
16,1394,0.02598,0.10743,0.01779,166.999996,555.999994,209.99999,1,0,1,1,0,33.9801148502705,-8.23251612206207,-33.6742310617564,7.67220818984654
17,628,0.0017,0.0085,0.064,300,300,329.999995,1,0,1,0,0,156.19415509728,-64.739894657138,-155.726674173938,60.5030461851538
