metric,value,unit,source,note
power_flow_success,1,flag,runpf,
structural_fingerprint,,text,input,9dac1ee772c57cddc32fb5a70f0d123d
operating_point_fingerprint,,text,input,55f04954d411a5b2ca731e8916752c17
total_system_load,30349.76136,MW,runpf,
total_NY_load,10902.2198,MW,runpf,
NY_generation,12076.52145,MW,runpf,
system_losses,420.7600954,MW,runpf,
minimum_voltage,0.9438285512,p.u.,runpf,
maximum_voltage,1.07625,p.u.,runpf,
max_P_above_PMAX,2624.42236,MW,audit,
max_P_below_PMIN,0,MW,audit,
max_Q_above_QMAX,0,MVAr,audit,
max_Q_below_QMIN,0,MVAr,audit,
reference_bus_id,78,bus,runpf,
interface_Total_East_proxy,-590.8492429,MW,runpf,F-G
interface_Central_East,328.9371727,MW,runpf,E-F
interface_Moses_South,60.98276985,MW,runpf,D-E
interface_UPNY_ConEd,-1607.266746,MW,runpf,G-H
interface_Millwood_South,-1749.348237,MW,runpf,H-I
interface_Dunwoodie_South,-969.4030648,MW,runpf,I-J
interface_ConEd_LIPA_IK,90.27581181,MW,runpf,I-K
interface_ConEd_LIPA_total,90.27581181,MW,runpf,I-K
