"Time Stamp","Time Zone","Name","PTID","Integrated Load"
"08/25/2026 00:00:00","EDT","CAPITL",61757,1268.098
"08/25/2026 00:00:00","EDT","CENTRL",61754,1521.5373
"08/25/2026 00:00:00","EDT","DUNWOD",61760,635.1183
"08/25/2026 00:00:00","EDT","GENESE",61753,959.6527
"08/25/2026 00:00:00","EDT","HUD VL",61758,1020.7841
"08/25/2026 00:00:00","EDT","LONGIL",61762,2319.4353
"08/25/2026 00:00:00","EDT","MHK VL",61756,720.6599
"08/25/2026 00:00:00","EDT","MILLWD",61759,225.4322
"08/25/2026 00:00:00","EDT","N.Y.C.",61761,5551.8956
"08/25/2026 00:00:00","EDT","NORTH",61755,531.8645
"08/25/2026 00:00:00","EDT","WEST",61752,1489.5841
"08/25/2026 01:00:00","EDT","CAPITL",61757,1222.7973
"08/25/2026 01:00:00","EDT","CENTRL",61754,1465.0567
"08/25/2026 01:00:00","EDT","DUNWOD",61760,595.4748
"08/25/2026 01:00:00","EDT","GENESE",61753,924.6855
"08/25/2026 01:00:00","EDT","HUD VL",61758,967.6814
"08/25/2026 01:00:00","EDT","LONGIL",61762,2146.6999
"08/25/2026 01:00:00","EDT","MHK VL",61756,695.5461
"08/25/2026 01:00:00","EDT","MILLWD",61759,216.6614
"08/25/2026 01:00:00","EDT","N.Y.C.",61761,5283.7889
"08/25/2026 01:00:00","EDT","NORTH",61755,526.0685
"08/25/2026 01:00:00","EDT","WEST",61752,1457.8309
"08/25/2026 02:00:00","EDT","CAPITL",61757,1198.4538
"08/25/2026 02:00:00","EDT","CENTRL",61754,1440.7155
"08/25/2026 02:00:00","EDT","DUNWOD",61760,565.9938
"08/25/2026 02:00:00","EDT","GENESE",61753,902.6745
"08/25/2026 02:00:00","EDT","HUD VL",61758,930.222
"08/25/2026 02:00:00","EDT","LONGIL",61762,2027.1124
"08/25/2026 02:00:00","EDT","MHK VL",61756,681.9284
"08/25/2026 02:00:00","EDT","MILLWD",61759,207.3441
"08/25/2026 02:00:00","EDT","N.Y.C.",61761,5099.8703
"08/25/2026 02:00:00","EDT","NORTH",61755,521.4834
"08/25/2026 02:00:00","EDT","WEST",61752,1425.9509
"08/25/2026 03:00:00","EDT","CAPITL",61757,1183.9475
"08/25/2026 03:00:00","EDT","CENTRL",61754,1424.7994
"08/25/2026 03:00:00","EDT","DUNWOD",61760,546.6106
"08/25/2026 03:00:00","EDT","GENESE",61753,891.7109
"08/25/2026 03:00:00","EDT","HUD VL",61758,906.7104
"08/25/2026 03:00:00","EDT","LONGIL",61762,1949.0836
"08/25/2026 03:00:00","EDT","MHK VL",61756,674.8111
"08/25/2026 03:00:00","EDT","MILLWD",61759,197.6366
"08/25/2026 03:00:00","EDT","N.Y.C.",61761,4965.7474
"08/25/2026 03:00:00","EDT","NORTH",61755,519.2658
"08/25/2026 03:00:00","EDT","WEST",61752,1412.3778
"08/25/2026 04:00:00","EDT","CAPITL",61757,1199.2309
"08/25/2026 04:00:00","EDT","CENTRL",61754,1438.2837
"08/25/2026 04:00:00","EDT","DUNWOD",61760,532.461
"08/25/2026 04:00:00","EDT","GENESE",61753,899.2498
"08/25/2026 04:00:00","EDT","HUD VL",61758,892.396
"08/25/2026 04:00:00","EDT","LONGIL",61762,1937.8911
"08/25/2026 04:00:00","EDT","MHK VL",61756,682.3739
"08/25/2026 04:00:00","EDT","MILLWD",61759,203.0703
"08/25/2026 04:00:00","EDT","N.Y.C.",61761,4933.8484
"08/25/2026 04:00:00","EDT","NORTH",61755,521.2195
"08/25/2026 04:00:00","EDT","WEST",61752,1424.0079
"08/25/2026 05:00:00","EDT","CAPITL",61757,1253.5678
"08/25/2026 05:00:00","EDT","CENTRL",61754,1485.1324
"08/25/2026 05:00:00","EDT","DUNWOD",61760,560.1467
"08/25/2026 05:00:00","EDT","GENESE",61753,938.7302
"08/25/2026 05:00:00","EDT","HUD VL",61758,916.3388
"08/25/2026 05:00:00","EDT","LONGIL",61762,1994.5766
"08/25/2026 05:00:00","EDT","MHK VL",61756,718.7478
"08/25/2026 05:00:00","EDT","MILLWD",61759,206.7559
"08/25/2026 05:00:00","EDT","N.Y.C.",61761,5096.1326
"08/25/2026 05:00:00","EDT","NORTH",61755,532.9123
"08/25/2026 05:00:00","EDT","WEST",61752,1471.2512
"08/25/2026 06:00:00","EDT","CAPITL",61757,1314.4339
"08/25/2026 06:00:00","EDT","CENTRL",61754,1601.8889
"08/25/2026 06:00:00","EDT","DUNWOD",61760,587.9621
"08/25/2026 06:00:00","EDT","GENESE",61753,1003.3147
"08/25/2026 06:00:00","EDT","HUD VL",61758,944.3973
"08/25/2026 06:00:00","EDT","LONGIL",61762,2082.9318
"08/25/2026 06:00:00","EDT","MHK VL",61756,771.7643
"08/25/2026 06:00:00","EDT","MILLWD",61759,231.301
"08/25/2026 06:00:00","EDT","N.Y.C.",61761,5449.3647
"08/25/2026 06:00:00","EDT","NORTH",61755,547.3217
"08/25/2026 06:00:00","EDT","WEST",61752,1546.4756
"08/25/2026 07:00:00","EDT","CAPITL",61757,1328.7928
"08/25/2026 07:00:00","EDT","CENTRL",61754,1680.281
"08/25/2026 07:00:00","EDT","DUNWOD",61760,621.5392
"08/25/2026 07:00:00","EDT","GENESE",61753,1040.7491
"08/25/2026 07:00:00","EDT","HUD VL",61758,969.8335
"08/25/2026 07:00:00","EDT","LONGIL",61762,2186.4735
"08/25/2026 07:00:00","EDT","MHK VL",61756,786.2936
"08/25/2026 07:00:00","EDT","MILLWD",61759,249.2953
"08/25/2026 07:00:00","EDT","N.Y.C.",61761,5842.4404
"08/25/2026 07:00:00","EDT","NORTH",61755,573.0968
"08/25/2026 07:00:00","EDT","WEST",61752,1620.9777
"08/25/2026 08:00:00","EDT","CAPITL",61757,1285.0825
"08/25/2026 08:00:00","EDT","CENTRL",61754,1665.2793
"08/25/2026 08:00:00","EDT","DUNWOD",61760,641.4805
"08/25/2026 08:00:00","EDT","GENESE",61753,1065.1085
"08/25/2026 08:00:00","EDT","HUD VL",61758,943.3559
"08/25/2026 08:00:00","EDT","LONGIL",61762,2259.0114
"08/25/2026 08:00:00","EDT","MHK VL",61756,776.0702
"08/25/2026 08:00:00","EDT","MILLWD",61759,248.7521
"08/25/2026 08:00:00","EDT","N.Y.C.",61761,6161.2983
"08/25/2026 08:00:00","EDT","NORTH",61755,564.7049
"08/25/2026 08:00:00","EDT","WEST",61752,1653.7186
"08/25/2026 09:00:00","EDT","CAPITL",61757,1258.1796
"08/25/2026 09:00:00","EDT","CENTRL",61754,1641.575
"08/25/2026 09:00:00","EDT","DUNWOD",61760,648.064
