scenario_id,x_multiplier,device_profile,eta,status,note,voltage_penalty_rho,scaled_branch_count,opf_success,opf_raw_info,objective,bus_count,branch_count,gen_count,added_device_report_count,added_device_result_count,total_pd_mw,total_qd_mvar,total_pg_mw,total_qg_mvar,boundary_target_p_mw,boundary_target_q_mvar,added_device_pg_mw,added_device_qg_mvar,added_device_pmax_mw,added_device_qabs_limit_mvar,min_voltage,max_voltage,at_vmax_count,at_vmin_count,rate_a_overload_count,max_rate_a_overload_mva,max_added_branch_loading_pct,total_east_proxy_flow_mw,upny_coned_flow_mw,millwood_south_flow_mw,dunwoodie_south_flow_mw,coned_lipa_total_flow_mw
S1_2025_SUMMER_PEAK_PUBLIC,1,none,1,ok,,0,12,0,0,258092.778070102,49,81,31,0,0,10902.2197987,1716.5,9156.03663505143,5578.31076367138,-1107.98572581365,-853.365467632651,0,0,0,0,0.9,1.1,18,1,0,0,64.7708335542836,2772.86768854111,2019.3113834595,1717.64261575708,3212.7009458401,1293.1249845546
S2_2025_WINTER_PEAK_PUBLIC,1,none,1,ok,,0,12,0,0,259859.81866931,49,81,31,0,0,10902.2197987,1716.5,9629.61811227551,5132.76804489317,-1107.98572581365,-853.365467632651,0,0,0,0,0.900079708014848,1.09999778882556,2,0,0,0,66.3380716817247,2780.68424864501,2206.30371284736,2445.40634680287,2845.30616516039,886.484292463572
S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,1,none,1,ok,,0,12,0,0,257553.603594956,49,81,31,0,0,10902.2197987,1716.5,9400.81825592688,5569.65973069424,-1107.98572581365,-853.365467632651,0,0,0,0,0.900000082507725,1.0999999268973,11,1,0,0,63.5793929879993,2816.48449885785,2394.36386880828,2107.39050409659,3692.94995542079,660.238767736577
S4_2025_HIGH_NYC_LI_LOAD_PUBLIC,1,none,1,ok,,0,12,0,0,257825.745649035,49,81,31,0,0,10902.2197987,1716.5,9040.32396037294,5604.11647381279,-1107.98572581365,-853.365467632651,0,0,0,0,0.9,1.1,18,1,0,0,64.5530997593363,2792.63424477769,2042.13265004789,1736.68021655545,3319.29941065233,1326.72048291704
S5_2025_HIGH_TOTAL_EAST_PUBLIC,1,none,1,ok,,0,12,0,0,261105.373271483,49,81,31,0,0,10902.2197987,1716.5,9030.4169260624,5550.8958860975,-1107.98572581365,-853.365467632651,0,0,0,0,0.900115332399837,1.09998778603859,0,0,0,0,64.7923174492983,2740.66387554932,2042.99478593095,1825.00906899406,3340.97874824209,1286.20902467564
S6_2025_LOW_TOTAL_EAST_PUBLIC,1,none,1,ok,,0,12,0,0,258059.902638978,49,81,31,0,0,10902.2197987,1716.5,9568.57093904769,5513.25843236644,-1107.98572581365,-853.365467632651,0,0,0,0,0.9,1.1,18,1,0,0,64.6312765073572,2784.51186344297,2085.09610112113,1807.90957714475,3109.36834979528,1029.51162614536
S1_2025_SUMMER_PEAK_PUBLIC,1,pq_supply_vpenalty,1,ok,,10000,12,1,1,24319689.2591188,49,81,37,6,6,10902.2197987,1716.5,11478.7779560508,5791.54146913478,-1107.98572581365,-853.365467632651,2160.22982201339,1302.00522657047,7450,3350,0.9,1.1,13,1,0,0,69.9137767370416,2917.53848559676,2152.16557588626,1850.57612114575,1810.64709208664,753.332713227125
S2_2025_WINTER_PEAK_PUBLIC,1,pq_supply_vpenalty,1,ok,,10000,12,1,1,24178315.0089494,49,81,37,6,6,10902.2197987,1716.5,11564.4021501,6067.35791404585,-1107.98572581365,-853.365467632651,1624.8890414231,1266.30232993399,7450,3350,0.9,1.1,14,1,0,0,68.7864608123433,2811.44830520959,2107.09139667627,1785.02737665845,1821.64128862281,509.832248291856
S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,1,pq_supply_vpenalty,1,ok,,10000,12,1,1,24248991.7500108,49,81,37,6,6,10902.2197987,1716.5,11480.1588115341,5843.24703040607,-1107.98572581365,-853.365467632651,1898.62406438844,1371.50733089349,7450,3350,0.9,1.1,15,1,0,0,69.9057672102861,2987.41148792954,2551.22560140482,2262.78698245059,2428.99951303009,258.806232978336
S4_2025_HIGH_NYC_LI_LOAD_PUBLIC,1,pq_supply_vpenalty,1,ok,,10000,12,1,1,24349151.9674047,49,81,37,6,6,10902.2197987,1716.5,11470.3760099947,5752.89113927399,-1107.98572581365,-853.365467632651,2270.85205690949,1310.24504458332,7450,3350,0.9,1.1,13,1,0,0,70.1344043835197,2941.29110753719,2178.99273980529,1873.62059683635,1844.28129980744,762.697241522043
S5_2025_HIGH_TOTAL_EAST_PUBLIC,1,pq_supply_vpenalty,1,ok,,10000,12,1,1,24345224.244173,49,81,37,6,6,10902.2197987,1716.5,11483.2032871061,5825.10776256302,-1107.98572581365,-853.365467632651,2255.90557870134,1296.14728160565,7450,3350,0.9,1.1,13,1,0,0,69.7217914783867,2882.40918394454,2164.02944692603,1878.89029618323,1878.46875579047,732.577883830136
S6_2025_LOW_TOTAL_EAST_PUBLIC,1,pq_supply_vpenalty,1,ok,,10000,12,1,1,24209193.2724761,49,81,37,6,6,10902.2197987,1716.5,11487.3209576715,5831.32982721467,-1107.98572581365,-853.365467632651,1743.68021855303,1311.58355651584,7450,3350,0.9,1.1,13,1,0,0,69.7377721879211,2929.17810482491,2217.99882488236,1940.94269434672,1971.53185806224,601.149637786433
