experiment,load_scenario_id,external_scenario_id,status,opf_success,opf_raw_info,objective,total_load_mw,total_generation_mw,losses_mw,boundary_equiv_pg_mw,boundary_equiv_qg_mvar,min_voltage,max_voltage,voltage_upper_bound_count,voltage_lower_bound_count,rate_a_overload_count,max_rate_a_overload_mva,total_east_proxy_flow_mw,upny_coned_flow_mw,dunwoodie_south_flow_mw,note
B_S1_LOAD_S1_BOUNDARY,,S1_MEASURED_BOUNDARY,ok,1,1,233621.198446261,10902.2197987,11186.369948092,284.15014939201,-1107.98572581365,-853.365467632651,1.00430269604209,1.1,10,0,0,0,1379.29659816008,1524.50976050149,-835.348704558112,
C_S1_LOAD_PUBLIC_EXTERNAL,,S1_2025_SUMMER_PEAK_PUBLIC,ok,1,1,214581.825662852,10902.2197987,11414.0752921179,511.855493417937,92.7889737289091,23.2551088959784,0.99188888166217,1.1,14,0,0,6.3268089434132e-08,1974.24747411025,1772.108248045,-1175.46575588966,
D_PUBLIC_LOAD_PUBLIC_EXTERNAL,S1_2025_SUMMER_PEAK_PUBLIC,S1_2025_SUMMER_PEAK_PUBLIC,ok,0,0,268708.528166419,10902.2197987,8804.38501616079,-2097.83478253921,92.7889737289091,23.2551088959784,0.989043763149912,1.1,12,0,0,1.90375430975109e-08,2499.31747920627,1447.57517438354,2469.47539038452,
C_S1_LOAD_PUBLIC_EXTERNAL,,S2_2025_WINTER_PEAK_PUBLIC,ok,1,1,204078.188986305,10902.2197987,11361.836197629,459.61639892902,1461.85190208034,366.374621967386,1.00010581660692,1.1,15,0,0,6.32678620604565e-08,1699.73654247256,1877.83680470827,-1357.71915026089,
D_PUBLIC_LOAD_PUBLIC_EXTERNAL,S2_2025_WINTER_PEAK_PUBLIC,S2_2025_WINTER_PEAK_PUBLIC,ok,0,0,258218.208077338,10902.2197987,10048.9543400893,-853.265458610702,1461.85190208034,366.374621967386,0.900005475399605,1.1,14,2,0,0,2499.61710329112,1865.11286512932,2105.53647852957,
C_S1_LOAD_PUBLIC_EXTERNAL,,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,ok,1,1,227620.731027158,10902.2197987,11312.7047767015,410.484978001523,82.3046423956917,20.6274877783239,0.990415841052351,1.1,13,0,0,6.32702494840487e-08,1287.35592063582,1386.6026638455,-1174.91134607,
D_PUBLIC_LOAD_PUBLIC_EXTERNAL,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,ok,0,0,264964.136458016,10902.2197987,9246.47310923608,-1655.74668946392,82.3046423956917,20.6274877783239,0.962864398684329,1.1,12,0,0,1.71280589711387e-08,2497.93916574577,2053.84898067969,3204.21657736449,
C_S1_LOAD_PUBLIC_EXTERNAL,,S4_2025_HIGH_NYC_LI_LOAD_PUBLIC,ok,1,1,218629.542310773,10902.2197987,11407.4802465817,505.260447881679,-47.771236693892,-11.9726004800706,0.993119937056588,1.1,13,0,0,6.32692263025092e-08,1913.53160803326,1654.4268415423,-1151.38458197343,
D_PUBLIC_LOAD_PUBLIC_EXTERNAL,S4_2025_HIGH_NYC_LI_LOAD_PUBLIC,S4_2025_HIGH_NYC_LI_LOAD_PUBLIC,ok,0,0,268574.677810414,10902.2197987,8562.79981564569,-2339.41998305431,-47.771236693892,-11.9726004800706,0.997128064656544,1.1,11,0,0,1.701073415461e-08,2498.55716587837,1390.77992984622,2588.77703362944,
C_S1_LOAD_PUBLIC_EXTERNAL,,S5_2025_HIGH_TOTAL_EAST_PUBLIC,ok,1,1,219893.59079113,10902.2197987,11407.0927737125,504.872975012502,420.059642000211,105.276869922714,0.990209783283336,1.1,15,0,0,6.3268089434132e-08,1912.75467864219,1549.26630109273,-1208.04080504103,
D_PUBLIC_LOAD_PUBLIC_EXTERNAL,S5_2025_HIGH_TOTAL_EAST_PUBLIC,S5_2025_HIGH_TOTAL_EAST_PUBLIC,ok,0,0,264905.449759778,10902.2197987,8634.9121007719,-2267.30769792809,420.059642000211,105.276869922714,0.969974009589066,1.1,13,0,0,1.90270839084405e-08,2499.87092742535,1324.61411577216,2573.77913524048,
C_S1_LOAD_PUBLIC_EXTERNAL,,S6_2025_LOW_TOTAL_EAST_PUBLIC,ok,1,1,220533.339999067,10902.2197987,11310.9857260232,408.76592732318,-389.215064635112,-97.546490151821,0.993323667714199,1.1,13,0,0,6.32699084235355e-08,1362.44017994897,1558.96210135438,-1177.69337998252,
D_PUBLIC_LOAD_PUBLIC_EXTERNAL,S6_2025_LOW_TOTAL_EAST_PUBLIC,S6_2025_LOW_TOTAL_EAST_PUBLIC,ok,0,0,269134.465365054,10902.2197987,9545.67196409673,-1356.54783460327,-389.215064635112,-97.546490151821,0.949145650228372,1.1,13,0,0,1.42090357257985e-08,2498.04727064263,1872.96115596496,2465.12790929077,
