interface_name,source_monitored_circuit,circuit_id,metered_end,sign,reduced_from_bus,reduced_to_bus,reduced_branch_index,reduced_branch_or_cutset,effective_date,mapping_confidence,calibration_eligible,aggregate_name,zone_boundary,positive_direction,target_source,source_branch_rows,source_meter_location,mapping_note
Central_East,"Edic-New Scotland 14",14,to,1,37,43,4,cutset:Central_East:branch:4,2021-11-12,medium,1,Central_East,E-F,E_to_F,NYISO Operating Study Appendix E plus PERFORM v23 source mapping,1609,Official sink meter at New Scotland; reduced cutset evaluated at the E-side,"Local PERFORM topology is pre-Segment-A; aggregate conservation unproved"
Central_East,"Marcy-New Scotland 18",18,to,1,40,44,8,cutset:Central_East:branch:8,2021-11-12,medium,1,Central_East,E-F,E_to_F,NYISO Operating Study Appendix E plus PERFORM v23 source mapping,1612,Official sink meter at New Scotland; reduced cutset evaluated at the E-side,"Source path is represented by a Porter/Marcy reduced proxy"
Central_East,"Porter-Rotterdam 30/31; East Springfield-Inghams 7-942; PAR; R81; PV20",30;31;7-942;PAR;R81;PV20,to,1,41,45,10,cutset:Central_East:branch:10,2021-11-12,low,1,Central_East,E-F,E_to_F,NYISO Operating Study Appendix E plus PERFORM v23 source mapping,1345;1346;935;unresolved,Official sink meters; reduced cutset evaluated at the E-side,"PAR/R81 unresolved and PV20 absent from the NY-only source"
Dunwoodie_South,"Sprain Brook-Dunwoodie South aggregate path",71;72;99153,from,1,78,79,57,cutset:Dunwoodie_South:branch:57,2022-06-23,low,0,Dunwoodie_South,I-J,I_to_J,NYISO Operating Study Appendix E plus PERFORM v23 source mapping,1262;1263;1264;unresolved,Reduced Dunwoodie I-side meter,"Utility circuits are absent or collapsed in the 49-bus core"
Dunwoodie_South,"Sprain Brook-West 49th M51/M52",M51;M52,from,1,78,81,59,cutset:Dunwoodie_South:branch:59,2022-06-23,low,0,Dunwoodie_South,I-J,I_to_J,NYISO Operating Study Appendix E plus PERFORM v23 source mapping,1236;1237,Official Sprain Brook meter; reduced I-side meter,"Two source circuits collapse into aggregate downstate paths"
Dunwoodie_South,"Sprain Brook-Tremont X28; Sprain Brook-Academy M29",X28;M29,from,1,78,82,60,cutset:Dunwoodie_South:branch:60,2022-06-23,low,0,Dunwoodie_South,I-J,I_to_J,NYISO Operating Study Appendix E plus PERFORM v23 source mapping,1248;1249;1250;unresolved,Official X28 sink meter; reduced I-side meter,"Only a three-row 138-kV surrogate exists for the public 345-kV X28 circuit"
Dunwoodie_South,"Dunwoodie-Sherman Creek 99031/99032",99031;99032,from,1,78,81,74,cutset:Dunwoodie_South:branch:74,2022-06-23,low,0,Dunwoodie_South,I-J,I_to_J,NYISO Operating Study Appendix E plus PERFORM v23 source mapping,unresolved,Reduced Dunwoodie I-side meter,"No explicit source identity"
Dunwoodie_South,"Lake Success-Jamaica 903",903,from,1,78,79,75,cutset:Dunwoodie_South:branch:75,2022-06-23,low,0,Dunwoodie_South,I-J,I_to_J,NYISO Operating Study Appendix E plus PERFORM v23 source mapping,55;56,Reduced Dunwoodie I-side meter,"Source has a two-row 138-kV surrogate, not a conserved retained circuit"
Dunwoodie_South,"Valley Stream-Jamaica 901L_M and remaining Jamaica ties",901L_M,from,1,78,82,76,cutset:Dunwoodie_South:branch:76,2022-06-23,low,0,Dunwoodie_South,I-J,I_to_J,NYISO Operating Study Appendix E plus PERFORM v23 source mapping,1336;1337,Reduced Dunwoodie I-side meter,"Source is represented by two 69-kV rows and is not one-to-one retained"
Dysinger_East,"Dysinger-Henrietta DH1/DH2; Niagara-Henrietta; 115/230-kV Dysinger elements",DH1;DH2;NR;108;112;111;113;107;114;67;157-932,to,1,53,55,27,cutset:Dysinger_East:branch:27,2022-06-23,medium,1,Dysinger_East,A-B,A_to_B,NYISO Operating Study Appendix E plus PERFORM v23 source mapping,2162;2163;2164;2252;multi-segment,Official meters are circuit-specific; reduced cutset is evaluated at the A-side,"Many-to-one Rochester/Niagara aggregate; not a circuit-conserved operator"
