Timestamp,Interface Name,Point ID,Flow (MWH),Positive Limit (MWH),Negative Limit (MWH)
04/01/2025 00:00,CENTRAL EAST - VC,23330,830.63,1955,-9999
04/01/2025 00:00,DYSINGER EAST,23326,520.83,3200,-9999
04/01/2025 00:00,MOSES SOUTH,23319,-749.15,2650,-1600
04/01/2025 00:00,SCH - HQ - NY,23324,-943,1500,-980
04/01/2025 00:00,SCH - HQ_CEDARS,325274,-100,220,-100
04/01/2025 00:00,SCH - HQ_IMPORT_EXPORT,325376,-943,1310,-9999
04/01/2025 00:00,SCH - NE - NY,23318,-287.72,1400,-1800
04/01/2025 00:00,SCH - NPX_1385,325277,47,160,-160
04/01/2025 00:00,SCH - NPX_CSC,325154,175,330,-330
04/01/2025 00:00,SCH - OH - NY,23317,719.96,2200,-1850
04/01/2025 00:00,SCH - PJ - NY,23316,1080.22,2400,-2400
04/01/2025 00:00,SCH - PJM_HTP,325905,290,660,-660
04/01/2025 00:00,SCH - PJM_NEPTUNE,325305,600,660,-660
04/01/2025 00:00,SCH - PJM_VFT,325658,250,315,-315
04/01/2025 00:00,SPR/DUN-SOUTH,23320,1605.56,4600,-9999
04/01/2025 00:00,TOTAL EAST,23314,1920.01,7550,-9999
04/01/2025 00:00,UPNY CONED,23315,2421.47,6190,-9999
04/01/2025 00:00,WEST CENTRAL,23312,187.19,9999,-9999
04/01/2025 00:05,CENTRAL EAST - VC,23330,879.35,1955,-9999
04/01/2025 00:05,DYSINGER EAST,23326,652.24,3200,-9999
04/01/2025 00:05,MOSES SOUTH,23319,-728.98,2650,-1600
04/01/2025 00:05,SCH - HQ - NY,23324,-906,1500,-980
04/01/2025 00:05,SCH - HQ_CEDARS,325274,-100,220,-100
04/01/2025 00:05,SCH - HQ_IMPORT_EXPORT,325376,-906,1310,-9999
04/01/2025 00:05,SCH - NE - NY,23318,-136.6,1400,-1800
04/01/2025 00:05,SCH - NPX_1385,325277,45,160,-160
04/01/2025 00:05,SCH - NPX_CSC,325154,250,330,-330
04/01/2025 00:05,SCH - OH - NY,23317,944.93,2200,-1850
04/01/2025 00:05,SCH - PJ - NY,23316,939.28,2400,-2400
04/01/2025 00:05,SCH - PJM_HTP,325905,230,660,-660
04/01/2025 00:05,SCH - PJM_NEPTUNE,325305,600,660,-660
04/01/2025 00:05,SCH - PJM_VFT,325658,225,315,-315
04/01/2025 00:05,SPR/DUN-SOUTH,23320,1729.1,4600,-9999
04/01/2025 00:05,TOTAL EAST,23314,1962.09,7550,-9999
04/01/2025 00:05,UPNY CONED,23315,2469.07,6190,-9999
04/01/2025 00:05,WEST CENTRAL,23312,317.55,9999,-9999
04/01/2025 00:10,CENTRAL EAST - VC,23330,833.67,1955,-9999
04/01/2025 00:10,DYSINGER EAST,23326,576.17,3200,-9999
04/01/2025 00:10,MOSES SOUTH,23319,-743.79,2650,-1600
04/01/2025 00:10,SCH - HQ - NY,23324,-906,1500,-980
04/01/2025 00:10,SCH - HQ_CEDARS,325274,-100,220,-100
04/01/2025 00:10,SCH - HQ_IMPORT_EXPORT,325376,-906,1310,-9999
04/01/2025 00:10,SCH - NE - NY,23318,-133.07,1400,-1800
04/01/2025 00:10,SCH - NPX_1385,325277,45,160,-160
04/01/2025 00:10,SCH - NPX_CSC,325154,250,330,-330
04/01/2025 00:10,SCH - OH - NY,23317,944.78,2200,-1850
04/01/2025 00:10,SCH - PJ - NY,23316,935.95,2400,-2400
04/01/2025 00:10,SCH - PJM_HTP,325905,230,660,-660
04/01/2025 00:10,SCH - PJM_NEPTUNE,325305,600,660,-660
04/01/2025 00:10,SCH - PJM_VFT,325658,225,315,-315
04/01/2025 00:10,SPR/DUN-SOUTH,23320,1689.99,4600,-9999
04/01/2025 00:10,TOTAL EAST,23314,1988.33,7550,-9999
04/01/2025 00:10,UPNY CONED,23315,2419.52,6190,-9999
04/01/2025 00:10,WEST CENTRAL,23312,244.88,9999,-9999
04/01/2025 00:15,CENTRAL EAST - VC,23330,829.85,1955,-9999
04/01/2025 00:15,DYSINGER EAST,23326,458.91,3200,-9999
04/01/2025 00:15,MOSES SOUTH,23319,-773.03,2650,-1600
04/01/2025 00:15,SCH - HQ - NY,23324,-906,1500,-980
04/01/2025 00:15,SCH - HQ_CEDARS,325274,-100,220,-100
04/01/2025 00:15,SCH - HQ_IMPORT_EXPORT,325376,-906,1310,-9999
04/01/2025 00:15,SCH - NE - NY,23318,-179.03,1400,-1800
04/01/2025 00:15,SCH - NPX_1385,325277,45,160,-160
04/01/2025 00:15,SCH - NPX_CSC,325154,250,330,-330
04/01/2025 00:15,SCH - OH - NY,23317,944.63,2200,-1850
04/01/2025 00:15,SCH - PJ - NY,23316,963.25,2400,-2400
04/01/2025 00:15,SCH - PJM_HTP,325905,230,660,-660
04/01/2025 00:15,SCH - PJM_NEPTUNE,325305,600,660,-660
04/01/2025 00:15,SCH - PJM_VFT,325658,225,315,-315
04/01/2025 00:15,SPR/DUN-SOUTH,23320,1623.93,4600,-9999
04/01/2025 00:15,TOTAL EAST,23314,1986.13,7550,-9999
04/01/2025 00:15,UPNY CONED,23315,2344.71,6190,-9999
04/01/2025 00:15,WEST CENTRAL,23312,132.05,9999,-9999
04/01/2025 00:20,CENTRAL EAST - VC,23330,813.68,1955,-9999
04/01/2025 00:20,DYSINGER EAST,23326,421.64,3200,-9999
04/01/2025 00:20,MOSES SOUTH,23319,-770.05,2650,-1600
04/01/2025 00:20,SCH - HQ - NY,23324,-906,1500,-980
04/01/2025 00:20,SCH - HQ_CEDARS,325274,-100,220,-100
04/01/2025 00:20,SCH - HQ_IMPORT_EXPORT,325376,-906,1310,-9999
04/01/2025 00:20,SCH - NE - NY,23318,-226.01,1400,-1800
04/01/2025 00:20,SCH - NPX_1385,325277,45,160,-160
04/01/2025 00:20,SCH - NPX_CSC,325154,250,330,-330
04/01/2025 00:20,SCH - OH - NY,23317,944.6,2200,-1850
04/01/2025 00:20,SCH - PJ - NY,23316,992.24,2400,-2400
04/01/2025 00:20,SCH - PJM_HTP,325905,230,660,-660
04/01/2025 00:20,SCH - PJM_NEPTUNE,325305,600,660,-660
04/01/2025 00:20,SCH - PJM_VFT,325658,225,315,-315
04/01/2025 00:20,SPR/DUN-SOUTH,23320,1606.98,4600,-9999
04/01/2025 00:20,TOTAL EAST,23314,1995.68,7550,-9999
04/01/2025 00:20,UPNY CONED,23315,2330.83,6190,-9999
04/01/2025 00:20,WEST CENTRAL,23312,98.31,9999,-9999
04/01/2025 00:25,CENTRAL EAST - VC,23330,769.26,1955,-9999
04/01/2025 00:25,DYSINGER EAST,23326,418.77,3200,-9999
04/01/2025 00:25,MOSES SOUTH,23319,-766.2,2650,-1600
04/01/2025 00:25,SCH - HQ - NY,23324,-906,1500,-980
04/01/2025 00:25,SCH - HQ_CEDARS,325274,-100,220,-100
04/01/2025 00:25,SCH - HQ_IMPORT_EXPORT,325376,-906,1310,-9999
04/01/2025 00:25,SCH - NE - NY,23318,-226.02,1400,-1800
04/01/2025 00:25,SCH - NPX_1385,325277,45,160,-160
04/01/2025 00:25,SCH - NPX_CSC,325154,250,330,-330
04/01/2025 00:25,SCH - OH - NY,23317,944.61,2200,-1850
04/01/2025 00:25,SCH - PJ - NY,23316,993.1,2400,-2400
04/01/2025 00:25,SCH - PJM_HTP,325905,230,660,-660
04/01/2025 00:25,SCH - PJM_NEPTUNE,325305,600,660,-660
04/01/2025 00:25,SCH - PJM_VFT,325658,225,315,-315
04/01/2025 00:25,SPR/DUN-SOUTH,23320,1591.82,4600,-9999
04/01/2025 00:25,TOTAL EAST,23314,1949.7,7550,-9999
04/01/2025 00:25,UPNY CONED,23315,2308.16,6190,-9999
04/01/2025 00:25,WEST CENTRAL,23312,97.59,9999,-9999
04/01/2025 00:30,CENTRAL EAST - VC,23330,705.91,1955,-9999
04/01/2025 00:30,DYSINGER EAST,23326,381.12,3200,-9999
04/01/2025 00:30,MOSES SOUTH,23319,-801.23,2650,-1600
04/01/2025 00:30,SCH - HQ - NY,23324,-906,1500,-980
04/01/2025 00:30,SCH - HQ_CEDARS,325274,-100,220,-100
04/01/2025 00:30,SCH - HQ_IMPORT_EXPORT,325376,-906,1310,-9999
04/01/2025 00:30,SCH - NE - NY,23318,-226.02,1400,-1800
04/01/2025 00:30,SCH - NPX_1385,325277,45,160,-160
04/01/2025 00:30,SCH - NPX_CSC,325154,250,330,-330
04/01/2025 00:30,SCH - OH - NY,23317,944.59,2200,-1850
04/01/2025 00:30,SCH - PJ - NY,23316,941.97,2400,-2400
04/01/2025 00:30,SCH - PJM_HTP,325905,230,660,-660
04/01/2025 00:30,SCH - PJM_NEPTUNE,325305,600,660,-660
04/01/2025 00:30,SCH - PJM_VFT,325658,225,315,-315
04/01/2025 00:30,SPR/DUN-SOUTH,23320,1555.73,4600,-9999
04/01/2025 00:30,TOTAL EAST,23314,1888.87,7550,-9999
04/01/2025 00:30,UPNY CONED,23315,2254.77,6190,-9999
04/01/2025 00:30,WEST CENTRAL,23312,61.35,9999,-9999
04/01/2025 00:35,CENTRAL EAST - VC,23330,690.36,1955,-9999
04/01/2025 00:35,DYSINGER EAST,23326,369.83,3200,-9999
04/01/2025 00:35,MOSES SOUTH,23319,-790.36,2650,-1600
04/01/2025 00:35,SCH - HQ - NY,23324,-906,1500,-980
04/01/2025 00:35,SCH - HQ_CEDARS,325274,-100,220,-100
04/01/2025 00:35,SCH - HQ_IMPORT_EXPORT,325376,-906,1310,-9999
04/01/2025 00:35,SCH - NE - NY,23318,-226.03,1400,-1800
04/01/2025 00:35,SCH - NPX_1385,325277,45,160,-160
04/01/2025 00:35,SCH - NPX_CSC,325154,250,330,-330
04/01/2025 00:35,SCH - OH - NY,23317,944.6,2200,-1850
04/01/2025 00:35,SCH - PJ - NY,23316,891.88,2400,-2400
04/01/2025 00:35,SCH - PJM_HTP,325905,230,660,-660
04/01/2025 00:35,SCH - PJM_NEPTUNE,325305,600,660,-660
04/01/2025 00:35,SCH - PJM_VFT,325658,225,315,-315
04/01/2025 00:35,SPR/DUN-SOUTH,23320,1520.72,4600,-9999
04/01/2025 00:35,TOTAL EAST,23314,1845.53,7550,-9999
04/01/2025 00:35,UPNY CONED,23315,2245.09,6190,-9999
04/01/2025 00:35,WEST CENTRAL,23312,53.24,9999,-9999
04/01/2025 00:40,CENTRAL EAST - VC,23330,647.88,1955,-9999
04/01/2025 00:40,DYSINGER EAST,23326,335.6,3200,-9999
04/01/2025 00:40,MOSES SOUTH,23319,-812.82,2650,-1600
04/01/2025 00:40,SCH - HQ - NY,23324,-906,1500,-980
04/01/2025 00:40,SCH - HQ_CEDARS,325274,-100,220,-100
04/01/2025 00:40,SCH - HQ_IMPORT_EXPORT,325376,-906,1310,-9999
04/01/2025 00:40,SCH - NE - NY,23318,-225.96,1400,-1800
04/01/2025 00:40,SCH - NPX_1385,325277,45,160,-160
04/01/2025 00:40,SCH - NPX_CSC,325154,250,330,-330
04/01/2025 00:40,SCH - OH - NY,23317,944.62,2200,-1850
04/01/2025 00:40,SCH - PJ - NY,23316,889.59,2400,-2400
04/01/2025 00:40,SCH - PJM_HTP,325905,230,660,-660
04/01/2025 00:40,SCH - PJM_NEPTUNE,325305,600,660,-660
04/01/2025 00:40,SCH - PJM_VFT,325658,225,315,-315
04/01/2025 00:40,SPR/DUN-SOUTH,23320,1501.6,4600,-9999
04/01/2025 00:40,TOTAL EAST,23314,1844.32,7550,-9999
04/01/2025 00:40,UPNY CONED,23315,2222.84,6190,-9999
04/01/2025 00:40,WEST CENTRAL,23312,22.21,9999,-9999
04/01/2025 00:45,CENTRAL EAST - VC,23330,673.68,1955,-9999
04/01/2025 00:45,DYSINGER EAST,23326,351.07,3200,-9999
04/01/2025 00:45,MOSES SOUTH,23319,-796.62,2650,-1600
04/01/2025 00:45,SCH - HQ - NY,23324,-906,1500,-980
04/01/2025 00:45,SCH - HQ_CEDARS,325274,-100,220,-100
04/01/2025 00:45,SCH - HQ_IMPORT_EXPORT,325376,-906,1310,-9999
04/01/2025 00:45,SCH - NE - NY,23318,-226.06,1400,-1800
04/01/2025 00:45,SCH - NPX_1385,325277,45,160,-160
04/01/2025 00:45,SCH - NPX_CSC,325154,250,330,-330
04/01/2025 00:45,SCH - OH - NY,23317,944.6,2200,-1850
04/01/2025 00:45,SCH - PJ - NY,23316,891.87,2400,-2400
04/01/2025 00:45,SCH - PJM_HTP,325905,230,660,-660
04/01/2025 00:45,SCH - PJM_NEPTUNE,325305,600,660,-660
04/01/2025 00:45,SCH - PJM_VFT,325658,225,315,-315
04/01/2025 00:45,SPR/DUN-SOUTH,23320,1492.93,4600,-9999
04/01/2025 00:45,TOTAL EAST,23314,1849.79,7550,-9999
04/01/2025 00:45,UPNY CONED,23315,2203.97,6190,-9999
04/01/2025 00:45,WEST CENTRAL,23312,39.59,9999,-9999
04/01/2025 00:50,CENTRAL EAST - VC,23330,706.5,1905,-9999
04/01/2025 00:50,DYSINGER EAST,23326,384.46,3200,-9999
04/01/2025 00:50,MOSES SOUTH,23319,-783.83,2650,-1600
04/01/2025 00:50,SCH - HQ - NY,23324,-906,1500,-980
04/01/2025 00:50,SCH - HQ_CEDARS,325274,-100,220,-100
04/01/2025 00:50,SCH - HQ_IMPORT_EXPORT,325376,-906,1310,-9999
04/01/2025 00:50,SCH - NE - NY,23318,-226.05,1400,-1800
04/01/2025 00:50,SCH - NPX_1385,325277,45,160,-160
04/01/2025 00:50,SCH - NPX_CSC,325154,250,330,-330
04/01/2025 00:50,SCH - OH - NY,23317,944.6,2200,-1850
04/01/2025 00:50,SCH - PJ - NY,23316,893.02,2400,-2400
04/01/2025 00:50,SCH - PJM_HTP,325905,230,660,-660
