"Time Stamp","Time Zone","Name","PTID","Integrated Load"
"04/04/2025 00:00:00","EDT","CAPITL",61757,1014.7386
"04/04/2025 00:00:00","EDT","CENTRL",61754,1378.9521
"04/04/2025 00:00:00","EDT","DUNWOD",61760,504.9728
"04/04/2025 00:00:00","EDT","GENESE",61753,859.2625
"04/04/2025 00:00:00","EDT","HUD VL",61758,855.4572
"04/04/2025 00:00:00","EDT","LONGIL",61762,1671.864
"04/04/2025 00:00:00","EDT","MHK VL",61756,666.4683
"04/04/2025 00:00:00","EDT","MILLWD",61759,219.3855
"04/04/2025 00:00:00","EDT","N.Y.C.",61761,4535.1975
"04/04/2025 00:00:00","EDT","NORTH",61755,590.1328
"04/04/2025 00:00:00","EDT","WEST",61752,1511.2865
"04/04/2025 01:00:00","EDT","CAPITL",61757,981.2331
"04/04/2025 01:00:00","EDT","CENTRL",61754,1356.4205
"04/04/2025 01:00:00","EDT","DUNWOD",61760,479.4479
"04/04/2025 01:00:00","EDT","GENESE",61753,838.9696
"04/04/2025 01:00:00","EDT","HUD VL",61758,817.8575
"04/04/2025 01:00:00","EDT","LONGIL",61762,1585.4349
"04/04/2025 01:00:00","EDT","MHK VL",61756,652.3553
"04/04/2025 01:00:00","EDT","MILLWD",61759,207.0679
"04/04/2025 01:00:00","EDT","N.Y.C.",61761,4360.4164
"04/04/2025 01:00:00","EDT","NORTH",61755,588.1735
"04/04/2025 01:00:00","EDT","WEST",61752,1495.3706
"04/04/2025 02:00:00","EDT","CAPITL",61757,969.689
"04/04/2025 02:00:00","EDT","CENTRL",61754,1342.4995
"04/04/2025 02:00:00","EDT","DUNWOD",61760,457.8955
"04/04/2025 02:00:00","EDT","GENESE",61753,830.1971
"04/04/2025 02:00:00","EDT","HUD VL",61758,790.3242
"04/04/2025 02:00:00","EDT","LONGIL",61762,1530.6499
"04/04/2025 02:00:00","EDT","MHK VL",61756,644.1326
"04/04/2025 02:00:00","EDT","MILLWD",61759,198.9838
"04/04/2025 02:00:00","EDT","N.Y.C.",61761,4227.2984
"04/04/2025 02:00:00","EDT","NORTH",61755,587.8673
"04/04/2025 02:00:00","EDT","WEST",61752,1468.843
"04/04/2025 03:00:00","EDT","CAPITL",61757,965.7751
"04/04/2025 03:00:00","EDT","CENTRL",61754,1334.3113
"04/04/2025 03:00:00","EDT","DUNWOD",61760,445.2812
"04/04/2025 03:00:00","EDT","GENESE",61753,830.7598
"04/04/2025 03:00:00","EDT","HUD VL",61758,778.6497
"04/04/2025 03:00:00","EDT","LONGIL",61762,1498.8818
"04/04/2025 03:00:00","EDT","MHK VL",61756,647.4803
"04/04/2025 03:00:00","EDT","MILLWD",61759,191.4932
"04/04/2025 03:00:00","EDT","N.Y.C.",61761,4142.641
"04/04/2025 03:00:00","EDT","NORTH",61755,590.3695
"04/04/2025 03:00:00","EDT","WEST",61752,1474.6968
"04/04/2025 04:00:00","EDT","CAPITL",61757,983.934
"04/04/2025 04:00:00","EDT","CENTRL",61754,1363.5724
"04/04/2025 04:00:00","EDT","DUNWOD",61760,440.7805
"04/04/2025 04:00:00","EDT","GENESE",61753,854.2583
"04/04/2025 04:00:00","EDT","HUD VL",61758,777.3414
"04/04/2025 04:00:00","EDT","LONGIL",61762,1523.5037
"04/04/2025 04:00:00","EDT","MHK VL",61756,662.8903
"04/04/2025 04:00:00","EDT","MILLWD",61759,190.274
"04/04/2025 04:00:00","EDT","N.Y.C.",61761,4147.9506
"04/04/2025 04:00:00","EDT","NORTH",61755,596.0683
"04/04/2025 04:00:00","EDT","WEST",61752,1496.1692
"04/04/2025 05:00:00","EDT","CAPITL",61757,1049.5127
"04/04/2025 05:00:00","EDT","CENTRL",61754,1465.99
"04/04/2025 05:00:00","EDT","DUNWOD",61760,461.8893
"04/04/2025 05:00:00","EDT","GENESE",61753,915.7656
"04/04/2025 05:00:00","EDT","HUD VL",61758,809.6109
"04/04/2025 05:00:00","EDT","LONGIL",61762,1618.7649
"04/04/2025 05:00:00","EDT","MHK VL",61756,718.2729
"04/04/2025 05:00:00","EDT","MILLWD",61759,206.5485
"04/04/2025 05:00:00","EDT","N.Y.C.",61761,4300.5132
"04/04/2025 05:00:00","EDT","NORTH",61755,608.635
"04/04/2025 05:00:00","EDT","WEST",61752,1559.9538
"04/04/2025 06:00:00","EDT","CAPITL",61757,1164.3509
"04/04/2025 06:00:00","EDT","CENTRL",61754,1629.1939
"04/04/2025 06:00:00","EDT","DUNWOD",61760,532.07
"04/04/2025 06:00:00","EDT","GENESE",61753,1008.8097
"04/04/2025 06:00:00","EDT","HUD VL",61758,889.1995
"04/04/2025 06:00:00","EDT","LONGIL",61762,1780.7456
"04/04/2025 06:00:00","EDT","MHK VL",61756,803.8561
"04/04/2025 06:00:00","EDT","MILLWD",61759,239.2595
"04/04/2025 06:00:00","EDT","N.Y.C.",61761,4661.5467
"04/04/2025 06:00:00","EDT","NORTH",61755,630.9195
"04/04/2025 06:00:00","EDT","WEST",61752,1667.1209
"04/04/2025 07:00:00","EDT","CAPITL",61757,1202.9053
"04/04/2025 07:00:00","EDT","CENTRL",61754,1674.8753
"04/04/2025 07:00:00","EDT","DUNWOD",61760,576.3249
"04/04/2025 07:00:00","EDT","GENESE",61753,1040.5935
"04/04/2025 07:00:00","EDT","HUD VL",61758,940.1546
"04/04/2025 07:00:00","EDT","LONGIL",61762,1909.0074
"04/04/2025 07:00:00","EDT","MHK VL",61756,814.9379
"04/04/2025 07:00:00","EDT","MILLWD",61759,260.5905
"04/04/2025 07:00:00","EDT","N.Y.C.",61761,5094.4648
"04/04/2025 07:00:00","EDT","NORTH",61755,644.8635
"04/04/2025 07:00:00","EDT","WEST",61752,1726.4108
"04/04/2025 08:00:00","EDT","CAPITL",61757,1158.8686
"04/04/2025 08:00:00","EDT","CENTRL",61754,1567.6163
"04/04/2025 08:00:00","EDT","DUNWOD",61760,598.9343
"04/04/2025 08:00:00","EDT","GENESE",61753,955.5207
"04/04/2025 08:00:00","EDT","HUD VL",61758,937.1672
"04/04/2025 08:00:00","EDT","LONGIL",61762,2002.3422
"04/04/2025 08:00:00","EDT","MHK VL",61756,708.9456
"04/04/2025 08:00:00","EDT","MILLWD",61759,269.1938
"04/04/2025 08:00:00","EDT","N.Y.C.",61761,5371.3221
"04/04/2025 08:00:00","EDT","NORTH",61755,566.4841
"04/04/2025 08:00:00","EDT","WEST",61752,1701.4853
"04/04/2025 09:00:00","EDT","CAPITL",61757,1007.7417
