source_bus,source_bus_name,generator_id,source_zone,pg_mw,qg_mvar,qmin_mvar,qmax_mvar,pmin_mw,pmax_mw,voltage_target_pu,raw_ireg,regulated_bus,regulated_bus_name,regulated_zone,remote_regulation,regulated_bus_found,status,converted_status,snapshot_effective_status,raw_converted_status_mismatch,mapped_to_nyiso_zone,converted_gen_index,converted_genfuel,device_class,native_generator,reactive_only_QS,fixed_import_or_boundary_equivalent,synchronous_condenser,storage_or_pumping,offline,positive_active_capability,fixed_negative_active,originated_from_shunt_as_generator_conversion,control_group_id,classification_rule,classification_confidence,source_format,source_file
6,UNKNOWN124~5,1,F,2.745,-0.209,-1.5,1.8,1,2.8,1.02,0,6,UNKNOWN124~5,F,0,1,1,1,1,0,1,1,hydro,native_generator,1,0,0,0,0,0,1,0,0,F_REG_BUS_6,positive PMAX and converted fuel is not import/reference,medium,PERFORM PSS/E RAW rev33,PERFORM/On Peak 2019 v23_Perform_NY/On Peak 2019 v23/NYISO_onpeak2019_v23_shuntsRgens.RAW
6,UNKNOWN124~5,2,F,2.745,-0.209,-1.5,1.8,1,2.8,1.02,0,6,UNKNOWN124~5,F,0,1,1,1,1,0,1,2,hydro,native_generator,1,0,0,0,0,0,1,0,0,F_REG_BUS_6,positive PMAX and converted fuel is not import/reference,medium,PERFORM PSS/E RAW rev33,PERFORM/On Peak 2019 v23_Perform_NY/On Peak 2019 v23/NYISO_onpeak2019_v23_shuntsRgens.RAW
6,UNKNOWN124~5,3,F,2.941,-0.209,-1.7,2,1,3,1.02,0,6,UNKNOWN124~5,F,0,1,1,1,1,0,1,3,hydro,native_generator,1,0,0,0,0,0,1,0,0,F_REG_BUS_6,positive PMAX and converted fuel is not import/reference,medium,PERFORM PSS/E RAW rev33,PERFORM/On Peak 2019 v23_Perform_NY/On Peak 2019 v23/NYISO_onpeak2019_v23_shuntsRgens.RAW
6,UNKNOWN124~5,4,F,2.941,-0.209,-1.7,2,1,3,1.02,0,6,UNKNOWN124~5,F,0,1,1,1,1,0,1,4,hydro,native_generator,1,0,0,0,0,0,1,0,0,F_REG_BUS_6,positive PMAX and converted fuel is not import/reference,medium,PERFORM PSS/E RAW rev33,PERFORM/On Peak 2019 v23_Perform_NY/On Peak 2019 v23/NYISO_onpeak2019_v23_shuntsRgens.RAW
15,UNKNOWN12~14,1,E,7.842,-1.275,-4.4,5.2,7,8,1.02,0,15,UNKNOWN12~14,E,0,1,1,1,1,0,1,5,hydro,native_generator,1,0,0,0,0,0,1,0,0,E_REG_BUS_15,positive PMAX and converted fuel is not import/reference,medium,PERFORM PSS/E RAW rev33,PERFORM/On Peak 2019 v23_Perform_NY/On Peak 2019 v23/NYISO_onpeak2019_v23_shuntsRgens.RAW
15,UNKNOWN12~14,2,E,7.842,-1.275,-4.4,5.2,7,8,1.02,0,15,UNKNOWN12~14,E,0,1,1,1,1,0,1,6,hydro,native_generator,1,0,0,0,0,0,1,0,0,E_REG_BUS_15,positive PMAX and converted fuel is not import/reference,medium,PERFORM PSS/E RAW rev33,PERFORM/On Peak 2019 v23_Perform_NY/On Peak 2019 v23/NYISO_onpeak2019_v23_shuntsRgens.RAW
17,UNKNOWN12~15,1,K,0,-9.9,-9.9,11.7,10.5,18,1.01,0,17,UNKNOWN12~15,K,0,1,0,0,0,0,1,7,ng,offline,0,0,0,0,0,1,0,0,0,K_REG_BUS_17,RAW STAT is offline,high,PERFORM PSS/E RAW rev33,PERFORM/On Peak 2019 v23_Perform_NY/On Peak 2019 v23/NYISO_onpeak2019_v23_shuntsRgens.RAW
17,UNKNOWN12~15,10,K,0,-23,-23,27.2,30,41.8,1.01,0,17,UNKNOWN12~15,K,0,1,0,0,0,0,1,16,ng,offline,0,0,0,0,0,1,0,0,0,K_REG_BUS_17,RAW STAT is offline,high,PERFORM PSS/E RAW rev33,PERFORM/On Peak 2019 v23_Perform_NY/On Peak 2019 v23/NYISO_onpeak2019_v23_shuntsRgens.RAW
17,UNKNOWN12~15,11,K,30,-23,-23,27.2,30,41.8,1.01,0,17,UNKNOWN12~15,K,0,1,1,1,1,0,1,17,ng,native_generator,1,0,0,0,0,0,1,0,0,K_REG_BUS_17,positive PMAX and converted fuel is not import/reference,medium,PERFORM PSS/E RAW rev33,PERFORM/On Peak 2019 v23_Perform_NY/On Peak 2019 v23/NYISO_onpeak2019_v23_shuntsRgens.RAW
17,UNKNOWN12~15,12,K,183,-27.652,-103.4,122.2,15,188,1.01,0,17,UNKNOWN12~15,K,0,1,1,1,1,0,1,18,ng,native_generator,1,0,0,0,0,0,1,0,0,K_REG_BUS_17,positive PMAX and converted fuel is not import/reference,medium,PERFORM PSS/E RAW rev33,PERFORM/On Peak 2019 v23_Perform_NY/On Peak 2019 v23/NYISO_onpeak2019_v23_shuntsRgens.RAW
17,UNKNOWN12~15,13,K,183,-27.652,-103.4,122.2,15,188,1.01,0,17,UNKNOWN12~15,K,0,1,1,1,1,0,1,19,ng,native_generator,1,0,0,0,0,0,1,0,0,K_REG_BUS_17,positive PMAX and converted fuel is not import/reference,medium,PERFORM PSS/E RAW rev33,PERFORM/On Peak 2019 v23_Perform_NY/On Peak 2019 v23/NYISO_onpeak2019_v23_shuntsRgens.RAW
17,UNKNOWN12~15,2,K,11.4,-9.9,-9.9,11.7,11.4,18,1.01,0,17,UNKNOWN12~15,K,0,1,1,1,1,0,1,8,ng,native_generator,1,0,0,0,0,0,1,0,0,K_REG_BUS_17,positive PMAX and converted fuel is not import/reference,medium,PERFORM PSS/E RAW rev33,PERFORM/On Peak 2019 v23_Perform_NY/On Peak 2019 v23/NYISO_onpeak2019_v23_shuntsRgens.RAW
