retained_bus,retained_bus_name,zone,source_anchor_count,source_anchor_buses,s7_bus_type,s7_pmax_mw
37,NEW SEATHED,F,21,6|31|32|84|194|463|469|474|563|632|682|683|685|693|705|706|799|811|867|870|1213,1,300
38,GILBOA,F,1,1227,1,500
39,LEEDS,G,3,817|821|828,1,600
41,ROTTERDAM,F,1,508,1,300
42,ALBANY,F,2,63|127,2,1068.003995
43,EDIC,E,21,15|21|60|80|83|368|378|395|405|408|526|573|1039|1052|1053|1194|1223|1230|1231|1263|1546,1,400
44,PORTER,E,15,21|82|83|378|381|395|399|406|407|409|768|1052|1194|1230|1287,1,200
47,MOSES W,D,4,35|562|759|761,2,944.920662
48,MOSES E,D,1,759,2,40.0600457
50,CLAY,C,3,34|358|1240,2,1105.24857748821
51,CLAY,C,1,357,2,292.878562141814
53,ROCHESTER,B,3,95|128|250,2,288.8
54,NIAGARA W,A,2,1427|1428,2,394.385301787287
55,NIAGARA E,A,2,1427|1428,2,197.192650893643
56,HUNTLEY,A,10,33|41|69|138|284|317|1313|1324|1445|1570,2,495.093851384339
57,HUNTLEY,A,1,37,2,14.3166985641929
60,DUNKIRK,A,2,39|69,2,59.5351288283759
61,DUNKIRK,A,4,38|161|1296|1330,2,132.276368542162
65,GESONIDGE,C,1,29,2,7.481832143219
68,HILLSIDE,C,8,24|27|30|53|575|1172|1181|1460,2,271.054008885173
71,BINGHAMTON,C,1,116,2,643.677757785503
72,LAPEER,C,8,24|52|339|575|1173|1181|1250|1460,2,190.859261556085
73,PLEASANT VLY,G,2,535|847,1,900
75,RAMAPO,G,1,565,1,100
76,RAMAPO,G,6,535|546|638|651|773|899,1,700
78,CE UG,I,0,,3,565.099092
79,RAV A-3,J,5,26|556|557|1133|1457,2,1777.453484
80,NORTHPORT,K,1,19,2,1784.929342
81,GOETHALS,J,13,79|570|571|595|623|1129|1130|1131|1132|1133|1135|1136|1528,1,900
82,AK-3,J,2,571|1129,2,1519.623976
9003,EAST GARDEN CITY,K,23,17|18|19|552|554|564|569|577|580|589|609|614|619|735|737|738|994|1146|1147|1148|1164|1169|1170,1,600
