model,branch_index,from_bus,from_bus_name,from_zone,to_bus,to_bus_name,to_zone,flow_mva,rate_a_mva,loading_pct,overload_mva
SOURCE_PERFORM,1341,629,QUEENSBRIDGE,J,1133,VERNON,J,118.702688314114,130.608619968681,90.884268084739,0
SOURCE_PERFORM,1342,629,QUEENSBRIDGE,J,1133,VERNON,J,118.702688314114,130.608619968681,90.884268084739,0
SOURCE_PERFORM,1343,629,QUEENSBRIDGE,J,1133,VERNON,J,118.702688314114,130.608619968681,90.884268084739,0
SOURCE_PERFORM,2031,1147,WADING RIVER GAS TURBINES,K,1148,SHOREHAM POWER STATION,K,85.7858116680018,95.4869742628172,89.8403288304916,0
SOURCE_PERFORM,1388,651,PLEASANT VALLEY,G,818,LEEDS,G,367.309322494104,444.874178940941,82.5647654733556,0
SOURCE_PERFORM,2344,1402,RISER161217,B,1408,RISER161223,B,50.1038407535756,61.0970295091589,82.0069996137287,0
SOURCE_PERFORM,1386,651,PLEASANT VALLEY,G,817,ATHENS,G,359.485872317797,444.874178940941,80.806189555344,0
SOURCE_PERFORM,1387,651,PLEASANT VALLEY,G,817,ATHENS,G,359.485872317797,444.874178940941,80.806189555344,0
SOURCE_PERFORM,1036,803,TAP136076,F,512,UNKNOWN128280,G,46.2452989594124,61.0970295091589,75.6915668911201,0
SOURCE_PERFORM,2159,1234,PANNELL,B,1550,PANNELL,B,114.61460404533,152.559648534846,75.1277321008978,0
SOURCE_PERFORM,2281,1314,PACKARD,A,1571,PACKARD,A,89.4044438297032,119.267255209496,74.9614331885664,0
SOURCE_PERFORM,2076,1174,TAP141052,C,1186,TAP141064,C,45.7389340782654,61.0970295091589,74.8627788383866,0
SOURCE_PERFORM,762,353,S OSWEGO,C,1460,TAP173533,C,45.7360373822262,61.0970295091589,74.8580376978393,0
SOURCE_PERFORM,728,337,DEWITT,C,1478,DEWITT,C,113.272250141892,152.559648534846,74.2478441906086,0
SOURCE_PERFORM,766,356,UNKNOWN125475,C,1556,SITHE,C,57.2480365282128,77.1944504576798,74.1608188008253,0
SOURCE_PERFORM,713,332,ELBRIDGE,C,1477,ELBRIDGE,C,111.935880699728,152.559648534846,73.3718789829025,0
SOURCE_PERFORM,765,356,UNKNOWN125475,C,1462,TAP173588,C,56.0083870981486,77.1944504576798,72.5549398513486,0
SOURCE_PERFORM,429,192,UNKNOWN125031,D,1527,PLATTSBURGH,D,44.1152183135739,61.0970295091589,72.2051770241313,0
SOURCE_PERFORM,1003,1207,TAP141249,E,495,UNKNOWN128052,E,44.1023375721249,61.0970295091589,72.1840945892692,0
SOURCE_PERFORM,2172,1237,CLAY,C,1553,CLAY,C,131.702373903282,182.925238051374,71.9979240187151,0
REDUCED_S10A,2,37,NEW SEATHED,F,39,LEEDS,G,915.630569890181,2500,36.6252227956072,0
REDUCED_S10A,70,73,PLEASANT VLY,G,9002,WOOD STREET,H,849.147182886399,2432,34.9155914015789,0
REDUCED_S10A,71,9002,WOOD STREET,H,74,MILLWOOD,H,844.425996182153,2432,34.7214636588056,0
REDUCED_S10A,4,37,NEW SEATHED,F,43,EDIC,E,831.983759212485,2500,33.2793503684994,0
REDUCED_S10A,69,38,GILBOA,F,39,LEEDS,G,384.512525048891,1216,31.6210958099417,0
REDUCED_S10A,6,39,LEEDS,G,73,PLEASANT VLY,G,695.448734396428,2500,27.8179493758571,0
REDUCED_S10A,7,39,LEEDS,G,73,PLEASANT VLY,G,695.448734396428,2500,27.8179493758571,0
REDUCED_S10A,76,78,CE UG,I,82,AK-3,J,1007.49687851652,5000,20.1499375703304,0
REDUCED_S10A,78,9003,EAST GARDEN CITY,K,80,NORTHPORT,K,899.227046145221,5000,17.9845409229044,0
REDUCED_S10A,63,54,NIAGARA W,A,52,ROCHESTER,B,140.352038243439,789.941803,17.7673896621773,0
REDUCED_S10A,14,44,PORTER,E,45,PORTER,E,402.344428137034,2500,16.0937771254814,0
REDUCED_S10A,22,50,CLAY,C,51,CLAY,C,393.18138868254,2500,15.7272555473016,0
REDUCED_S10A,54,74,MILLWOOD,H,78,CE UG,I,390.217746537464,2500,15.6087098614986,0
REDUCED_S10A,55,74,MILLWOOD,H,78,CE UG,I,390.217746537464,2500,15.6087098614986,0
REDUCED_S10A,51,73,PLEASANT VLY,G,74,MILLWOOD,H,388.382263462467,2500,15.5352905384987,0
REDUCED_S10A,52,73,PLEASANT VLY,G,74,MILLWOOD,H,388.382263462467,2500,15.5352905384987,0
REDUCED_S10A,29,54,NIAGARA W,A,56,HUNTLEY,A,117.4590027219,789.941803,14.8693235724227,0
REDUCED_S10A,9,41,ROTTERDAM,F,42,ALBANY,F,354.844469410941,2500,14.1937787764376,0
REDUCED_S10A,27,53,ROCHESTER,B,55,NIAGARA E,A,105.229673489941,789.941803,13.3211931676872,0
REDUCED_S10A,60,78,CE UG,I,82,AK-3,J,327.654472659468,2500,13.1061789063787,0
