control_type,source_element_index,source_from_bus,source_to_bus,source_value_1,source_value_2,retained_from_bus,retained_to_bus,reduced_treatment,scaled_source_control_output,reduced_control_output
transformer_tap_or_phase,36,848,9,0.975,0,73,39,inventory_only; no automatic tap import without branch-equivalence proof,NaN,NaN
switched_shunt_snapshot,240,240,NaN,43.25,0,53,NaN,represented in S10a as controllable Q initialized from BINIT times VM squared; switching blocks not optimized,16.1432020529167,8.53050648949308
switched_shunt_snapshot,485,485,NaN,40.31,0,47,NaN,represented in S10a as controllable Q initialized from BINIT times VM squared; switching blocks not optimized,15.0388585935461,9.45005158553195
switched_shunt_snapshot,489,489,NaN,15.12,0,37,NaN,represented in S10a as controllable Q initialized from BINIT times VM squared; switching blocks not optimized,5.641047791239,8.21227003227003
switched_shunt_snapshot,512,512,NaN,30.06,0,39,NaN,represented in S10a as controllable Q initialized from BINIT times VM squared; switching blocks not optimized,11.2174060306536,15.9381305662137
switched_shunt_snapshot,539,539,NaN,1.47,0,73,NaN,represented in S10a as controllable Q initialized from BINIT times VM squared; switching blocks not optimized,0.559520874528869,5.6949825547883
switched_shunt_snapshot,587,587,NaN,31.13,0,9003,NaN,represented in S10a as controllable Q initialized from BINIT times VM squared; switching blocks not optimized,11.6178475686847,1.99375156282083
switched_shunt_snapshot,589,589,NaN,500,0,9003,NaN,represented in S10a as controllable Q initialized from BINIT times VM squared; switching blocks not optimized,194.466349294082,19.9375156282083
switched_shunt_snapshot,609,609,NaN,-99.74,0,9003,NaN,represented in S10a as controllable Q initialized from BINIT times VM squared; switching blocks not optimized,-37.2233740088665,15.9500125025666
switched_shunt_snapshot,733,733,NaN,13.49,0,9003,NaN,represented in S10a as controllable Q initialized from BINIT times VM squared; switching blocks not optimized,4.93530835747722,3.98750312564165
switched_shunt_snapshot,736,736,NaN,14.07,0,9003,NaN,represented in S10a as controllable Q initialized from BINIT times VM squared; switching blocks not optimized,5.14750115673656,7.97500625128331
switched_shunt_snapshot,739,739,NaN,9.82,0,9003,NaN,represented in S10a as controllable Q initialized from BINIT times VM squared; switching blocks not optimized,3.59266055313386,7.97500625128331
switched_shunt_snapshot,840,840,NaN,12.71,0,9003,NaN,represented in S10a as controllable Q initialized from BINIT times VM squared; switching blocks not optimized,4.74340838505664,19.9375156282083
switched_shunt_snapshot,861,861,NaN,23.96,0,76,NaN,represented in S10a as controllable Q initialized from BINIT times VM squared; switching blocks not optimized,8.76591225101527,6.18600365004481
switched_shunt_snapshot,999,999,NaN,40,0,9003,NaN,represented in S10a as controllable Q initialized from BINIT times VM squared; switching blocks not optimized,14.8071509796195,1.59500125025666
switched_shunt_snapshot,1138,1138,NaN,19.19,0,9003,NaN,represented in S10a as controllable Q initialized from BINIT times VM squared; switching blocks not optimized,7.16172685185403,2.39250187538499
switched_shunt_snapshot,1160,1160,NaN,204.33,0,9003,NaN,represented in S10a as controllable Q initialized from BINIT times VM squared; switching blocks not optimized,77.7743108187242,31.9000250051332
switched_shunt_snapshot,1161,1161,NaN,19.64,0,9003,NaN,represented in S10a as controllable Q initialized from BINIT times VM squared; switching blocks not optimized,7.32976859476119,1.1962509376925
switched_shunt_snapshot,1204,1204,NaN,10.5,0,37,NaN,represented in S10a as controllable Q initialized from BINIT times VM squared; switching blocks not optimized,3.91849821788909,4.10613501613502
switched_shunt_snapshot,1484,1484,NaN,23.06,0,39,NaN,represented in S10a as controllable Q initialized from BINIT times VM squared; switching blocks not optimized,8.60583786295031,7.96906528310683
switched_shunt_snapshot,1539,1539,NaN,83.53,0,9003,NaN,represented in S10a as controllable Q initialized from BINIT times VM squared; switching blocks not optimized,31.7940468002021,19.9375156282083
