retained_pilot_bus,retained_bus_name,zone,source_control_record_count,source_regulated_bus_count,source_pf_weighted_vm_pu,source_weighted_vs_pu,reduced_initial_vm_pu,reduced_pf_vm_pu,voltage_error_pu,absolute_voltage_error_pu,mapping_confidence,source_regulated_bus_ids
37,NEW SEATHED,F,61,23,1.01992045595094,1.01997607111664,1.01954348322301,1.01954348322301,-0.000376972727928804,0.000376972727928804,medium,6|31|32|84|194|463|469|474|489|563|632|682|683|685|693|705|706|799|811|867|870|1204|1213
43,EDIC,E,35,21,1.01672452592568,1.01672655311002,1.02,1.01972084746836,0.0029963215426787,0.0029963215426787,low,15|21|60|80|83|368|378|395|405|408|526|573|1039|1052|1053|1194|1223|1230|1231|1263|1546
9003,EAST GARDEN CITY,K,77,40,1.02188640948709,1.01928349272485,1.0154163836713,1.0154163836713,-0.00647002581578704,0.00647002581578704,medium,17|18|19|552|554|564|569|577|580|587|589|608|609|614|619|621|733|735|736|737|738|739|740|840|842|846|994|999|1138|1146|1147|1148|1160|1161|1164|1169|1170|1489|1496|1539
80,NORTHPORT,K,4,1,1.02,1.02,1.02,1.02,0,0,high,19
44,PORTER,E,25,15,1.01995322928785,1.02,1.02,1.02,4.67707121485361e-05,4.67707121485361e-05,low,21|82|83|378|381|395|399|406|407|409|768|1052|1194|1230|1287
72,LAPEER,C,11,8,1.01966452598036,1.02,1.02,1.02088888645355,0.00122436047319074,0.00122436047319074,medium,24|52|339|575|1173|1181|1250|1460
68,HILLSIDE,C,13,8,1.01974826288415,1.02,1.02,1.02,0.000251737115849915,0.000251737115849915,medium,24|27|30|53|575|1172|1181|1460
79,RAV A-3,J,28,5,1.02,1.02,1.02,1.02,-2.22044604925031e-16,2.22044604925031e-16,high,26|556|557|1133|1457
65,GESONIDGE,C,1,1,1.02,1.02,1.02,1.02,0,0,high,29
56,HUNTLEY,A,10,9,1.02,1.02,1.02,1.02121307873303,0.00121307873303489,0.00121307873303489,medium,33|41|69|284|317|1313|1324|1445|1570
50,CLAY,C,5,3,1.02,1.02,1.02,1.02,0,0,high,34|358|1240
47,MOSES W,D,11,5,1.01757571646838,1.02,1.02,1.02,0.00242428353162061,0.00242428353162061,low,35|485|562|759|761
57,HUNTLEY,A,1,1,1.02,1.02,1.02,1.02,0,0,medium,37
61,DUNKIRK,A,5,4,1.02,1.02,1.02,1.02,-2.22044604925031e-16,2.22044604925031e-16,medium,38|161|1296|1330
60,DUNKIRK,A,2,2,1.02,1.02,1.02,1.02,-2.22044604925031e-16,2.22044604925031e-16,medium,39|69
42,ALBANY,F,2,2,1.02,1.02,1.02,1.02,2.22044604925031e-16,2.22044604925031e-16,medium,63|127
81,GOETHALS,J,39,13,1.01512373689177,1.01507326595865,1.01734811568181,1.01734811568181,0.00222437879003468,0.00222437879003468,medium,79|570|571|595|623|1129|1130|1131|1132|1133|1135|1136|1528
53,ROCHESTER,B,7,4,1.01872554154694,1.0194843500232,1.0194843500232,1.0194843500232,0.000758808476265527,0.000758808476265527,medium,95|128|240|250
71,BINGHAMTON,C,1,1,1.02,1.02,1.02,1.01700728060651,-0.00299271939348911,0.00299271939348911,high,116
51,CLAY,C,1,1,1.02,1.02,1.02,1.02,0,0,high,357
41,ROTTERDAM,F,1,1,1.02,1.02,1.02,1.02,0,0,medium,508
39,LEEDS,G,8,6,1.01891643759758,1.01927721989862,1.01927721989862,1.01927721989862,0.000360782301040308,0.000360782301040308,medium,512|817|821|822|828|1484
76,RAMAPO,G,9,7,1.01506819771728,1.01509910158405,1.01900477707006,1.01900477707006,0.00393657935278435,0.00393657935278435,medium,535|546|638|651|773|861|899
73,PLEASANT VLY,G,4,3,1.0199999330833,1.02011376132873,1.02011376132873,1.02011376132873,0.000113828245431158,0.000113828245431158,medium,535|539|847
78,CE UG,I,1,1,1.00993196545819,1.02,1.02,1.01950774209692,0.00957577663873432,0.00957577663873432,low,565
82,AK-3,J,19,2,1.02,1.02,1.02,1.02,4.44089209850063e-16,4.44089209850063e-16,high,571|1129
48,MOSES E,D,1,1,1.02,1.02,1.02,1.0248066349041,0.00480663490410027,0.00480663490410027,low,759
38,GILBOA,F,4,1,1.02,1.02,1.02,1.02,0,0,high,1227
54,NIAGARA W,A,15,2,1.02,1.02,1.02,1.02,2.22044604925031e-16,2.22044604925031e-16,high,1427|1428
55,NIAGARA E,A,10,2,1.02,1.02,1.02,1.02,0,0,high,1427|1428
