metric,value,unit,first_stage_target,assessment
source_pf_success,1,flag,NaN,diagnostic
reduced_pf_success,1,flag,1,pass
similarity_scale_gamma,0.365850476102748,ratio,NaN,diagnostic
source_scaled_ny_load_mw,10902.2197987,MW,NaN,diagnostic
reduced_ny_load_mw,10902.2197987,MW,10902.2197987,diagnostic
voltage_bias_pu,0.000669787429323643,pu,NaN,diagnostic
voltage_rmse_pu,0.00261287612493598,pu,0.01,pass
voltage_max_error_pu,0.00957577663873432,pu,0.03,pass
interface_mae_mw,225.142912100311,MW,100,fail
interface_max_error_mw,559.567239141561,MW,NaN,diagnostic
mean_normalized_control_group_q_error,0.196361959766223,ratio,0.1,fail
max_normalized_control_group_q_error,0.86609753067275,ratio,NaN,diagnostic
source_scaled_active_loss_mw,228.999671521713,MW,NaN,diagnostic
reduced_active_loss_mw,103.081668980843,MW,NaN,diagnostic
reference_generation_adjustment_mw,-125.491283337624,MW,NaN,diagnostic
external_q_total_abs_error_mvar,3.5527136788005e-15,MVAr,NaN,diagnostic
reduced_voltage_violation_count,0,count,0,pass
reduced_q_violation_count,0,count,0,pass
reduced_branch_overload_count,0,count,0,pass
source_q_saturation_count,61,count,NaN,diagnostic
reduced_q_saturation_count,6,count,NaN,diagnostic
source_pv_to_pq_conversion_count,29,count,NaN,diagnostic
reduced_pv_to_pq_conversion_count,6,count,NaN,diagnostic
