source_bus,gen_index,reduced_bus,p32_interface_name,snapshot_pg_mw,snapshot_qg_mvar,status
1231,530,245,SCH - HQ - NY,750,57.1638695248684,1
1546,613,309,SCH - HQ - NY,200,-27.7883332204675,1
1313,559,274,SCH - OH - NY,200,-36.9448728621447,1
1570,615,317,SCH - OH - NY,525,-33.0130116293913,1
799,333,171,SCH - NE - NY,-835.999966,57.9630455374444,1
651,292,143,SCH - NE - NY,-800.37899,43.4104129646257,1
19,30,6,SCH - NPX_1385,129.999995,-110.476803435258,1
1148,494,224,SCH - NPX_CSC,234.99999,364.803901283246,1
580,229,120,SCH - PJM_NEPTUNE,150,13.6085200552221,1
1136,487,220,SCH - PJM_HTP,100,317.053991153852,1
1528,612,306,SCH - PJM_VFT,149.772,-54.7759814615522,1
773,331,169,SCH - PJ - NY,159.621,49.1446789736739,1
756,325,158,SCH - PJ - NY,0,0,0
1132,455,216,SCH - PJ - NY,199.620998,264.187342323382,1
571,220,115,SCH - PJ - NY,129.999995,60.3460421186898,1
1413,567,286,SCH - PJ - NY,0,0,0
1320,560,279,SCH - PJ - NY,0,0,0
1558,614,313,SCH - PJ - NY,0,0,0
81,91,32,SCH - PJ - NY,0,0,0
