scenario_id,fuel_class,nyiso_fuelmix_mw,model_class_capacity_mw,allocated_mw,unallocated_mw
S1_2019_SUMMER_PEAK_PUBLIC,Gas,15656,27813.999898,15656,0
S1_2019_SUMMER_PEAK_PUBLIC,Nuclear,5218.57142857143,5709.400037,5218.57142857143,0
S1_2019_SUMMER_PEAK_PUBLIC,Other Fossil Fuels,1018.21428571429,1783.700038,1018.21428571429,0
S1_2019_SUMMER_PEAK_PUBLIC,Other Renewables,262.5,194.900001,194.900001,67.599999
S1_2019_SUMMER_PEAK_PUBLIC,Wind,682.5,1978.500029,682.5,0
S1_2019_SUMMER_PEAK_PUBLIC,Hydro,4321.28571428571,5499.599927,4321.28571428571,0
S2_2019_WINTER_PEAK_PUBLIC,Gas,9229.25,26795.999961,9229.25,0
S2_2019_WINTER_PEAK_PUBLIC,Nuclear,5412.66666666667,5373.900052,5373.900052,38.766614666667
S2_2019_WINTER_PEAK_PUBLIC,Other Fossil Fuels,1459.75,1628.20241261506,1459.75,0
S2_2019_WINTER_PEAK_PUBLIC,Other Renewables,217.666666666667,192.900001,192.900001,24.7666656666667
S2_2019_WINTER_PEAK_PUBLIC,Wind,1357.58333333333,1972.999999,1357.58333333333,0
S2_2019_WINTER_PEAK_PUBLIC,Hydro,4381.08333333333,5372.19754338494,4381.08333333333,0
S3_2019_SHOULDER_LIGHT_LOAD_PUBLIC,Gas,2723,27813.999898,2723,0
S3_2019_SHOULDER_LIGHT_LOAD_PUBLIC,Nuclear,4787.66666666667,5709.400037,4787.66666666667,0
S3_2019_SHOULDER_LIGHT_LOAD_PUBLIC,Other Fossil Fuels,1.16666666666667,1783.700038,1.16666666666667,0
S3_2019_SHOULDER_LIGHT_LOAD_PUBLIC,Other Renewables,173.666666666667,194.900001,173.666666666667,0
S3_2019_SHOULDER_LIGHT_LOAD_PUBLIC,Wind,452.5,1978.500029,452.5,0
S3_2019_SHOULDER_LIGHT_LOAD_PUBLIC,Hydro,2815.75,5499.599927,2815.75,0
S4_2019_HIGH_NYC_LI_LOAD_PUBLIC,Gas,16065.0833333333,27813.999898,16065.0833333333,0
S4_2019_HIGH_NYC_LI_LOAD_PUBLIC,Nuclear,5256,5709.400037,5256,0
S4_2019_HIGH_NYC_LI_LOAD_PUBLIC,Other Fossil Fuels,1101.91666666667,1783.700038,1101.91666666667,0
S4_2019_HIGH_NYC_LI_LOAD_PUBLIC,Other Renewables,276.25,194.900001,194.900001,81.349999
S4_2019_HIGH_NYC_LI_LOAD_PUBLIC,Wind,104.75,1978.500029,104.75,0
S4_2019_HIGH_NYC_LI_LOAD_PUBLIC,Hydro,3589.41666666667,5499.599927,3589.41666666667,0
S5_2019_HIGH_TOTAL_EAST_PUBLIC,Gas,9947.76923076923,27813.999898,9947.76923076923,0
S5_2019_HIGH_TOTAL_EAST_PUBLIC,Nuclear,5259.46153846154,5709.400037,5259.46153846154,0
S5_2019_HIGH_TOTAL_EAST_PUBLIC,Other Fossil Fuels,308.615384615385,1783.700038,308.615384615385,0
S5_2019_HIGH_TOTAL_EAST_PUBLIC,Other Renewables,268.538461538462,194.900001,194.900001,73.6384605384615
S5_2019_HIGH_TOTAL_EAST_PUBLIC,Wind,395.846153846154,1978.500029,395.846153846154,0
S5_2019_HIGH_TOTAL_EAST_PUBLIC,Hydro,3688.84615384615,5499.599927,3688.84615384615,0
S6_2019_LOW_TOTAL_EAST_PUBLIC,Gas,6219.75,27813.999898,6219.75,0
S6_2019_LOW_TOTAL_EAST_PUBLIC,Nuclear,5248.5,5709.400037,5248.5,0
S6_2019_LOW_TOTAL_EAST_PUBLIC,Other Fossil Fuels,50.5833333333333,1783.700038,50.5833333333333,0
S6_2019_LOW_TOTAL_EAST_PUBLIC,Other Renewables,265,194.900001,194.900001,70.099999
S6_2019_LOW_TOTAL_EAST_PUBLIC,Wind,146.166666666667,1978.500029,146.166666666667,0
S6_2019_LOW_TOTAL_EAST_PUBLIC,Hydro,2756.66666666667,5499.599927,2756.66666666667,0
