source_bus,bus_name,base_kv,area,pd_mw,retention_reason
4,UNKNOWN124121,115,68,74.05,zone_load_coverage;
6,UNKNOWN124124,115,70,3.42,generator_or_boundary;
15,UNKNOWN124145,115,69,4.15,generator_or_boundary;
17,UNKNOWN124147,138,75,44.52,monitored_circuit;generator_or_boundary;
18,GLENWOOD LANDING,69,75,41.74,generator_or_boundary;
19,NORTHPORT,115,75,77.35,generator_or_boundary;
21,UNKNOWN124157,115,69,8.31,generator_or_boundary;
24,UNKNOWN124162,115,67,20.89,generator_or_boundary;
26,UNKNOWN124169,345,74,0,generator_or_boundary;hv_backbone;
27,UNKNOWN124171,115,67,8.36,generator_or_boundary;
29,UNKNOWN124194,115,67,16.71,generator_or_boundary;
30,UNKNOWN124195,115,67,8.36,generator_or_boundary;
31,UNKNOWN124198,115,70,3.42,generator_or_boundary;
32,UNKNOWN124199,115,70,3.42,generator_or_boundary;
33,UNKNOWN124200,115,65,5.05,generator_or_boundary;
34,HAMMERHILL,115,67,8.36,generator_or_boundary;
35,UNKNOWN124202,115,68,35.24,generator_or_boundary;
37,UNKNOWN124205,115,65,7.58,generator_or_boundary;
38,BLISS WINDPARK,115,65,5.05,generator_or_boundary;
39,UNKNOWN124224,230,65,0,generator_or_boundary;hv_backbone;
41,UNKNOWN124226,115,65,5.05,generator_or_boundary;
52,UNKNOWN124252,115,67,4.18,generator_or_boundary;
53,UNKNOWN124253,115,67,8.36,generator_or_boundary;
54,UNKNOWN124256,230,67,0,hv_backbone;
60,UNKNOWN124328,69,69,1.87,generator_or_boundary;
62,UNKNOWN124337,345,70,0,hv_backbone;
63,UNKNOWN124338,345,70,0,generator_or_boundary;hv_backbone;
69,FALCONER,115,65,12.63,generator_or_boundary;
79,EAST 13TH STREET,345,74,0,generator_or_boundary;hv_backbone;
80,UNKNOWN124470,115,69,4.15,generator_or_boundary;
82,UNKNOWN124526,115,69,2.08,generator_or_boundary;
83,UNKNOWN124528,115,69,6.23,generator_or_boundary;
84,UNKNOWN124529,115,70,3.42,generator_or_boundary;
95,UNKNOWN124584,115,66,7.2,generator_or_boundary;
116,UNKNOWN124652,115,67,8.36,generator_or_boundary;
127,UNKNOWN124704,115,70,34.22,generator_or_boundary;
128,UNKNOWN124705,115,66,43.2,generator_or_boundary;
132,UNKNOWN124725,230,67,0,hv_backbone;
138,UNKNOWN124741,230,65,0,generator_or_boundary;hv_backbone;
139,PERRY #162,115,65,7.58,monitored_circuit;
140,SOUTH PERRY,115,65,10.76,monitored_circuit;
161,UNKNOWN124943,115,65,5.05,generator_or_boundary;
192,UNKNOWN125031,115,68,44.43,zone_load_coverage;
193,UNKNOWN125033,115,68,59.24,zone_load_coverage;
194,UNKNOWN125053,115,70,20.53,generator_or_boundary;
214,SLEIGHT RD,115,66,21.6,monitored_circuit;
215,UNKNOWN125151,115,66,14.4,monitored_circuit;
216,QUAKER #121,115,66,57.59,monitored_circuit;
240,W HAMLIN,115,66,14.4,switched_shunt;
250,UNKNOWN125198,115,66,28.8,generator_or_boundary;
254,LAPEER,345,67,0,hv_backbone;
284,UNKNOWN125352,115,65,2.53,generator_or_boundary;
294,NEW GARDENVILLE,230,65,0,hv_backbone;
298,SENECA TERMINAL,230,65,0,hv_backbone;
313,CAMPUS,230,65,0,hv_backbone;
315,SAWYER AVE,230,65,0,hv_backbone;
317,DUPONT,115,65,2.53,generator_or_boundary;
330,UNKNOWN125433,345,67,0,hv_backbone;
331,UNKNOWN125434,345,67,0,hv_backbone;
332,ELBRIDGE,345,67,0,hv_backbone;
337,DEWITT,345,67,0,hv_backbone;
339,UNKNOWN125442,115,67,4.18,generator_or_boundary;
357,UNKNOWN125476,345,67,0,generator_or_boundary;hv_backbone;
358,UNKNOWN125477,345,67,0,generator_or_boundary;hv_backbone;
368,FENNER,115,69,4.15,generator_or_boundary;
378,UNKNOWN125582,115,69,6.23,generator_or_boundary;
381,UNKNOWN125598,115,69,2.08,generator_or_boundary;
395,UNKNOWN125628,230,69,0,generator_or_boundary;hv_backbone;
399,UNKNOWN125633,115,69,4.15,generator_or_boundary;
404,UNKNOWN125640,115,69,2.08,monitored_circuit;
405,UNKNOWN125641,115,69,2.08,monitored_circuit;generator_or_boundary;
406,UNKNOWN125642,115,69,2.08,generator_or_boundary;
407,UNKNOWN125643,115,69,2.08,generator_or_boundary;
408,UNKNOWN125644,115,69,2.08,generator_or_boundary;
409,UNKNOWN125645,115,69,2.08,generator_or_boundary;
414,UNKNOWN125651,115,69,4.15,monitored_circuit;
415,ALCOA MASSENA OPERATIONS - WEST PLANT,115,69,20.77,monitored_circuit;
445,UNKNOWN127603,115,69,4.15,monitored_circuit;
449,UNKNOWN127611,115,68,44.43,zone_load_coverage;
455,UNKNOWN127629,115,69,4.15,monitored_circuit;
463,UNKNOWN127712,115,70,3.42,generator_or_boundary;
469,UNKNOWN127722,115,70,3.42,generator_or_boundary;
474,SPIER FALLS,115,70,34.22,generator_or_boundary;
485,UNKNOWN127973,115,68,29.62,switched_shunt;
489,UNKNOWN127980,115,70,10.27,switched_shunt;
508,UNKNOWN128274,115,70,6.84,generator_or_boundary;
512,UNKNOWN128280,115,71,20.76,switched_shunt;
526,UNKNOWN129050,69,69,0.93,generator_or_boundary;
529,UNKNOWN129084,345,71,0,hv_backbone;
530,UNKNOWN129085,345,71,0,hv_backbone;
535,SHOEMAKER,138,71,39.52,generator_or_boundary;
539,UNKNOWN129103,69,71,12.39,switched_shunt;
546,UNKNOWN129180,138,71,24.52,generator_or_boundary;
547,UNKNOWN129188,345,72,0,hv_backbone;
552,UNKNOWN129212,138,75,50.95,generator_or_boundary;
554,UNKNOWN129497,138,75,82.22,generator_or_boundary;
556,WEST ASTORIA,138,74,363.64,generator_or_boundary;
557,EAST ASTORIA,345,74,0,generator_or_boundary;hv_backbone;
560,SHORE RD,345,75,0,hv_backbone;
562,UNKNOWN129567,230,68,0,generator_or_boundary;hv_backbone;
563,UNKNOWN129569,115,70,3.42,generator_or_boundary;
564,UNKNOWN129570,69,75,6.96,generator_or_boundary;
