scenario_id,zone,closure_delta_mw
S1_2019_SUMMER_PEAK_PUBLIC,A,282.880445149459
S1_2019_SUMMER_PEAK_PUBLIC,B,-177.839835792278
S1_2019_SUMMER_PEAK_PUBLIC,C,-79.6258785037249
S1_2019_SUMMER_PEAK_PUBLIC,D,133.796117984194
S1_2019_SUMMER_PEAK_PUBLIC,E,78.5832325703428
S1_2019_SUMMER_PEAK_PUBLIC,F,-306.625222643869
S1_2019_SUMMER_PEAK_PUBLIC,G,-303.112779195753
S1_2019_SUMMER_PEAK_PUBLIC,I,85.0584163611029
S1_2019_SUMMER_PEAK_PUBLIC,H,95.1415148691008
S1_2019_SUMMER_PEAK_PUBLIC,J,129.483280450003
S1_2019_SUMMER_PEAK_PUBLIC,K,62.2607087514239
S2_2019_WINTER_PEAK_PUBLIC,A,469.318320087903
S2_2019_WINTER_PEAK_PUBLIC,B,-38.0193806347239
S2_2019_WINTER_PEAK_PUBLIC,C,288.180303983723
S2_2019_WINTER_PEAK_PUBLIC,D,126.72702992859
S2_2019_WINTER_PEAK_PUBLIC,E,183.98172922441
S2_2019_WINTER_PEAK_PUBLIC,F,-668.340822929081
S2_2019_WINTER_PEAK_PUBLIC,G,-563.289209648937
S2_2019_WINTER_PEAK_PUBLIC,I,73.1872762600461
S2_2019_WINTER_PEAK_PUBLIC,H,96.3060363038476
S2_2019_WINTER_PEAK_PUBLIC,J,2.823535669276
S2_2019_WINTER_PEAK_PUBLIC,K,29.1251817549468
S3_2019_SHOULDER_LIGHT_LOAD_PUBLIC,A,1.03735292701595
S3_2019_SHOULDER_LIGHT_LOAD_PUBLIC,B,-104.942369688493
S3_2019_SHOULDER_LIGHT_LOAD_PUBLIC,C,98.5087948674125
S3_2019_SHOULDER_LIGHT_LOAD_PUBLIC,D,296.491720415982
S3_2019_SHOULDER_LIGHT_LOAD_PUBLIC,E,270.023540482141
S3_2019_SHOULDER_LIGHT_LOAD_PUBLIC,F,-879.852218982725
S3_2019_SHOULDER_LIGHT_LOAD_PUBLIC,G,-459.625885561626
S3_2019_SHOULDER_LIGHT_LOAD_PUBLIC,I,22.656156819939
S3_2019_SHOULDER_LIGHT_LOAD_PUBLIC,H,84.322837262222
S3_2019_SHOULDER_LIGHT_LOAD_PUBLIC,J,712.104162152097
S3_2019_SHOULDER_LIGHT_LOAD_PUBLIC,K,-40.7240906939651
S4_2019_HIGH_NYC_LI_LOAD_PUBLIC,A,20.5338911569822
S4_2019_HIGH_NYC_LI_LOAD_PUBLIC,B,-140.551371448583
S4_2019_HIGH_NYC_LI_LOAD_PUBLIC,C,-1.15818240598855
S4_2019_HIGH_NYC_LI_LOAD_PUBLIC,D,135.713719434751
S4_2019_HIGH_NYC_LI_LOAD_PUBLIC,E,131.378951438487
S4_2019_HIGH_NYC_LI_LOAD_PUBLIC,F,-389.941266874492
S4_2019_HIGH_NYC_LI_LOAD_PUBLIC,G,-347.350473833823
S4_2019_HIGH_NYC_LI_LOAD_PUBLIC,I,26.7682076860206
S4_2019_HIGH_NYC_LI_LOAD_PUBLIC,H,39.7579616390938
S4_2019_HIGH_NYC_LI_LOAD_PUBLIC,J,506.062848581179
S4_2019_HIGH_NYC_LI_LOAD_PUBLIC,K,18.7857146263741
S5_2019_HIGH_TOTAL_EAST_PUBLIC,A,490.352699919126
S5_2019_HIGH_TOTAL_EAST_PUBLIC,B,-47.1614150922221
S5_2019_HIGH_TOTAL_EAST_PUBLIC,C,113.141906096531
S5_2019_HIGH_TOTAL_EAST_PUBLIC,D,199.938154570536
S5_2019_HIGH_TOTAL_EAST_PUBLIC,E,188.593410989607
S5_2019_HIGH_TOTAL_EAST_PUBLIC,F,-317.619319248181
S5_2019_HIGH_TOTAL_EAST_PUBLIC,G,-439.616312130593
S5_2019_HIGH_TOTAL_EAST_PUBLIC,I,46.7531022468643
S5_2019_HIGH_TOTAL_EAST_PUBLIC,H,49.5272771969412
S5_2019_HIGH_TOTAL_EAST_PUBLIC,J,-291.048264153771
S5_2019_HIGH_TOTAL_EAST_PUBLIC,K,7.13875960516236
S6_2019_LOW_TOTAL_EAST_PUBLIC,A,447.394291729468
S6_2019_LOW_TOTAL_EAST_PUBLIC,B,-301.283263882056
S6_2019_LOW_TOTAL_EAST_PUBLIC,C,-337.593123020171
S6_2019_LOW_TOTAL_EAST_PUBLIC,D,301.073570282698
S6_2019_LOW_TOTAL_EAST_PUBLIC,E,180.377616359658
S6_2019_LOW_TOTAL_EAST_PUBLIC,F,-304.512235150599
S6_2019_LOW_TOTAL_EAST_PUBLIC,G,-217.348652245685
S6_2019_LOW_TOTAL_EAST_PUBLIC,I,-2.24366973310034
S6_2019_LOW_TOTAL_EAST_PUBLIC,H,-8.48193257693151
S6_2019_LOW_TOTAL_EAST_PUBLIC,J,270.002849175131
S6_2019_LOW_TOTAL_EAST_PUBLIC,K,-27.3854509384111
