scenario_id,timestamp,scale_factor_gamma,s12_p32_group,public_schedule_components,s13_region,group_target_mw,regional_target_mw,s12_group_row_count,s12_gen_indices,s12_source_buses,s13_tie_branch_rows,s13_import_operator,s13_branch_endpoints,s13_external_area_codes,regional_map_defined,validated_s13_tie_controller,individual_control_status,mapping_status,policy_note
S1_2019_SUMMER_PEAK_PUBLIC,2019-07-20 16:00,0.358662225381536,SCH - HQ - NY,SCH - HQ - NY;SCH - HQ_CEDARS,HQ,606.139160894796,606.139160894796,2,530;613,1231;1546,221,row221:-PF,row221:48-100,4,1,0,regional_AC_cut_only_controller_pending,regional_map_defined_controller_pending,S12 boundary generators remain oracle-only; S13 must use tie-flow control and external-area redispatch.
S1_2019_SUMMER_PEAK_PUBLIC,2019-07-20 16:00,0.358662225381536,SCH - OH - NY,SCH - OH - NY,ONTARIO,223.880547705409,223.880547705409,2,559;615,1313;1570,63;64,row63:-PF;row64:-PF,row63:54-102;row64:54-103,4,1,0,regional_AC_cut_only_controller_pending,regional_map_defined_controller_pending,S12 boundary generators remain oracle-only; S13 must use tie-flow control and external-area redispatch.
S1_2019_SUMMER_PEAK_PUBLIC,2019-07-20 16:00,0.358662225381536,SCH - NE - NY,SCH - NE - NY,ISONE,-400.184551213956,-210.093571761742,2,333;292,799;651,25;32,row25:-PT;row32:-PT,row25:29-37;row32:35-73,1,1,0,regional_AC_cut_only_controller_pending,regional_map_defined_controller_pending,S12 boundary generators remain oracle-only; S13 must use tie-flow control and external-area redispatch.
S1_2019_SUMMER_PEAK_PUBLIC,2019-07-20 16:00,0.358662225381536,SCH - NPX_1385,SCH - NPX_1385,ISONE,71.7324450763072,-210.093571761742,1,30,19,25;32,row25:-PT;row32:-PT,row25:29-37;row32:35-73,1,1,0,absorbed_into_regional_cut_no_individual_S13_path,regional_map_defined_controller_pending,S12 boundary generators remain oracle-only; S13 must use tie-flow control and external-area redispatch.
S1_2019_SUMMER_PEAK_PUBLIC,2019-07-20 16:00,0.358662225381536,SCH - NPX_CSC,SCH - NPX_CSC,ISONE,118.358534375907,-210.093571761742,1,494,1148,25;32,row25:-PT;row32:-PT,row25:29-37;row32:35-73,1,1,0,absorbed_into_regional_cut_no_individual_S13_path,regional_map_defined_controller_pending,S12 boundary generators remain oracle-only; S13 must use tie-flow control and external-area redispatch.
S1_2019_SUMMER_PEAK_PUBLIC,2019-07-20 16:00,0.358662225381536,SCH - PJ - NY,SCH - PJ - NY,PJM,346.847891677468,607.953991755227,8,331;325;455;220;567;560;614;91,773;756;1132;571;1413;1320;1558;81,72;80;83;93;99,row72:-PF;row80:-PF;row83:-PF;row93:-PF;row99:-PF,row72:60-140;row80:66-134;row83:67-138;row93:75-124;row99:81-125,6,1,0,regional_AC_cut_only_controller_pending,regional_map_defined_controller_pending,S12 boundary generators remain oracle-only; S13 must use tie-flow control and external-area redispatch.
S1_2019_SUMMER_PEAK_PUBLIC,2019-07-20 16:00,0.358662225381536,SCH - PJM_HTP,SCH - PJM_HTP,PJM,53.7993338072304,607.953991755227,1,487,1136,72;80;83;93;99,row72:-PF;row80:-PF;row83:-PF;row93:-PF;row99:-PF,row72:60-140;row80:66-134;row83:67-138;row93:75-124;row99:81-125,6,1,0,absorbed_into_regional_cut_no_individual_S13_path,regional_map_defined_controller_pending,S12 boundary generators remain oracle-only; S13 must use tie-flow control and external-area redispatch.
S1_2019_SUMMER_PEAK_PUBLIC,2019-07-20 16:00,0.358662225381536,SCH - PJM_NEPTUNE,SCH - PJM_NEPTUNE,PJM,236.717068751814,607.953991755227,1,229,580,72;80;83;93;99,row72:-PF;row80:-PF;row83:-PF;row93:-PF;row99:-PF,row72:60-140;row80:66-134;row83:67-138;row93:75-124;row99:81-125,6,1,0,absorbed_into_regional_cut_no_individual_S13_path,regional_map_defined_controller_pending,S12 boundary generators remain oracle-only; S13 must use tie-flow control and external-area redispatch.
S1_2019_SUMMER_PEAK_PUBLIC,2019-07-20 16:00,0.358662225381536,SCH - PJM_VFT,SCH - PJM_VFT,PJM,-29.410302481286,607.953991755227,1,612,1528,72;80;83;93;99,row72:-PF;row80:-PF;row83:-PF;row93:-PF;row99:-PF,row72:60-140;row80:66-134;row83:67-138;row93:75-124;row99:81-125,6,1,0,absorbed_into_regional_cut_no_individual_S13_path,regional_map_defined_controller_pending,S12 boundary generators remain oracle-only; S13 must use tie-flow control and external-area redispatch.
S2_2019_WINTER_PEAK_PUBLIC,2019-01-21 18:00,0.440892759455022,SCH - HQ - NY,SCH - HQ - NY;SCH - HQ_CEDARS,HQ,192.22924312239,192.22924312239,2,530;613,1231;1546,221,row221:-PF,row221:48-100,4,1,0,regional_AC_cut_only_controller_pending,regional_map_defined_controller_pending,S12 boundary generators remain oracle-only; S13 must use tie-flow control and external-area redispatch.
S2_2019_WINTER_PEAK_PUBLIC,2019-01-21 18:00,0.440892759455022,SCH - OH - NY,SCH - OH - NY,ONTARIO,308.933556550134,308.933556550134,2,559;615,1313;1570,63;64,row63:-PF;row64:-PF,row63:54-102;row64:54-103,4,1,0,regional_AC_cut_only_controller_pending,regional_map_defined_controller_pending,S12 boundary generators remain oracle-only; S13 must use tie-flow control and external-area redispatch.
S2_2019_WINTER_PEAK_PUBLIC,2019-01-21 18:00,0.440892759455022,SCH - NE - NY,SCH - NE - NY,ISONE,-281.377759084195,-217.889201722672,2,333;292,799;651,25;32,row25:-PT;row32:-PT,row25:29-37;row32:35-73,1,1,0,regional_AC_cut_only_controller_pending,regional_map_defined_controller_pending,S12 boundary generators remain oracle-only; S13 must use tie-flow control and external-area redispatch.
S2_2019_WINTER_PEAK_PUBLIC,2019-01-21 18:00,0.440892759455022,SCH - NPX_1385,SCH - NPX_1385,ISONE,63.4885573615232,-217.889201722672,1,30,19,25;32,row25:-PT;row32:-PT,row25:29-37;row32:35-73,1,1,0,absorbed_into_regional_cut_no_individual_S13_path,regional_map_defined_controller_pending,S12 boundary generators remain oracle-only; S13 must use tie-flow control and external-area redispatch.
S2_2019_WINTER_PEAK_PUBLIC,2019-01-21 18:00,0.440892759455022,SCH - NPX_CSC,SCH - NPX_CSC,ISONE,0,-217.889201722672,1,494,1148,25;32,row25:-PT;row32:-PT,row25:29-37;row32:35-73,1,1,0,absorbed_into_regional_cut_no_individual_S13_path,regional_map_defined_controller_pending,S12 boundary generators remain oracle-only; S13 must use tie-flow control and external-area redispatch.
S2_2019_WINTER_PEAK_PUBLIC,2019-01-21 18:00,0.440892759455022,SCH - PJ - NY,SCH - PJ - NY,PJM,532.07819996551,1032.93237470641,8,331;325;455;220;567;560;614;91,773;756;1132;571;1413;1320;1558;81,72;80;83;93;99,row72:-PF;row80:-PF;row83:-PF;row93:-PF;row99:-PF,row72:60-140;row80:66-134;row83:67-138;row93:75-124;row99:81-125,6,1,0,regional_AC_cut_only_controller_pending,regional_map_defined_controller_pending,S12 boundary generators remain oracle-only; S13 must use tie-flow control and external-area redispatch.
S2_2019_WINTER_PEAK_PUBLIC,2019-01-21 18:00,0.440892759455022,SCH - PJM_HTP,SCH - PJM_HTP,PJM,133.149613355417,1032.93237470641,1,487,1136,72;80;83;93;99,row72:-PF;row80:-PF;row83:-PF;row93:-PF;row99:-PF,row72:60-140;row80:66-134;row83:67-138;row93:75-124;row99:81-125,6,1,0,absorbed_into_regional_cut_no_individual_S13_path,regional_map_defined_controller_pending,S12 boundary generators remain oracle-only; S13 must use tie-flow control and external-area redispatch.
S2_2019_WINTER_PEAK_PUBLIC,2019-01-21 18:00,0.440892759455022,SCH - PJM_NEPTUNE,SCH - PJM_NEPTUNE,PJM,228.823342157156,1032.93237470641,1,229,580,72;80;83;93;99,row72:-PF;row80:-PF;row83:-PF;row93:-PF;row99:-PF,row72:60-140;row80:66-134;row83:67-138;row93:75-124;row99:81-125,6,1,0,absorbed_into_regional_cut_no_individual_S13_path,regional_map_defined_controller_pending,S12 boundary generators remain oracle-only; S13 must use tie-flow control and external-area redispatch.
