perturbation_id,family,source_zone,sink_zone,transfer_mw,load_zone,load_change_percent,outaged_source_branch_row,outaged_s12_branch_row,outaged_s13_branch_row,required_baseline,balancing_policy_id,refit_performed,execution_status,s12_pf_success,s13_pf_success,oracle_E_G_cut_delta_mw,s13_E_G_cut_delta_mw,E_G_cut_delta_error_percent,maximum_physical_delta_I_error_percent,response_regression_slope,current_change_direction_pass,gate_status,blocked_reason
E_TO_G_P250,balanced_zonal_transfer,E,G,250,,NaN,NaN,NaN,NaN,frozen_common_no_fit_baseline,pending_common_balancing_gsk_not_frozen,0,blocked,NaN,NaN,NaN,NaN,NaN,NaN,NaN,not_evaluated,blocked,Frozen common S12/S13 baseline unavailable: s13_zonal_generation_representable; validated_full_npcc_tie_controller; common_ac_loss_balance_policy; common_voltage_control_policy
E_TO_G_N250,balanced_zonal_transfer,E,G,-250,,NaN,NaN,NaN,NaN,frozen_common_no_fit_baseline,pending_common_balancing_gsk_not_frozen,0,blocked,NaN,NaN,NaN,NaN,NaN,NaN,NaN,not_evaluated,blocked,Frozen common S12/S13 baseline unavailable: s13_zonal_generation_representable; validated_full_npcc_tie_controller; common_ac_loss_balance_policy; common_voltage_control_policy
E_TO_G_P500,balanced_zonal_transfer,E,G,500,,NaN,NaN,NaN,NaN,frozen_common_no_fit_baseline,pending_common_balancing_gsk_not_frozen,0,blocked,NaN,NaN,NaN,NaN,NaN,NaN,NaN,not_evaluated,blocked,Frozen common S12/S13 baseline unavailable: s13_zonal_generation_representable; validated_full_npcc_tie_controller; common_ac_loss_balance_policy; common_voltage_control_policy
E_TO_G_N500,balanced_zonal_transfer,E,G,-500,,NaN,NaN,NaN,NaN,frozen_common_no_fit_baseline,pending_common_balancing_gsk_not_frozen,0,blocked,NaN,NaN,NaN,NaN,NaN,NaN,NaN,not_evaluated,blocked,Frozen common S12/S13 baseline unavailable: s13_zonal_generation_representable; validated_full_npcc_tie_controller; common_ac_loss_balance_policy; common_voltage_control_policy
F_TO_G_P250,balanced_zonal_transfer,F,G,250,,NaN,NaN,NaN,NaN,frozen_common_no_fit_baseline,pending_common_balancing_gsk_not_frozen,0,blocked,NaN,NaN,NaN,NaN,NaN,NaN,NaN,not_evaluated,blocked,Frozen common S12/S13 baseline unavailable: s13_zonal_generation_representable; validated_full_npcc_tie_controller; common_ac_loss_balance_policy; common_voltage_control_policy
F_TO_G_N250,balanced_zonal_transfer,F,G,-250,,NaN,NaN,NaN,NaN,frozen_common_no_fit_baseline,pending_common_balancing_gsk_not_frozen,0,blocked,NaN,NaN,NaN,NaN,NaN,NaN,NaN,not_evaluated,blocked,Frozen common S12/S13 baseline unavailable: s13_zonal_generation_representable; validated_full_npcc_tie_controller; common_ac_loss_balance_policy; common_voltage_control_policy
ZONE_E_LOAD_P5,balanced_zonal_load_change,,,NaN,E,5,NaN,NaN,NaN,frozen_common_no_fit_baseline,pending_common_balancing_gsk_not_frozen,0,blocked,NaN,NaN,NaN,NaN,NaN,NaN,NaN,not_evaluated,blocked,Frozen common S12/S13 baseline unavailable: s13_zonal_generation_representable; validated_full_npcc_tie_controller; common_ac_loss_balance_policy; common_voltage_control_policy
ZONE_E_LOAD_N5,balanced_zonal_load_change,,,NaN,E,-5,NaN,NaN,NaN,frozen_common_no_fit_baseline,pending_common_balancing_gsk_not_frozen,0,blocked,NaN,NaN,NaN,NaN,NaN,NaN,NaN,not_evaluated,blocked,Frozen common S12/S13 baseline unavailable: s13_zonal_generation_representable; validated_full_npcc_tie_controller; common_ac_loss_balance_policy; common_voltage_control_policy
ZONE_G_LOAD_P5,balanced_zonal_load_change,,,NaN,G,5,NaN,NaN,NaN,frozen_common_no_fit_baseline,pending_common_balancing_gsk_not_frozen,0,blocked,NaN,NaN,NaN,NaN,NaN,NaN,NaN,not_evaluated,blocked,Frozen common S12/S13 baseline unavailable: s13_zonal_generation_representable; validated_full_npcc_tie_controller; common_ac_loss_balance_policy; common_voltage_control_policy
ZONE_G_LOAD_N5,balanced_zonal_load_change,,,NaN,G,-5,NaN,NaN,NaN,frozen_common_no_fit_baseline,pending_common_balancing_gsk_not_frozen,0,blocked,NaN,NaN,NaN,NaN,NaN,NaN,NaN,not_evaluated,blocked,Frozen common S12/S13 baseline unavailable: s13_zonal_generation_representable; validated_full_npcc_tie_controller; common_ac_loss_balance_policy; common_voltage_control_policy
COOPERS_ROCK_TAVERN_CKT1_OUTAGE,physical_circuit_outage,,,NaN,,NaN,1567,203,251,frozen_common_no_fit_baseline,pending_common_balancing_gsk_not_frozen,0,blocked,NaN,NaN,NaN,NaN,NaN,NaN,NaN,not_evaluated,blocked,Frozen common S12/S13 baseline unavailable: s13_zonal_generation_representable; validated_full_npcc_tie_controller; common_ac_loss_balance_policy; common_voltage_control_policy
COOPERS_ROCK_TAVERN_CKT2_OUTAGE,physical_circuit_outage,,,NaN,,NaN,1568,204,252,frozen_common_no_fit_baseline,pending_common_balancing_gsk_not_frozen,0,blocked,NaN,NaN,NaN,NaN,NaN,NaN,NaN,not_evaluated,blocked,Frozen common S12/S13 baseline unavailable: s13_zonal_generation_representable; validated_full_npcc_tie_controller; common_ac_loss_balance_policy; common_voltage_control_policy
