model_branch_row,model_from_bus,model_to_bus,overlay_path_id,npcc_attachment_from_bus,npcc_attachment_to_bus,source_model,source_case,source_branch_row,source_from_bus,source_to_bus,source_circuit_id,source_r_pu,source_x_pu,source_b_pu,source_rate_a_mva,source_rate_b_mva,source_rate_c_mva,branch_classification,construction_method,dlr_eligible,dlr_data_status,mapping_confidence,residual_overlap_status,implementation_status
263,547,594,phase1c_downstate_mesh,74,9003,full_PERFORM_2019_case,PERFORM/On Peak 2019 v23_Perform_NY/On Peak 2019 v23/nyiso_On_Peak_v23_shunts_as_z_load.m,1107,547,594,PERFORM_ROW_1107,0.00028,0.00425,0.10981,1216,2454,1804,source_circuit_raw_id_unresolved,direct_perform_electrical_copy_neutral_angle_bounds,0,electrical_scope_only,exact_sha256_source_row_electrical_identity,unresolved_aggregate_overlap_no_fit,implemented_unpromoted_phase1c
264,547,594,phase1c_downstate_mesh,74,9003,full_PERFORM_2019_case,PERFORM/On Peak 2019 v23_Perform_NY/On Peak 2019 v23/nyiso_On_Peak_v23_shunts_as_z_load.m,1108,547,594,PERFORM_ROW_1108,0.00028,0.00425,0.10981,1216,2454,1804,source_circuit_raw_id_unresolved,direct_perform_electrical_copy_neutral_angle_bounds,0,electrical_scope_only,exact_sha256_source_row_electrical_identity,unresolved_aggregate_overlap_no_fit,implemented_unpromoted_phase1c
265,547,594,phase1c_downstate_mesh,74,9003,full_PERFORM_2019_case,PERFORM/On Peak 2019 v23_Perform_NY/On Peak 2019 v23/nyiso_On_Peak_v23_shunts_as_z_load.m,1109,547,594,PERFORM_ROW_1109,0.00028,0.00429,0.1109,1216,2454,1804,source_circuit_raw_id_unresolved,direct_perform_electrical_copy_neutral_angle_bounds,0,electrical_scope_only,exact_sha256_source_row_electrical_identity,unresolved_aggregate_overlap_no_fit,implemented_unpromoted_phase1c
266,547,594,phase1c_downstate_mesh,74,9003,full_PERFORM_2019_case,PERFORM/On Peak 2019 v23_Perform_NY/On Peak 2019 v23/nyiso_On_Peak_v23_shunts_as_z_load.m,1110,547,594,PERFORM_ROW_1110,0.00028,0.0043,0.11125,1216,2454,1804,source_circuit_raw_id_unresolved,direct_perform_electrical_copy_neutral_angle_bounds,0,electrical_scope_only,exact_sha256_source_row_electrical_identity,unresolved_aggregate_overlap_no_fit,implemented_unpromoted_phase1c
267,547,74,phase1c_downstate_mesh,74,9003,full_PERFORM_2019_case,PERFORM/On Peak 2019 v23_Perform_NY/On Peak 2019 v23/nyiso_On_Peak_v23_shunts_as_z_load.m,1111,547,897,PERFORM_ROW_1111,0.00028,0.00424,0.10951,1216,2454,1804,source_circuit_raw_id_unresolved,direct_perform_electrical_copy_neutral_angle_bounds,0,electrical_scope_only,exact_sha256_source_row_electrical_identity,unresolved_aggregate_overlap_no_fit,implemented_unpromoted_phase1c
268,547,74,phase1c_downstate_mesh,74,9003,full_PERFORM_2019_case,PERFORM/On Peak 2019 v23_Perform_NY/On Peak 2019 v23/nyiso_On_Peak_v23_shunts_as_z_load.m,1112,547,897,PERFORM_ROW_1112,0.00028,0.00432,0.11162,1216,2454,1804,source_circuit_raw_id_unresolved,direct_perform_electrical_copy_neutral_angle_bounds,0,electrical_scope_only,exact_sha256_source_row_electrical_identity,unresolved_aggregate_overlap_no_fit,implemented_unpromoted_phase1c
269,547,74,phase1c_downstate_mesh,74,9003,full_PERFORM_2019_case,PERFORM/On Peak 2019 v23_Perform_NY/On Peak 2019 v23/nyiso_On_Peak_v23_shunts_as_z_load.m,1113,547,897,PERFORM_ROW_1113,0.00028,0.0043,0.11121,1216,2454,1804,source_circuit_raw_id_unresolved,direct_perform_electrical_copy_neutral_angle_bounds,0,electrical_scope_only,exact_sha256_source_row_electrical_identity,unresolved_aggregate_overlap_no_fit,implemented_unpromoted_phase1c
270,557,1493,phase1c_downstate_mesh,74,9003,full_PERFORM_2019_case,PERFORM/On Peak 2019 v23_Perform_NY/On Peak 2019 v23/nyiso_On_Peak_v23_shunts_as_z_load.m,1152,557,1493,PERFORM_ROW_1152,0.0012,0.055,0,1292,1347,1395,source_transformer_raw_id_unresolved,direct_perform_electrical_copy_neutral_angle_bounds,0,electrical_scope_only,exact_sha256_source_row_electrical_identity,unresolved_aggregate_overlap_no_fit,implemented_unpromoted_phase1c
271,557,1493,phase1c_downstate_mesh,74,9003,full_PERFORM_2019_case,PERFORM/On Peak 2019 v23_Perform_NY/On Peak 2019 v23/nyiso_On_Peak_v23_shunts_as_z_load.m,1153,557,1493,PERFORM_ROW_1153,0.0012,0.055,0,1292,1347,1395,source_transformer_raw_id_unresolved,direct_perform_electrical_copy_neutral_angle_bounds,0,electrical_scope_only,exact_sha256_source_row_electrical_identity,unresolved_aggregate_overlap_no_fit,implemented_unpromoted_phase1c
272,560,593,phase1c_downstate_mesh,74,9003,full_PERFORM_2019_case,PERFORM/On Peak 2019 v23_Perform_NY/On Peak 2019 v23/nyiso_On_Peak_v23_shunts_as_z_load.m,1159,560,593,PERFORM_ROW_1159,0.00046,0.00697,0.18022,600,2454,1804,source_circuit_raw_id_unresolved,direct_perform_electrical_copy_neutral_angle_bounds,0,electrical_scope_only,exact_sha256_source_row_electrical_identity,unresolved_aggregate_overlap_no_fit,implemented_unpromoted_phase1c
