model_bus,model_bus_name,model_action,terminal_electrical_policy,overlay_path_id,npcc_attachment_bus,source_attachment_bus,source_model,source_case,source_bus,source_bus_name,source_base_kv,source_area,model_area,physical_zone,source_vm_pu,source_va_deg,source_pd_mw,source_qd_mvar,source_gs_mw,source_bs_mvar,mapping_confidence,implementation_status
547,UNKNOWN129188,appended_physical_terminal,pq_zero_injection_devices_audited_separately,phase1c_downstate_mesh,74,897,full_PERFORM_2019_case,PERFORM/On Peak 2019 v23_Perform_NY/On Peak 2019 v23/nyiso_On_Peak_v23_shunts_as_z_load.m,547,UNKNOWN129188,345,72,3,I,1.0135777,64.276542,0,0,0,0,exact_source_row_name_voltage_zone,implemented_unpromoted_phase1c
593,DUNWOODIE,appended_physical_terminal,pq_zero_injection_devices_audited_separately,phase1c_downstate_mesh,74,897,full_PERFORM_2019_case,PERFORM/On Peak 2019 v23_Perform_NY/On Peak 2019 v23/nyiso_On_Peak_v23_shunts_as_z_load.m,593,DUNWOODIE,345,72,3,I,1.0137196,62.742572,0,0,0,0,exact_source_row_name_voltage_zone,implemented_unpromoted_phase1c
594,SPRAIN BROOK,appended_physical_terminal,pq_zero_injection_devices_audited_separately,phase1c_downstate_mesh,74,897,full_PERFORM_2019_case,PERFORM/On Peak 2019 v23_Perform_NY/On Peak 2019 v23/nyiso_On_Peak_v23_shunts_as_z_load.m,594,SPRAIN BROOK,345,72,3,I,1.0140247,62.774346,0,0,0,0,exact_source_row_name_voltage_zone,implemented_unpromoted_phase1c
1136,WEST 49TH STREET,appended_physical_terminal,pq_zero_injection_devices_audited_separately,phase1c_downstate_mesh,74,897,full_PERFORM_2019_case,PERFORM/On Peak 2019 v23_Perform_NY/On Peak 2019 v23/nyiso_On_Peak_v23_shunts_as_z_load.m,1136,WEST 49TH STREET,345,74,3,J,1.02,62.472709,0,0,0,0,exact_source_row_name_voltage_zone,implemented_unpromoted_phase1c
1532,WEST 49TH STREET,appended_physical_terminal,pq_zero_injection_devices_audited_separately,phase1c_downstate_mesh,74,897,full_PERFORM_2019_case,PERFORM/On Peak 2019 v23_Perform_NY/On Peak 2019 v23/nyiso_On_Peak_v23_shunts_as_z_load.m,1532,WEST 49TH STREET,138,74,3,J,1.0182574,48.656463,570.05,0,0,0,exact_source_row_name_voltage_zone,implemented_unpromoted_phase1c
1501,DUNWOODIE,appended_physical_terminal,pq_zero_injection_devices_audited_separately,phase1c_downstate_mesh,74,897,full_PERFORM_2019_case,PERFORM/On Peak 2019 v23_Perform_NY/On Peak 2019 v23/nyiso_On_Peak_v23_shunts_as_z_load.m,1501,DUNWOODIE,138,72,3,I,1.0131491,47.942863,552.02,0,0,0,exact_source_row_name_voltage_zone,implemented_unpromoted_phase1c
1502,SPRAIN BROOK,appended_physical_terminal,pq_zero_injection_devices_audited_separately,phase1c_downstate_mesh,74,897,full_PERFORM_2019_case,PERFORM/On Peak 2019 v23_Perform_NY/On Peak 2019 v23/nyiso_On_Peak_v23_shunts_as_z_load.m,1502,SPRAIN BROOK,138,72,3,I,1.0088177,48.013086,617.23,0,0,0,exact_source_row_name_voltage_zone,implemented_unpromoted_phase1c
596,TREMONT,appended_physical_terminal,pq_zero_injection_devices_audited_separately,phase1c_downstate_mesh,74,897,full_PERFORM_2019_case,PERFORM/On Peak 2019 v23_Perform_NY/On Peak 2019 v23/nyiso_On_Peak_v23_shunts_as_z_load.m,596,TREMONT,138,74,3,J,1.009712,47.183503,522.5,0,0,0,exact_source_row_name_voltage_zone,implemented_unpromoted_phase1c
1503,TREMONT,appended_physical_terminal,pq_zero_injection_devices_audited_separately,phase1c_downstate_mesh,74,897,full_PERFORM_2019_case,PERFORM/On Peak 2019 v23_Perform_NY/On Peak 2019 v23/nyiso_On_Peak_v23_shunts_as_z_load.m,1503,TREMONT,69,74,3,J,0.9911945,46.12404,108.38,0,0,0,exact_source_row_name_voltage_zone,implemented_unpromoted_phase1c
598,GREAT NECK,appended_physical_terminal,pq_zero_injection_devices_audited_separately,phase1c_downstate_mesh,74,897,full_PERFORM_2019_case,PERFORM/On Peak 2019 v23_Perform_NY/On Peak 2019 v23/nyiso_On_Peak_v23_shunts_as_z_load.m,598,GREAT NECK,69,75,3,K,0.9978616,52.975459,27.82,0,0,0,exact_source_row_name_voltage_zone,implemented_unpromoted_phase1c
