source_bus,model_bus,source_bus_name,physical_zone,source_base_kv,model_action,source_sha256
897,74,MILLWOOD,H,345.0,retained_existing_attachment,f6ba2d787a4f22fcb7ae9f597cdd3111500d79921829a245d50e516c47e209ca
589,9003,EAST GARDEN CITY,K,345.0,retained_existing_attachment,f6ba2d787a4f22fcb7ae9f597cdd3111500d79921829a245d50e516c47e209ca
547,547,UNKNOWN129188,I,345.0,appended_zero_injection_terminal,f6ba2d787a4f22fcb7ae9f597cdd3111500d79921829a245d50e516c47e209ca
593,593,DUNWOODIE,I,345.0,appended_zero_injection_terminal,f6ba2d787a4f22fcb7ae9f597cdd3111500d79921829a245d50e516c47e209ca
594,594,SPRAIN BROOK,I,345.0,appended_zero_injection_terminal,f6ba2d787a4f22fcb7ae9f597cdd3111500d79921829a245d50e516c47e209ca
1136,1136,WEST 49TH STREET,J,345.0,appended_zero_injection_terminal,f6ba2d787a4f22fcb7ae9f597cdd3111500d79921829a245d50e516c47e209ca
1532,1532,WEST 49TH STREET,J,138.0,appended_zero_injection_terminal,f6ba2d787a4f22fcb7ae9f597cdd3111500d79921829a245d50e516c47e209ca
1501,1501,DUNWOODIE,I,138.0,appended_zero_injection_terminal,f6ba2d787a4f22fcb7ae9f597cdd3111500d79921829a245d50e516c47e209ca
1502,1502,SPRAIN BROOK,I,138.0,appended_zero_injection_terminal,f6ba2d787a4f22fcb7ae9f597cdd3111500d79921829a245d50e516c47e209ca
596,596,TREMONT,J,138.0,appended_zero_injection_terminal,f6ba2d787a4f22fcb7ae9f597cdd3111500d79921829a245d50e516c47e209ca
1503,1503,TREMONT,J,69.0,appended_zero_injection_terminal,f6ba2d787a4f22fcb7ae9f597cdd3111500d79921829a245d50e516c47e209ca
598,598,GREAT NECK,K,69.0,appended_zero_injection_terminal,f6ba2d787a4f22fcb7ae9f597cdd3111500d79921829a245d50e516c47e209ca
626,626,VALLEY STREAM,K,69.0,appended_zero_injection_terminal,f6ba2d787a4f22fcb7ae9f597cdd3111500d79921829a245d50e516c47e209ca
1506,1506,JAMAICA,J,69.0,appended_zero_injection_terminal,f6ba2d787a4f22fcb7ae9f597cdd3111500d79921829a245d50e516c47e209ca
628,628,JAMAICA,J,138.0,appended_zero_injection_terminal,f6ba2d787a4f22fcb7ae9f597cdd3111500d79921829a245d50e516c47e209ca
1493,1493,EAST ASTORIA,J,138.0,appended_zero_injection_terminal,f6ba2d787a4f22fcb7ae9f597cdd3111500d79921829a245d50e516c47e209ca
601,601,CORONA,J,138.0,appended_zero_injection_terminal,f6ba2d787a4f22fcb7ae9f597cdd3111500d79921829a245d50e516c47e209ca
595,595,BRUCKNER,J,138.0,appended_zero_injection_terminal,f6ba2d787a4f22fcb7ae9f597cdd3111500d79921829a245d50e516c47e209ca
597,597,NORTH QUEENS,J,138.0,appended_zero_injection_terminal,f6ba2d787a4f22fcb7ae9f597cdd3111500d79921829a245d50e516c47e209ca
600,600,EAST 179TH STREET,J,138.0,appended_zero_injection_terminal,f6ba2d787a4f22fcb7ae9f597cdd3111500d79921829a245d50e516c47e209ca
557,557,EAST ASTORIA,J,345.0,appended_zero_injection_terminal,f6ba2d787a4f22fcb7ae9f597cdd3111500d79921829a245d50e516c47e209ca
560,560,SHORE RD,K,345.0,appended_zero_injection_terminal,f6ba2d787a4f22fcb7ae9f597cdd3111500d79921829a245d50e516c47e209ca
1497,1497,EAST GARDEN CITY,K,69.0,appended_zero_injection_terminal,f6ba2d787a4f22fcb7ae9f597cdd3111500d79921829a245d50e516c47e209ca
