s1_gen_index,original_gen_index,bus_id,original_npcc_vg_pu,s1_saved_vg_pu,delta_vg_pu,changed,provenance
1,1,21,1.0486,1.1,0.0514000000000001,1,S1 saved from ACOPF solved case with opf.use_vg = 0
2,2,22,1.0593,1.1,0.0407000000000002,1,S1 saved from ACOPF solved case with opf.use_vg = 0
3,3,23,1.0157,1.1,0.0843,1,S1 saved from ACOPF solved case with opf.use_vg = 0
4,4,23,1.0157,1.1,0.0843,1,S1 saved from ACOPF solved case with opf.use_vg = 0
5,5,24,1.07625,1.1,0.0237500000000002,1,S1 saved from ACOPF solved case with opf.use_vg = 0
6,6,25,1.06,1.1,0.04,1,S1 saved from ACOPF solved case with opf.use_vg = 0
7,7,26,1.0455,1.1,0.0545,1,S1 saved from ACOPF solved case with opf.use_vg = 0
8,8,27,1.0455,1.1,0.0545,1,S1 saved from ACOPF solved case with opf.use_vg = 0
9,9,36,1.0486,1.1,0.0514000000000001,1,S1 saved from ACOPF solved case with opf.use_vg = 0
10,10,42,1.04,1.1,0.0600000000000001,1,S1 saved from ACOPF solved case with opf.use_vg = 0
11,11,47,1.03,1.09999999,0.0699999899999999,1,S1 saved from ACOPF solved case with opf.use_vg = 0
12,12,48,1.05,1.1,0.05,1,S1 saved from ACOPF solved case with opf.use_vg = 0
13,13,50,1.05,1.1,0.05,1,S1 saved from ACOPF solved case with opf.use_vg = 0
14,14,51,1.04,1.08300607,0.0430060699999999,1,S1 saved from ACOPF solved case with opf.use_vg = 0
15,15,53,1.03,1.09999998,0.06999998,1,S1 saved from ACOPF solved case with opf.use_vg = 0
16,16,54,1.0408,1.05172033,0.01092033,1,S1 saved from ACOPF solved case with opf.use_vg = 0
17,17,54,1.0408,1.05172033,0.01092033,1,S1 saved from ACOPF solved case with opf.use_vg = 0
18,18,55,1.04,1.08981247,0.04981247,1,S1 saved from ACOPF solved case with opf.use_vg = 0
19,19,56,1.03,1.1,0.0700000000000001,1,S1 saved from ACOPF solved case with opf.use_vg = 0
20,20,57,1.03,1.0934149,0.0634148999999999,1,S1 saved from ACOPF solved case with opf.use_vg = 0
21,21,60,1.04,1.09860245,0.05860245,1,S1 saved from ACOPF solved case with opf.use_vg = 0
22,22,61,1.04,1.05145966,0.0114596599999999,1,S1 saved from ACOPF solved case with opf.use_vg = 0
23,23,65,1.04,1.07077891,0.03077891,1,S1 saved from ACOPF solved case with opf.use_vg = 0
24,24,68,0.99,1.1,0.11,1,S1 saved from ACOPF solved case with opf.use_vg = 0
25,25,71,1,1.1,0.1,1,S1 saved from ACOPF solved case with opf.use_vg = 0
26,26,72,1.05,1.08884679,0.03884679,1,S1 saved from ACOPF solved case with opf.use_vg = 0
27,27,78,1.02,0.974721326,-0.045278674,1,S1 saved from ACOPF solved case with opf.use_vg = 0
28,28,79,1.05,0.980677999,-0.0693220010000001,1,S1 saved from ACOPF solved case with opf.use_vg = 0
29,29,80,1.0232,0.952721175,-0.0704788250000001,1,S1 saved from ACOPF solved case with opf.use_vg = 0
30,30,82,1.05,0.997173511,-0.0528264890000001,1,S1 saved from ACOPF solved case with opf.use_vg = 0
31,31,86,1,1.09999999,0.0999999899999999,1,S1 saved from ACOPF solved case with opf.use_vg = 0
32,32,91,1.04,1.00048644,-0.0395135600000001,1,S1 saved from ACOPF solved case with opf.use_vg = 0
33,33,92,1.04,1.1,0.0600000000000001,1,S1 saved from ACOPF solved case with opf.use_vg = 0
34,34,97,1.04,1.07937601,0.03937601,1,S1 saved from ACOPF solved case with opf.use_vg = 0
35,35,98,1.04,0.964770429,-0.0752295710000001,1,S1 saved from ACOPF solved case with opf.use_vg = 0
36,36,101,1.05,0.98018483,-0.06981517,1,S1 saved from ACOPF solved case with opf.use_vg = 0
37,37,115,1.02,1.09647785,0.0764778500000001,1,S1 saved from ACOPF solved case with opf.use_vg = 0
38,38,119,1,1.08292994,0.0829299400000001,1,S1 saved from ACOPF solved case with opf.use_vg = 0
39,39,120,1.02,1.1,0.0800000000000001,1,S1 saved from ACOPF solved case with opf.use_vg = 0
40,40,121,1.04,1.1,0.0600000000000001,1,S1 saved from ACOPF solved case with opf.use_vg = 0
41,41,122,1.05,1.1,0.05,1,S1 saved from ACOPF solved case with opf.use_vg = 0
42,42,123,1.01,1.09999999,0.0899999899999999,1,S1 saved from ACOPF solved case with opf.use_vg = 0
43,43,130,1.02,0.902224043,-0.117775957,1,S1 saved from ACOPF solved case with opf.use_vg = 0
44,44,133,1.02,0.9,-0.12,1,S1 saved from ACOPF solved case with opf.use_vg = 0
45,45,134,1.03,1.0791422,0.0491421999999999,1,S1 saved from ACOPF solved case with opf.use_vg = 0
46,46,135,1.02,0.900000001,-0.119999999,1,S1 saved from ACOPF solved case with opf.use_vg = 0
47,47,137,1.04,1.1,0.0600000000000001,1,S1 saved from ACOPF solved case with opf.use_vg = 0
48,48,139,1.01,0.900000001,-0.109999999,1,S1 saved from ACOPF solved case with opf.use_vg = 0
