case_id,case_group,zone_j_total_pmax_mw,zone_j_cost_c1,rho_j_cost_c2,x_spine_multiplier,x_gl_multiplier,scenario_count,success_count,sum_interface_objective,mean_interface_objective,max_abs_interface_residual_mw,mean_zone_j_equiv_pg_mw,max_zone_j_equiv_pg_mw,max_zone_j_fraction_pmax_used,max_branch_overload_count,max_voltage_bound_count
BASE_3GW_NO_INTERFACE_OBJECTIVE,baseline,3000,250,0.02,1,1,6,6,893.200243478533,148.866707246422,3750.77423594134,1442.97581070312,2073.93817227252,0.691312724090841,0,21
COMBINED_RHO_X_3GW_RHO_0p005_X_0p25,combined_rho_x,3000,250,0.005,0.25,1,6,6,964.285561560036,160.714260260006,3803.11150992795,1223.29993726315,1799.14159472988,0.599713864909961,0,20
COMBINED_RHO_X_3GW_RHO_0p005_X_0p5,combined_rho_x,3000,250,0.005,0.5,1,6,6,892.50650168538,148.75108361423,3775.89154644309,1329.97053562323,1959.00663860897,0.653002212869656,0,22
COMBINED_RHO_X_3GW_RHO_0p005_X_0p75,combined_rho_x,3000,250,0.005,0.75,1,6,6,887.235966286727,147.872661047788,3762.85718122747,1398.87134100777,2032.17699478668,0.677392331595562,0,21
COMBINED_RHO_X_3GW_RHO_0p005_X_1,combined_rho_x,3000,250,0.005,1,1,6,6,893.868633586081,148.97810559768,3750.01823743892,1443.82876724163,2075.46852344486,0.691822841148286,0,21
COMBINED_RHO_X_3GW_RHO_0p02_X_0p25,combined_rho_x,3000,250,0.02,0.25,1,6,6,964.284254991794,160.714042498632,3803.1148379294,1221.59017176261,1797.51819253033,0.599172730843442,0,20
COMBINED_RHO_X_3GW_RHO_0p02_X_0p5,combined_rho_x,3000,250,0.02,0.5,1,6,6,894.182605786455,149.030434297743,3776.49626007158,1329.22985684388,1957.78526538336,0.65259508846112,0,22
COMBINED_RHO_X_3GW_RHO_0p02_X_0p75,combined_rho_x,3000,250,0.02,0.75,1,6,6,886.62814071025,147.771356785042,3763.60423427734,1397.95942130746,2030.67640738191,0.676892135793971,0,21
COMBINED_RHO_X_3GW_RHO_0p02_X_1,combined_rho_x,3000,250,0.02,1,1,6,6,893.200243478533,148.866707246422,3750.77423594134,1442.97581070312,2073.93817227252,0.691312724090841,0,21
COMBINED_RHO_X_3GW_RHO_0p08_X_0p25,combined_rho_x,3000,250,0.08,0.25,1,6,6,964.264655207282,160.71077586788,3803.12652896143,1218.03258988826,1792.05548769539,0.597351829231797,0,20
COMBINED_RHO_X_3GW_RHO_0p08_X_0p5,combined_rho_x,3000,250,0.08,0.5,1,6,6,899.995408098858,149.999234683143,3778.56145484187,1327.09041604555,1953.33056594894,0.651110188649647,0,22
COMBINED_RHO_X_3GW_RHO_0p08_X_0p75,combined_rho_x,3000,250,0.08,0.75,1,6,6,884.402823959494,147.400470659916,3766.35096499913,1395.1541803132,2025.66605898019,0.675222019660063,0,22
COMBINED_RHO_X_3GW_RHO_0p08_X_1,combined_rho_x,3000,250,0.08,1,1,6,6,890.920424623196,148.486737437199,3753.36099640512,1440.31980762869,2068.69205020987,0.689564016736625,0,21
COMBINED_RHO_X_3GW_RHO_0p2_X_0p25,combined_rho_x,3000,250,0.2,0.25,1,6,6,964.222287291582,160.703714548597,3803.14393668013,1213.3742830633,1777.14509331569,0.592381697771896,0,20
COMBINED_RHO_X_3GW_RHO_0p2_X_0p5,combined_rho_x,3000,250,0.2,0.5,1,6,6,906.766173439115,151.127695573186,3781.33101766569,1318.53603537011,1935.80633462694,0.64526877820898,0,22
COMBINED_RHO_X_3GW_RHO_0p2_X_0p75,combined_rho_x,3000,250,0.2,0.75,1,6,6,882.311154852707,147.051859142118,3768.96008730994,1386.27988391036,2007.88784013432,0.66929594671144,0,22
COMBINED_RHO_X_3GW_RHO_0p2_X_1,combined_rho_x,3000,250,0.2,1,1,6,6,888.856968329512,148.142828054919,3755.72476579796,1431.30279796004,2050.19044656452,0.683396815521508,0,22
COMBINED_RHO_X_3GW_RHO_0p5_X_0p25,combined_rho_x,3000,250,0.5,0.25,1,6,6,967.365468861079,161.227578143513,3803.51171608761,1207.18948555177,1766.17134933198,0.588723783110658,0,20
COMBINED_RHO_X_3GW_RHO_0p5_X_0p5,combined_rho_x,3000,250,0.5,0.5,1,6,6,915.585777054312,152.597629509052,3784.9391880089,1307.60644109128,1914.66685425198,0.63822228475066,0,21
COMBINED_RHO_X_3GW_RHO_0p5_X_0p75,combined_rho_x,3000,250,0.5,0.75,1,6,6,882.255172855455,147.042528809242,3769.11321375736,1375.38884303848,1987.30437545627,0.662434791818755,0,21
COMBINED_RHO_X_3GW_RHO_0p5_X_1,combined_rho_x,3000,250,0.5,1,1,6,6,885.245278961518,147.54087982692,3759.85119849671,1418.88933619388,2030.34867525382,0.676782891751274,0,21
