case_id,case_group,zone_j_cost_c1,s4_e_cost_c1,s4_f_cost_c1,s4_g_cost_c1,s4_k_cost_c1,abc_cap_factor,x_spine_multiplier,scenario_count,success_count,sum_classic_interface_objective,sum_balanced_interface_objective,mean_balanced_interface_objective,max_abs_interface_residual_mw,mean_zone_j_equiv_pg_mw,max_zone_j_equiv_pg_mw,mean_s4_equiv_pg_mw,max_s4_equiv_pg_mw,mean_s4_g_equiv_pg_mw,mean_s4_k_equiv_pg_mw,mean_zone_j_device_pg_mw,mean_s4_device_pg_mw,max_branch_overload_count,max_voltage_bound_count,zone_j_zero_dispatch_penalty,selection_score
S4_COST_gk_split_J120_E180_F180_G180_K180_CAP1_X1,gk_split,120,180,180,180,180,1,1,6,6,251.722258704666,30.3393207782175,5.05655346303624,2281.59647038179,2692.00426712838,3000,20.7833100086697,124.699860052018,2.33969321949339,18.4436167891763,897.334755709461,1.88939181896997,0,18,0,30.3393207782175
S4_COST_gk_split_J120_E180_F180_G180_K220_CAP1_X1,gk_split,120,180,180,180,220,1,1,6,6,251.637244062317,30.3023188330882,5.05038647218136,2281.596470382,2692.00426712822,3000,21.1108597932792,126.665158759675,21.1108597932792,0,897.334755709407,1.91916907211629,0,18,0,30.3023188330882
S4_COST_gk_split_J120_E180_F180_G180_K260_CAP1_X1,gk_split,120,180,180,180,260,1,1,6,6,251.637244048281,30.3023188241362,5.05038647068937,2281.59647038211,2692.00426711416,3000,21.1108597932488,126.665158759493,21.1108597932488,0,897.334755704719,1.91916907211353,0,18,0,30.3023188241362
S4_COST_gk_split_J120_E180_F180_G220_K180_CAP1_X1,gk_split,120,180,180,220,180,1,1,6,6,251.732195147335,30.3436991513681,5.05728319189469,2281.59647038214,2692.00426712895,3000,20.763528835619,124.581173013714,0,20.763528835619,897.334755709651,1.88759353051081,0,18,0,30.3436991513681
S4_COST_gk_split_J120_E180_F180_G220_K220_CAP1_X1,gk_split,120,180,180,220,220,1,1,6,6,252.0247025234,30.3530709582975,5.05884515971625,2281.59647038256,2692.00426712955,3000,24.2108659510387,145.265195706232,0,0,897.33475570985,2.20098781373079,0,18,0,30.3530709582975
S4_COST_gk_split_J120_E180_F180_G220_K260_CAP1_X1,gk_split,120,180,180,220,260,1,1,6,6,252.024702543158,30.3530709649542,5.05884516082569,2281.5964703826,2692.00426688248,3000,24.210865952489,145.265195714934,0,0,897.334755627493,2.20098781386264,0,18,0,30.3530709649542
S4_COST_gk_split_J150_E180_F180_G180_K180_CAP1_X1,gk_split,150,180,180,180,180,1,1,6,6,249.590148137513,29.6920513027064,4.94867521711773,2133.24061035858,2383.61990799226,2606.72691154389,324.032227364263,512.179645955364,81.4484736905226,242.58375367374,794.539969330753,29.457475214933,0,18,0,29.6920513027064
S4_COST_gk_split_J150_E180_F180_G180_K220_CAP1_X1,gk_split,150,180,180,180,220,1,1,6,6,250.075462636471,29.8389295527209,4.97315492545348,2203.85837860399,2540.15415478304,2800.97285913292,172.676810996325,328.379345509225,172.676810996325,0,846.718051594347,15.6978919087568,0,18,0,29.8389295527209
S4_COST_gk_split_J150_E180_F180_G180_K260_CAP1_X1,gk_split,150,180,180,180,260,1,1,6,6,250.075462647706,29.8389295528107,4.97315492546845,2203.85837869017,2540.15415478189,2800.9728591328,172.676810998019,328.379345509725,172.676810998019,0,846.718051593964,15.6978919089108,0,18,0,29.8389295528107
S4_COST_gk_split_J150_E180_F180_G220_K180_CAP1_X1,gk_split,150,180,180,220,180,1,1,6,6,250.102630365457,29.8583772127401,4.97639620212336,2167.30323855328,2434.73558213335,2691.32020115158,273.004637864709,427.848562626274,0,273.004637864709,811.578527377784,24.8186034422463,0,18,0,29.8583772127401
S4_COST_gk_split_J150_E180_F180_G220_K220_CAP1_X1,gk_split,150,180,180,220,220,1,1,6,6,255.865359009872,32.4693929340754,5.41156548901257,2281.72809752545,2670.45614586841,3000,46.1305719131329,145.265195707301,0,0,890.152048622804,4.19368835573935,0,18,0,32.4693929340754
S4_COST_gk_split_J150_E180_F180_G220_K260_CAP1_X1,gk_split,150,180,180,220,260,1,1,6,6,255.865359027736,32.4693929390647,5.41156548984411,2281.72810754818,2670.45614586914,3000,46.1305719136243,145.26519570991,0,0,890.152048623046,4.19368835578403,0,18,0,32.4693929390647
S4_COST_gk_split_J180_E180_F180_G180_K180_CAP1_X1,gk_split,180,180,180,180,180,1,1,6,6,255.962007462184,32.7516873132837,5.45861455221395,2222.72313215931,1241.75691362331,1426.4292177029,1475.56999271616,1772.78624604687,587.703071023517,853.235340924176,413.918971207771,134.14272661056,0,18,0,32.7516873132837
S4_COST_gk_split_J180_E180_F180_G180_K220_CAP1_X1,gk_split,180,180,180,180,220,1,1,6,6,277.945478078059,37.8487788984051,6.30812981640084,2467.02777793029,1746.24313004341,2027.35812790937,998.758978956056,1422.47644881394,905.633182220791,0,582.081043347804,90.796270814187,0,20,0,37.8487788984051
S4_COST_gk_split_J180_E180_F180_G180_K260_CAP1_X1,gk_split,180,180,180,180,260,1,1,6,6,277.945478073309,37.8487788986061,6.30812981643435,2467.02777794953,1746.24313003931,2027.35812791033,998.75897896243,1422.47644885004,905.63318222602,0,582.081043346437,90.7962708147663,0,20,0,37.8487788986061
S4_COST_gk_split_J180_E180_F180_G220_K180_CAP1_X1,gk_split,180,180,180,220,180,1,1,6,6,284.872012377683,39.200260402215,6.5333767337025,2534.14850102206,1554.81968630565,1843.25657127499,1157.22614699608,1519.13330683571,0,1036.45737790454,518.27322876855,105.202376999644,0,19,0,39.200260402215
S4_COST_gk_split_J180_E180_F180_G220_K220_CAP1_X1,gk_split,180,180,180,220,220,1,1,6,6,343.716209882714,50.9311389085304,8.48852315142173,2971.47676770116,2353.70391454081,2739.58379843569,393.254845186883,961.330185017774,0,35.0499774609529,784.567971513603,35.7504404715348,0,18,0,50.9311389085304
S4_COST_gk_split_J180_E180_F180_G220_K260_CAP1_X1,gk_split,180,180,180,220,260,1,1,6,6,343.890293449809,50.9646219708985,8.49410366181642,2971.47676770181,2374.1792616867,2801.41580396858,374.739843529754,961.330185018441,9.52064791429345,0,791.393087228899,34.0672585027049,0,18,0,50.9646219708985
S4_COST_main_grid_J120_E160_F160_G160_K160_CAP0p8_X0p75,main_grid,120,160,160,160,160,0.8,0.75,6,6,100.626316425147,13.1404641821064,2.1900773636844,2709.51832700711,2856.37882901268,3000,653.870875675807,978.915785036166,258.46803466493,345.286453224696,952.126276337561,59.4428068796188,0,16,0,13.1404641821064
S4_COST_main_grid_J120_E160_F160_G160_K160_CAP0p8_X1,main_grid,120,160,160,160,160,0.8,1,6,6,100.063609765894,13.0696618856744,2.17827698094574,2722.88089880259,2856.39308302113,3000,657.039554319215,979.772960256176,248.540194740024,363.422858817461,952.131027673711,59.7308685744741,0,17,0,13.0696618856744
S4_COST_main_grid_J120_E160_F160_G160_K160_CAP0p9_X0p75,main_grid,120,160,160,160,160,0.9,0.75,6,6,156.365295111342,18.962408722668,3.16040145377801,2545.85316291531,2746.38931637323,2936.67007456795,343.851217201204,579.866173409114,116.172238863361,226.478719464646,915.463105457743,31.2592015637458,0,17,0,18.962408722668
S4_COST_main_grid_J120_E160_F160_G160_K160_CAP0p9_X1,main_grid,120,160,160,160,160,0.9,1,6,6,156.509067066119,18.9708529283452,3.16180882139087,2559.62863486108,2744.2186959906,2932.33237179686,351.180051487455,589.480744904589,107.125123309877,243.852060881726,914.7395653302,31.9254592261322,0,17,0,18.9708529283452
S4_COST_main_grid_J120_E160_F160_G160_K160_CAP1_X0p75,main_grid,120,160,160,160,160,1,0.75,6,6,250.689789908644,30.0400994462808,5.00668324104681,2261.10199951419,2593.72884476309,2841.35011278501,107.704021223821,271.322343083771,26.9851028416962,80.7189183821245,864.576281587696,9.79127465671097,0,19,0,30.0400994462808
S4_COST_main_grid_J120_E160_F160_G160_K160_CAP1_X1,main_grid,120,160,160,160,160,1,1,6,6,250.845916244388,30.0865465218002,5.01442442030003,2281.59647770072,2591.87352585555,2833.97963036174,119.033199202507,288.011212208989,23.439268432891,95.5939307696164,863.957841951849,10.8211999275007,0,18,0,30.0865465218002
S4_COST_main_grid_J120_E160_F160_G160_K160_CAP1p1_X0p75,main_grid,120,160,160,160,160,1.1,0.75,6,6,373.675283992529,44.1608774395581,7.36014623992635,2493.1179478201,2363.21936650331,2736.58947346233,3.48671463755205,20.9202869753186,0,3.48671463755205,787.739788834437,0.316974057959278,0,22,0,44.1608774395581
S4_COST_main_grid_J120_E160_F160_G160_K160_CAP1p1_X1,main_grid,120,160,160,160,160,1.1,1,6,6,373.773197702525,44.1780070889603,7.36300118149339,2493.1143411477,2373.88492658557,2729.8221039421,7.27438285405554,43.6462723675198,0,7.27438285405554,791.294975528524,0.661307532186868,0,22,0,44.1780070889603
S4_COST_main_grid_J120_E180_F180_G180_K180_CAP0p8_X0p75,main_grid,120,180,180,180,180,0.8,0.75,6,6,98.5165234432556,12.7945740716253,2.13242901193755,2752.07794767294,2882.30868141258,3000,627.254972934997,960.042240636504,242.190685175462,345.031123130045,960.769560470861,57.023179357727,0,16,0,12.7945740716253
S4_COST_main_grid_J120_E180_F180_G180_K180_CAP0p8_X1,main_grid,120,180,180,180,180,0.8,1,6,6,97.978399271451,12.7336007753251,2.12226679588752,2765.91935545085,2883.12774525584,3000,629.528317969413,962.931918475928,230.650279925734,364.157340136042,961.042581751945,57.2298470881284,0,17,0,12.7336007753251
S4_COST_main_grid_J120_E180_F180_G180_K180_CAP0p9_X0p75,main_grid,120,180,180,180,180,0.9,0.75,6,6,157.030192449284,19.1325402214865,3.18875670358108,2666.66879483619,2834.87056224365,3000,255.690684481044,516.310349280304,78.8065775329031,176.884106512444,944.956854081217,23.2446076800949,0,18,0,19.1325402214865
S4_COST_main_grid_J120_E180_F180_G180_K180_CAP0p9_X1,main_grid,120,180,180,180,180,0.9,1,6,6,157.333465405357,19.2309331737225,3.20515552895375,2684.5878252916,2835.93386971485,3000,260.064912470686,521.575068809636,68.3886475323374,191.676264938348,945.311289904951,23.6422647700623,0,18,0,19.2309331737225
S4_COST_main_grid_J120_E180_F180_G180_K180_CAP1_X0p75,main_grid,120,180,180,180,180,1,0.75,6,6,251.466569627312,30.2619082894944,5.04365138158239,2261.10199946084,2683.57050074,3000,19.1249935141792,114.749961085075,4.28414451522914,14.84084899895,894.523500246666,1.73863577401629,0,19,0,30.2619082894944
S4_COST_main_grid_J120_E180_F180_G180_K180_CAP1_X1,main_grid,120,180,180,180,180,1,1,6,6,251.722258704666,30.3393207782175,5.05655346303624,2281.59647038179,2692.00426712838,3000,20.7833100086697,124.699860052018,2.33969321949339,18.4436167891763,897.334755709461,1.88939181896997,0,18,0,30.3393207782175
S4_COST_main_grid_J120_E180_F180_G180_K180_CAP1p1_X0p75,main_grid,120,180,180,180,180,1.1,0.75,6,6,373.689542361889,44.1667940921631,7.36113234869386,2493.11794781872,2366.7816284115,2757.96304147412,0,0,0,0,788.927209470499,0,0,22,0,44.1667940921631
S4_COST_main_grid_J120_E180_F180_G180_K180_CAP1p1_X1,main_grid,120,180,180,180,180,1.1,1,6,6,373.806038887618,44.1916348704603,7.36527247841005,2493.11434114255,2381.37498488726,2774.76242676897,0,0,0,0,793.791661629087,0,0,22,0,44.1916348704603
S4_COST_main_grid_J120_E220_F220_G220_K220_CAP0p8_X0p75,main_grid,120,220,220,220,220,0.8,0.75,6,6,95.6072220019711,12.3366208951488,2.05610348252481,2756.29223465616,2882.30868141281,3000,626.24516210968,958.181178817691,232.853456843905,366.215661677072,960.769560470938,56.9313783736073,0,16,0,12.3366208951488
S4_COST_main_grid_J120_E220_F220_G220_K220_CAP0p8_X1,main_grid,120,220,220,220,220,0.8,1,6,6,95.0227170797798,12.2801467727147,2.04669112878579,2770.4762821456,2883.12774530988,3000,628.384745094255,960.722726803776,220.324122191016,386.875998692332,961.042581769959,57.1258859176595,0,17,0,12.2801467727147
S4_COST_main_grid_J120_E220_F220_G220_K220_CAP0p9_X0p75,main_grid,120,220,220,220,220,0.9,0.75,6,6,157.079834713758,19.1477795689372,3.19129659482286,2667.45116339547,2834.87056223273,3000,255.490495577476,515.597104991165,72.3743603301724,183.116135247304,944.956854077577,23.2264086888615,0,18,0,19.1477795689372
S4_COST_main_grid_J120_E220_F220_G220_K220_CAP0p9_X1,main_grid,120,220,220,220,220,0.9,1,6,6,157.386987520685,19.2462620921505,3.20771034869175,2685.20354198653,2835.93386971156,3000,259.863376332956,521.130739590433,62.062267828267,197.801108504689,945.311289903853,23.623943302996,0,18,0,19.2462620921505
S4_COST_main_grid_J120_E220_F220_G220_K220_CAP1_X0p75,main_grid,120,220,220,220,220,1,0.75,6,6,251.4697834897,30.2632792434007,5.04387987390012,2261.10199938224,2683.57050074157,3000,19.1146951288492,114.688170773095,3.92260976316414,15.1920853656851,894.523500247191,1.73769955716811,0,19,0,30.2632792434007
S4_COST_main_grid_J120_E220_F220_G220_K220_CAP1_X1,main_grid,120,220,220,220,220,1,1,6,6,251.727783477368,30.3416978069559,5.05694963449265,2281.5964703835,2692.004259188,3000,20.7606603439429,124.563962063658,1.55602827798026,19.2046320659627,897.334753062666,1.88733275854027,0,18,0,30.3416978069559
S4_COST_main_grid_J120_E220_F220_G220_K220_CAP1p1_X0p75,main_grid,120,220,220,220,220,1.1,0.75,6,6,373.689542365256,44.1667940941353,7.36113234902254,2493.11794781808,2366.78162848618,2757.96304146429,0,0,0,0,788.927209495395,0,0,22,0,44.1667940941353
S4_COST_main_grid_J120_E220_F220_G220_K220_CAP1p1_X1,main_grid,120,220,220,220,220,1.1,1,6,6,373.806039041927,44.1916348871628,7.3652724811938,2493.11434116736,2381.3749849536,2774.76242677104,0,0,0,0,793.791661651199,0,0,22,0,44.1916348871628
S4_COST_main_grid_J120_E260_F260_G260_K260_CAP0p8_X0p75,main_grid,120,260,260,260,260,0.8,0.75,6,6,93.609308396239,12.0039584365481,2.00065973942468,2760.37041690142,2882.30868141288,3000,625.472686736745,956.539309725864,224.850581680081,384.375110706035,960.769560470959,56.8611533397041,0,16,0,12.0039584365481
S4_COST_main_grid_J120_E260_F260_G260_K260_CAP0p8_X1,main_grid,120,260,260,260,260,0.8,1,6,6,93.6608675462682,11.9945733848311,1.99909556413852,2774.84751600157,2883.12774533011,3000,627.658230922094,959.365966363401,210.604930528641,404.201522916767,961.042581776704,57.0598391747358,0,17,0,11.9945733848311
S4_COST_main_grid_J120_E260_F260_G260_K260_CAP0p9_X0p75,main_grid,120,260,260,260,260,0.9,0.75,6,6,157.115966122753,19.1571024327732,3.1928504054622,2668.19897238082,2834.87056223278,3000,255.397139518888,515.501085813433,68.4856138201661,186.911525698722,944.956854077595,23.2179217744443,0,18,0,19.1571024327732
S4_COST_main_grid_J120_E260_F260_G260_K260_CAP0p9_X1,main_grid,120,260,260,260,260,0.9,1,6,6,157.430457672987,19.2581434614894,3.2096905769149,2685.54781937345,2835.93386971196,3000,259.732389120404,521.000130324521,57.3583708355192,202.374018284885,945.311289903987,23.6120353745822,0,18,0,19.2581434614894
S4_COST_main_grid_J120_E260_F260_G260_K260_CAP1_X0p75,main_grid,120,260,260,260,260,1,0.75,6,6,251.472862685002,30.2645915891859,5.04409859819766,2261.10199965554,2683.57050073755,3000,19.1047354707012,114.628412824207,3.5895182188199,15.5152172518813,894.523500245852,1.73679413370011,0,19,0,30.2645915891859
S4_COST_main_grid_J120_E260_F260_G260_K260_CAP1_X1,main_grid,120,260,260,260,260,1,1,6,6,251.733020087302,30.3439492517948,5.05732487529914,2281.59648177059,2692.00426703932,3000,20.7392637525654,124.435582515393,0.836238648085222,19.9030251044802,897.334755679772,1.88538761386959,0,18,0,30.3439492517948
S4_COST_main_grid_J120_E260_F260_G260_K260_CAP1p1_X0p75,main_grid,120,260,260,260,260,1.1,0.75,6,6,373.689542431541,44.1667940970472,7.36113234950787,2493.11794783026,2366.78162850983,2757.96304146878,0,0,0,0,788.927209503276,0,0,22,0,44.1667940970472
S4_COST_main_grid_J120_E260_F260_G260_K260_CAP1p1_X1,main_grid,120,260,260,260,260,1.1,1,6,6,373.806038902455,44.1916348797034,7.36527247995057,2493.11434114155,2381.37498495633,2774.76242677228,0,0,0,0,793.791661652108,0,0,22,0,44.1916348797034
S4_COST_main_grid_J150_E160_F160_G160_K160_CAP0p8_X0p75,main_grid,150,160,160,160,160,0.8,0.75,6,6,124.033698160647,17.0784335548724,2.84640559247874,1902.31774075121,1816.06015150904,1970.57078348659,1713.8837200273,2152.28414398318,680.314731739579,738.968799847193,605.353383836347,155.807610911573,0,17,0,17.0784335548724
S4_COST_main_grid_J150_E160_F160_G160_K160_CAP0p8_X1,main_grid,150,160,160,160,160,0.8,1,6,6,122.337939631402,16.7422669594998,2.79037782658329,1934.14042717634,1830.62448811333,1984.5079358546,1701.48082000786,2139.97595629041,669.953717806707,759.22601170223,610.208162704442,154.680074546169,0,17,0,16.7422669594998
S4_COST_main_grid_J150_E160_F160_G160_K160_CAP0p9_X0p75,main_grid,150,160,160,160,160,0.9,0.75,6,6,174.92651185747,23.008364208731,3.83472736812183,1906.56061302624,1741.92782380045,1921.50458883669,1359.5268700558,1730.62885655916,570.392426175032,693.301369769895,580.642607933485,123.593351823255,0,17,0,23.008364208731
S4_COST_main_grid_J150_E160_F160_G160_K160_CAP0p9_X1,main_grid,150,160,160,160,160,0.9,1,6,6,172.54788588992,22.560764813142,3.76012746885701,1880.49939760185,1754.30333708108,1934.5564819104,1350.59395590066,1717.27315807733,555.719563505375,713.577663128128,584.767779027025,122.781268718242,0,17,0,22.560764813142
