case_id,case_group,zone_j_cost_c1,s4_e_cost_c1,s4_f_cost_c1,s4_g_cost_c1,s4_k_cost_c1,abc_cap_factor,x_spine_multiplier,scenario_count,success_count,sum_classic_interface_objective,sum_fixed_scale_interface_objective,mean_zone_j_equiv_pg_mw,max_zone_j_equiv_pg_mw,mean_s4_equiv_pg_mw,max_s4_equiv_pg_mw,max_abs_interface_residual_mw,max_branch_overload_count,max_voltage_bound_count
S4_COST_main_grid_J120_E160_F160_G160_K160_CAP0p8_X1,main_grid,120,160,160,160,160,0.8,1,6,6,100.063609765894,7.62185307559413,2856.39308302114,3000,657.039554319215,979.772960256176,2722.88089880259,0,17
S4_COST_main_grid_J120_E160_F160_G160_K160_CAP0p8_X0p75,main_grid,120,160,160,160,160,0.8,0.75,6,6,100.626316425147,7.52009848874719,2856.37882901268,3000,653.870875675807,978.915785036166,2709.51832700711,0,16
S4_COST_main_grid_J120_E160_F160_G160_K160_CAP0p9_X1,main_grid,120,160,160,160,160,0.9,1,6,6,156.509067066118,7.9248714421561,2744.2186959906,2932.33237179686,351.180051487455,589.480744904589,2559.62863486108,0,17
S4_COST_main_grid_J120_E160_F160_G160_K160_CAP0p9_X0p75,main_grid,120,160,160,160,160,0.9,0.75,6,6,156.365295111342,7.83980295732645,2746.38931637323,2936.67007456795,343.851217201204,579.866173409114,2545.85316291531,0,17
S4_COST_main_grid_J120_E160_F160_G160_K160_CAP1_X1,main_grid,120,160,160,160,160,1,1,6,6,250.845916244388,8.95288119786074,2591.87352585555,2833.97963036174,119.033199202508,288.011212208989,2281.59647770072,0,18
S4_COST_main_grid_J120_E160_F160_G160_K160_CAP1_X0p75,main_grid,120,160,160,160,160,1,0.75,6,6,250.689789908645,8.89437471000453,2593.72884476309,2841.35011278501,107.704021223821,271.322343083771,2261.10199951419,0,19
S4_COST_main_grid_J120_E160_F160_G160_K160_CAP1p1_X1,main_grid,120,160,160,160,160,1.1,1,6,6,373.773197702525,10.5058576588615,2373.88492658557,2729.8221039421,7.27438285405554,43.6462723675198,2493.1143411477,0,22
S4_COST_main_grid_J120_E160_F160_G160_K160_CAP1p1_X0p75,main_grid,120,160,160,160,160,1.1,0.75,6,6,373.675283992529,10.4777330417306,2363.21936650331,2736.58947346233,3.48671463755206,20.9202869753186,2493.1179478201,0,22
S4_COST_main_grid_J120_E180_F180_G180_K180_CAP0p8_X1,main_grid,120,180,180,180,180,0.8,1,6,6,97.9783992714511,7.77075649870288,2883.12774525584,3000,629.528317969413,962.931918475928,2765.91935545085,0,17
S4_COST_main_grid_J120_E180_F180_G180_K180_CAP0p8_X0p75,main_grid,120,180,180,180,180,0.8,0.75,6,6,98.5165234432555,7.65960046929584,2882.30868141258,3000,627.254972934997,960.042240636504,2752.07794767294,0,16
