case_id,case_group,scenario_id,include_s4,apply_abc_caps,x_spine_multiplier,device_group,device_name,zone,bus_id,bus_name,gen_index,pg_mw,qg_mvar,pmax_mw,pmin_mw,qmax_mvar,qmin_mvar,fraction_pmax_used
S3_BASE_3GW,s3_baseline,S1_2025_SUMMER_PEAK_PUBLIC,0,0,1,zone_j_equivalent,RAV_A3_J_EQ_SUPPLY,J,79,RAV A-3,30,590.548086783031,0,1200,0,0,-0,0.492123405652526
S3_BASE_3GW,s3_baseline,S1_2025_SUMMER_PEAK_PUBLIC,0,0,1,zone_j_equivalent,AK3_J_EQ_SUPPLY,J,82,AK-3,31,593.931143346924,0,900,0,0,-0,0.659923492607693
S3_BASE_3GW,s3_baseline,S1_2025_SUMMER_PEAK_PUBLIC,0,0,1,zone_j_equivalent,GOETHALS_J_EQ_SUPPLY,J,81,GOETHALS,32,610.131126394036,0,900,0,0,-0,0.677923473771151
S3_BASE_3GW,s3_baseline,S2_2025_WINTER_PEAK_PUBLIC,0,0,1,zone_j_equivalent,RAV_A3_J_EQ_SUPPLY,J,79,RAV A-3,30,209.993950894207,0,1200,0,0,-0,0.174994959078505
S3_BASE_3GW,s3_baseline,S2_2025_WINTER_PEAK_PUBLIC,0,0,1,zone_j_equivalent,AK3_J_EQ_SUPPLY,J,82,AK-3,31,217.146908352007,0,900,0,0,-0,0.241274342613341
S3_BASE_3GW,s3_baseline,S2_2025_WINTER_PEAK_PUBLIC,0,0,1,zone_j_equivalent,GOETHALS_J_EQ_SUPPLY,J,81,GOETHALS,32,212.061687625587,0,900,0,0,-0,0.235624097361763
S3_BASE_3GW,s3_baseline,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,0,0,1,zone_j_equivalent,RAV_A3_J_EQ_SUPPLY,J,79,RAV A-3,30,408.773432528538,0,1200,0,0,-0,0.340644527107115
S3_BASE_3GW,s3_baseline,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,0,0,1,zone_j_equivalent,AK3_J_EQ_SUPPLY,J,82,AK-3,31,419.096746628622,0,900,0,0,-0,0.46566305180958
S3_BASE_3GW,s3_baseline,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,0,0,1,zone_j_equivalent,GOETHALS_J_EQ_SUPPLY,J,81,GOETHALS,32,397.268716156553,0,900,0,0,-0,0.441409684618392
S3_BASE_3GW,s3_baseline,S4_2025_HIGH_NYC_LI_LOAD_PUBLIC,0,0,1,zone_j_equivalent,RAV_A3_J_EQ_SUPPLY,J,79,RAV A-3,30,659.659104777174,0,1200,0,0,-0,0.549715920647645
S3_BASE_3GW,s3_baseline,S4_2025_HIGH_NYC_LI_LOAD_PUBLIC,0,0,1,zone_j_equivalent,AK3_J_EQ_SUPPLY,J,82,AK-3,31,662.698048412484,0,900,0,0,-0,0.73633116490276
S3_BASE_3GW,s3_baseline,S4_2025_HIGH_NYC_LI_LOAD_PUBLIC,0,0,1,zone_j_equivalent,GOETHALS_J_EQ_SUPPLY,J,81,GOETHALS,32,679.905863684582,0,900,0,0,-0,0.755450959649535
S3_BASE_3GW,s3_baseline,S5_2025_HIGH_TOTAL_EAST_PUBLIC,0,0,1,zone_j_equivalent,RAV_A3_J_EQ_SUPPLY,J,79,RAV A-3,30,685.391616891,0,1200,0,0,-0,0.5711596807425
S3_BASE_3GW,s3_baseline,S5_2025_HIGH_TOTAL_EAST_PUBLIC,0,0,1,zone_j_equivalent,AK3_J_EQ_SUPPLY,J,82,AK-3,31,688.353176201563,0,900,0,0,-0,0.764836862446181
S3_BASE_3GW,s3_baseline,S5_2025_HIGH_TOTAL_EAST_PUBLIC,0,0,1,zone_j_equivalent,GOETHALS_J_EQ_SUPPLY,J,81,GOETHALS,32,700.19337917996,0,900,0,0,-0,0.777992643533289
S3_BASE_3GW,s3_baseline,S6_2025_LOW_TOTAL_EAST_PUBLIC,0,0,1,zone_j_equivalent,RAV_A3_J_EQ_SUPPLY,J,79,RAV A-3,30,300.901507902836,0,1200,0,0,-0,0.250751256585697
S3_BASE_3GW,s3_baseline,S6_2025_LOW_TOTAL_EAST_PUBLIC,0,0,1,zone_j_equivalent,AK3_J_EQ_SUPPLY,J,82,AK-3,31,308.007866953056,0,900,0,0,-0,0.342230963281174
S3_BASE_3GW,s3_baseline,S6_2025_LOW_TOTAL_EAST_PUBLIC,0,0,1,zone_j_equivalent,GOETHALS_J_EQ_SUPPLY,J,81,GOETHALS,32,313.792501506579,0,900,0,0,-0,0.34865833500731
S3_BASE_3GW_X0P75,s3_baseline_x,S1_2025_SUMMER_PEAK_PUBLIC,0,0,0.75,zone_j_equivalent,RAV_A3_J_EQ_SUPPLY,J,79,RAV A-3,30,576.622147296595,0,1200,0,0,-0,0.480518456080496
S3_BASE_3GW_X0P75,s3_baseline_x,S1_2025_SUMMER_PEAK_PUBLIC,0,0,0.75,zone_j_equivalent,AK3_J_EQ_SUPPLY,J,82,AK-3,31,578.771101113977,0,900,0,0,-0,0.643079001237752
S3_BASE_3GW_X0P75,s3_baseline_x,S1_2025_SUMMER_PEAK_PUBLIC,0,0,0.75,zone_j_equivalent,GOETHALS_J_EQ_SUPPLY,J,81,GOETHALS,32,590.79354782636,0,900,0,0,-0,0.656437275362622
S3_BASE_3GW_X0P75,s3_baseline_x,S2_2025_WINTER_PEAK_PUBLIC,0,0,0.75,zone_j_equivalent,RAV_A3_J_EQ_SUPPLY,J,79,RAV A-3,30,195.822987279867,0,1200,0,0,-0,0.163185822733223
