scenario_id,variant_id,allocation_mode,tie_mode,violation_type,element_index,from_or_bus_id,from_or_bus_name,from_or_bus_zone,to_bus_id,to_bus_name,to_bus_zone,value,limit,violation_amount,units
S1_2025_SUMMER_PEAK_PUBLIC,S4_GSK__current,s4,current,BRANCH_OVERLOAD,80,66,WATERCURE,C,134,HOMER CITY,,979.906940529314,773.970762,205.936178529314,MVA
S1_2025_SUMMER_PEAK_PUBLIC,S4_GSK__current,s4,current,BRANCH_OVERLOAD,116,90,VIDA,,114,MARYSVILLE,,226.71453848256,176.592906,50.1216324825597,MVA
S1_2025_SUMMER_PEAK_PUBLIC,S4_GSK__current,s4,current,BRANCH_OVERLOAD,190,128,WHITPAIN,,130,PEACH BOTTOM,,1105.35103762267,773.970762,331.380275622671,MVA
S1_2025_SUMMER_PEAK_PUBLIC,S4_GSK__perform_rx,s4,perform_rx,BRANCH_OVERLOAD,80,66,WATERCURE,C,134,HOMER CITY,,1016.63711598523,773.970762,242.666353985234,MVA
S1_2025_SUMMER_PEAK_PUBLIC,S4_GSK__perform_rx,s4,perform_rx,BRANCH_OVERLOAD,116,90,VIDA,,114,MARYSVILLE,,228.866363430669,176.592906,52.2734574306688,MVA
S1_2025_SUMMER_PEAK_PUBLIC,S4_GSK__perform_rx,s4,perform_rx,BRANCH_OVERLOAD,190,128,WHITPAIN,,130,PEACH BOTTOM,,1076.3124132233,773.970762,302.341651223299,MVA
S1_2025_SUMMER_PEAK_PUBLIC,S4_GSK__perform_rxb,s4,perform_rxb,BRANCH_OVERLOAD,80,66,WATERCURE,C,134,HOMER CITY,,1017.51325391706,773.970762,243.542491917058,MVA
S1_2025_SUMMER_PEAK_PUBLIC,S4_GSK__perform_rxb,s4,perform_rxb,BRANCH_OVERLOAD,116,90,VIDA,,114,MARYSVILLE,,228.904643869315,176.592906,52.311737869315,MVA
S1_2025_SUMMER_PEAK_PUBLIC,S4_GSK__perform_rxb,s4,perform_rxb,BRANCH_OVERLOAD,190,128,WHITPAIN,,130,PEACH BOTTOM,,1075.41607500993,773.970762,301.445313009931,MVA
S1_2025_SUMMER_PEAK_PUBLIC,PERFORM_GSK__current,perform,current,BRANCH_OVERLOAD,80,66,WATERCURE,C,134,HOMER CITY,,958.299695188632,773.970762,184.328933188632,MVA
S1_2025_SUMMER_PEAK_PUBLIC,PERFORM_GSK__current,perform,current,BRANCH_OVERLOAD,116,90,VIDA,,114,MARYSVILLE,,226.419293118212,176.592906,49.826387118212,MVA
S1_2025_SUMMER_PEAK_PUBLIC,PERFORM_GSK__current,perform,current,BRANCH_OVERLOAD,190,128,WHITPAIN,,130,PEACH BOTTOM,,1124.17463793561,773.970762,350.203875935611,MVA
