scenario_id,zone,target_generation_mw
S1_2025_SUMMER_PEAK_PUBLIC,F,993.746927215201
S1_2025_SUMMER_PEAK_PUBLIC,D,977.800993437805
S1_2025_SUMMER_PEAK_PUBLIC,C,2511.2
S1_2025_SUMMER_PEAK_PUBLIC,B,288.8
S1_2025_SUMMER_PEAK_PUBLIC,A,1292.8
S1_2025_SUMMER_PEAK_PUBLIC,I,0
S1_2025_SUMMER_PEAK_PUBLIC,J,2665.32992322799
S1_2025_SUMMER_PEAK_PUBLIC,K,1603.17038873812
S1_2025_SUMMER_PEAK_PUBLIC,E,0
S1_2025_SUMMER_PEAK_PUBLIC,G,935.442568774488
S2_2025_WINTER_PEAK_PUBLIC,F,643.409240767239
S2_2025_WINTER_PEAK_PUBLIC,D,984.9807077
S2_2025_WINTER_PEAK_PUBLIC,C,2511.2
S2_2025_WINTER_PEAK_PUBLIC,B,288.8
S2_2025_WINTER_PEAK_PUBLIC,A,1292.8
S2_2025_WINTER_PEAK_PUBLIC,I,0
S2_2025_WINTER_PEAK_PUBLIC,J,2221.08603951382
S2_2025_WINTER_PEAK_PUBLIC,K,1286.64264940708
S2_2025_WINTER_PEAK_PUBLIC,E,0
S2_2025_WINTER_PEAK_PUBLIC,G,506.685719970448
S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,F,889.017659660803
S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,D,984.9807077
S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,C,2511.2
S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,B,288.8
S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,A,1292.8
S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,I,0
S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,J,2622.50983032002
S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,K,1478.43947641164
S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,E,59.9217497332488
S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,G,834.711001373931
S4_2025_HIGH_NYC_LI_LOAD_PUBLIC,F,954.6542917294
S4_2025_HIGH_NYC_LI_LOAD_PUBLIC,D,974.184846437114
S4_2025_HIGH_NYC_LI_LOAD_PUBLIC,C,2511.2
S4_2025_HIGH_NYC_LI_LOAD_PUBLIC,B,288.8
S4_2025_HIGH_NYC_LI_LOAD_PUBLIC,A,1292.8
S4_2025_HIGH_NYC_LI_LOAD_PUBLIC,I,0
S4_2025_HIGH_NYC_LI_LOAD_PUBLIC,J,2743.21253418978
S4_2025_HIGH_NYC_LI_LOAD_PUBLIC,K,1652.73727684524
S4_2025_HIGH_NYC_LI_LOAD_PUBLIC,E,0
S4_2025_HIGH_NYC_LI_LOAD_PUBLIC,G,997.286866965768
S5_2025_HIGH_TOTAL_EAST_PUBLIC,F,685.520370138346
S5_2025_HIGH_TOTAL_EAST_PUBLIC,D,967.584972520349
S5_2025_HIGH_TOTAL_EAST_PUBLIC,C,2511.2
S5_2025_HIGH_TOTAL_EAST_PUBLIC,B,288.8
S5_2025_HIGH_TOTAL_EAST_PUBLIC,A,1292.8
S5_2025_HIGH_TOTAL_EAST_PUBLIC,I,0
S5_2025_HIGH_TOTAL_EAST_PUBLIC,J,2716.24719703063
S5_2025_HIGH_TOTAL_EAST_PUBLIC,K,1629.90673646747
S5_2025_HIGH_TOTAL_EAST_PUBLIC,E,0
S5_2025_HIGH_TOTAL_EAST_PUBLIC,G,909.192922757371
S6_2025_LOW_TOTAL_EAST_PUBLIC,F,1112.57401163943
S6_2025_LOW_TOTAL_EAST_PUBLIC,D,984.9807077
S6_2025_LOW_TOTAL_EAST_PUBLIC,C,2511.2
S6_2025_LOW_TOTAL_EAST_PUBLIC,B,288.8
S6_2025_LOW_TOTAL_EAST_PUBLIC,A,1292.8
S6_2025_LOW_TOTAL_EAST_PUBLIC,I,0
S6_2025_LOW_TOTAL_EAST_PUBLIC,J,2568.75974157382
S6_2025_LOW_TOTAL_EAST_PUBLIC,K,1508.83380337138
S6_2025_LOW_TOTAL_EAST_PUBLIC,E,232.133566720582
S6_2025_LOW_TOTAL_EAST_PUBLIC,G,908.652169468885
