scenario_id,row_type,zone,target_load_mw,external_import_mw,generation_prior_mw,pmin_mw,pmax_mw,target_at_pmin,target_at_pmax,target_generation_mw,actual_generation_mw,generation_error_mw,target_native_net_injection_mw,actual_native_net_injection_mw,target_effective_net_injection_mw,actual_effective_net_injection_mw
S1_2019_SUMMER_PEAK_PUBLIC,actual_pf,A,848.917621255557,223.880547705408,927.359557012526,0,1292.8,0,0,1267.83251802181,1267.83251802181,4.54747350886464e-13,418.914896766252,418.914896766252,642.79544447166,642.79544447166
S1_2019_SUMMER_PEAK_PUBLIC,actual_pf,B,660.333023149945,0,252.802416866415,0,288.8,0,0,227.039778804806,227.039778804806,0,-433.293244345138,-433.293244345138,-433.293244345138,-433.293244345138
S1_2019_SUMMER_PEAK_PUBLIC,actual_pf,C,929.509023298788,173.423945838734,1590.62347576153,0,2511.2,0,0,691.009483973782,691.009483973782,1.13686837721616e-13,-238.499539325006,-238.499539325006,-65.0755934862721,-65.0755934862719
S1_2019_SUMMER_PEAK_PUBLIC,actual_pf,D,216.309188127604,537.993338072303,218.994208833472,0,984.9807077,0,0,431.541674299001,431.541674299001,0,215.232486171397,215.232486171397,753.2258242437,753.2258242437
S1_2019_SUMMER_PEAK_PUBLIC,actual_pf,E,468.018337900366,0,580.412656050411,0,600,0,0,516.894790932331,516.894790932331,0,48.8764530319653,48.8764530319653,48.8764530319653,48.8764530319653
S1_2019_SUMMER_PEAK_PUBLIC,actual_pf,F,797.77238791615,-160.073820485582,1192.36096895695,0,2168.003995,0,0,1528.67507217618,1528.67507217618,-2.27373675443232e-13,730.902684260027,730.902684260027,570.828863774445,570.828863774445
S1_2019_SUMMER_PEAK_PUBLIC,actual_pf,G,781.955383776824,-153.398757809007,1087.75351411588,0,2200,0,0,769.716116104337,769.716116104337,0,-12.2392676724866,-12.2392676724866,-165.638025481494,-165.638025481494
S1_2019_SUMMER_PEAK_PUBLIC,actual_pf,H,233.955369616376,0,0,0,0,1,1,0,0,0,-233.955369616376,-233.955369616376,-233.955369616376,-233.955369616376
S1_2019_SUMMER_PEAK_PUBLIC,actual_pf,I,470.815903258342,0,0.0375353937534521,0,565.099092,0,0,41.5748090154842,41.5748090154842,0,-429.241094242858,-429.241094242858,-429.241094242858,-429.241094242858
S1_2019_SUMMER_PEAK_PUBLIC,actual_pf,J,3591.89458852847,86.7119729193669,2894.44429823071,0,4197.07746,0,0,2729.65350029769,2969.69478912649,240.041288828801,-862.24108823078,-622.199799401978,-775.529115311413,-535.487826482612
S1_2019_SUMMER_PEAK_PUBLIC,actual_pf,K,1902.73897187158,0,1448.89394123714,0,2384.929342,0,0,1989.74482883336,1989.74482883336,0,87.0058569617784,87.0058569617784,87.0058569617784,87.0058569617784
