scenario_id,envelope_name,zone,required_capability_relaxation_mw,first_stage_lp_capability_dual,second_stage_qp_capability_dual
S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,ABC_CAP_0p8,A,5.4136891123709,1,2398.07570610376
S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,ABC_CAP_0p8,B,267.166236900525,1,2398.07570872129
S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,ABC_CAP_0p8,C,2.5664595777085e-14,0.00367525647105598,8.81274545094669
S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,ABC_CAP_0p8,D,0,0.00346130567040165,8.29953166729354
S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,ABC_CAP_0p8,E,0,0,0
S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,ABC_CAP_0p8,F,0,0,1.2292497732571e-13
S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,ABC_CAP_0p8,G,0,0,6.59477842236233e-14
S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,ABC_CAP_0p8,H,0,1,0.0840103756767076
S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,ABC_CAP_0p8,I,0,0,0
S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,ABC_CAP_0p8,J,0,0,0
S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,ABC_CAP_0p8,K,0,0,0
S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,ABC_CAP_0p9,A,1.21270942831458e-15,0.885272743947687,3034.01136733389
S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,ABC_CAP_0p9,B,91.7927939015965,1,3427.20409664801
S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,ABC_CAP_0p9,C,1.39224269933738e-16,0.000674476045693156,2.3115042037542
S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,ABC_CAP_0p9,D,0,0,1.63704627792818e-14
S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,ABC_CAP_0p9,E,0,0,0
S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,ABC_CAP_0p9,F,0,0,8.38852608951247e-16
S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,ABC_CAP_0p9,G,0,0,4.93694804403898e-16
S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,ABC_CAP_0p9,H,0,1,0.0779632628488731
S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,ABC_CAP_0p9,I,0,0,0
S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,ABC_CAP_0p9,J,0,0,0
S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,ABC_CAP_0p9,K,0,0,0
S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,ABC_CAP_1,A,5.43299447446786e-15,0,4.82778263603646e-16
S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,ABC_CAP_1,B,5.33667755381781e-15,0,2.76482405913601e-14
S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,ABC_CAP_1,C,5.43354701223972e-15,0,-9.66670578510916e-15
S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,ABC_CAP_1,D,0,0,8.6913612463355e-15
S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,ABC_CAP_1,E,0,0,7.00790581390233e-12
S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,ABC_CAP_1,F,0,0,1.05048798171604e-16
S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,ABC_CAP_1,G,0,0,4.40557687633936e-17
S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,ABC_CAP_1,H,0,1,-4.94282615096563e-06
S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,ABC_CAP_1,I,0,0,0
S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,ABC_CAP_1,J,0,0,0
S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,ABC_CAP_1,K,0,0,0
