case_id,scenario_id,constraint_type,element_index,element_name,value,limit
PERFORM_Q_TEMP_SUPPORT_FREE_VM,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,VOLTAGE,1,NEW SEATHED,0.9,0.9
PERFORM_Q_TEMP_SUPPORT_FREE_VM,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,VOLTAGE,6,ALBANY,1.09999999280517,1.1
PERFORM_Q_TEMP_SUPPORT_FREE_VM,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,VOLTAGE,7,EDIC,0.9,0.9
PERFORM_Q_TEMP_SUPPORT_FREE_VM,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,VOLTAGE,11,MOSES W,1.09999997918433,1.1
PERFORM_Q_TEMP_SUPPORT_FREE_VM,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,VOLTAGE,12,MOSES E,1.09999999634764,1.1
PERFORM_Q_TEMP_SUPPORT_FREE_VM,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,VOLTAGE,14,CLAY,0.9,0.9
PERFORM_Q_TEMP_SUPPORT_FREE_VM,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,VOLTAGE,15,CLAY,0.9,0.9
PERFORM_Q_TEMP_SUPPORT_FREE_VM,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,VOLTAGE,17,ROCHESTER,0.900000001329546,0.9
PERFORM_Q_TEMP_SUPPORT_FREE_VM,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,VOLTAGE,30,WATERCURE,1.1,1.1
PERFORM_Q_TEMP_SUPPORT_FREE_VM,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,VOLTAGE,31,WRHL,1.1,1.1
PERFORM_Q_TEMP_SUPPORT_FREE_VM,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,VOLTAGE,39,RAMAPO,1.1,1.1
PERFORM_Q_TEMP_SUPPORT_FREE_VM,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,VOLTAGE,46,AK-3,0.9,0.9
PERFORM_Q_TEMP_SUPPORT_FREE_VM,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,VOLTAGE,47,KNICKERBOCKER,0.9,0.9
PERFORM_Q_TEMP_SUPPORT_FREE_VM,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,VOLTAGE,49,EAST GARDEN CITY,1.1,1.1
PERFORM_Q_TEMP_SUPPORT_VG0p25,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,VOLTAGE,3,LEEDS,0.92487454625,0.92487454625
PERFORM_Q_TEMP_SUPPORT_VG0p25,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,VOLTAGE,6,ALBANY,1.09999993907735,1.1
PERFORM_Q_TEMP_SUPPORT_VG0p25,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,VOLTAGE,11,MOSES W,1.0999999704004,1.0999999975
PERFORM_Q_TEMP_SUPPORT_VG0p25,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,VOLTAGE,13,PLATTSBURGH,0.90000001478014,0.9
PERFORM_Q_TEMP_SUPPORT_VG0p25,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,VOLTAGE,14,CLAY,0.95,0.95
PERFORM_Q_TEMP_SUPPORT_VG0p25,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,VOLTAGE,15,CLAY,0.9457515175,0.9457515175
PERFORM_Q_TEMP_SUPPORT_VG0p25,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,VOLTAGE,17,ROCHESTER,0.949999995,0.949999995
PERFORM_Q_TEMP_SUPPORT_VG0p25,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,VOLTAGE,18,NIAGARA W,1.08793007850236,1.0879300825
PERFORM_Q_TEMP_SUPPORT_VG0p25,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,VOLTAGE,30,WATERCURE,1.0999999904904,1.1
PERFORM_Q_TEMP_SUPPORT_VG0p25,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,VOLTAGE,31,WRHL,1.1,1.1
PERFORM_Q_TEMP_SUPPORT_VG0p25,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,VOLTAGE,45,GOETHALS,0.91268995775,0.91268995775
PERFORM_Q_TEMP_SUPPORT_VG0p25,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,VOLTAGE,46,AK-3,0.924293379678304,0.92429337775
PERFORM_Q_TEMP_SUPPORT_VG0p25,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,VOLTAGE,47,KNICKERBOCKER,0.91948860725,0.91948860725
PERFORM_Q_TEMP_SUPPORT_VG0p25,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,VOLTAGE,49,EAST GARDEN CITY,1.1,1.1
PERFORM_Q_TEMP_SUPPORT_VG0p50,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,VOLTAGE,3,LEEDS,0.9497490925,0.9497490925
PERFORM_Q_TEMP_SUPPORT_VG0p50,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,VOLTAGE,6,ALBANY,1.1,1.1
PERFORM_Q_TEMP_SUPPORT_VG0p50,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,VOLTAGE,11,MOSES W,1.099999995,1.099999995
PERFORM_Q_TEMP_SUPPORT_VG0p50,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,VOLTAGE,12,MOSES E,0.965,0.965
PERFORM_Q_TEMP_SUPPORT_VG0p50,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,VOLTAGE,14,CLAY,1,1
PERFORM_Q_TEMP_SUPPORT_VG0p50,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,VOLTAGE,15,CLAY,0.991503035,0.991503035
PERFORM_Q_TEMP_SUPPORT_VG0p50,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,VOLTAGE,20,HUNTLEY,1,1
PERFORM_Q_TEMP_SUPPORT_VG0p50,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,VOLTAGE,30,WATERCURE,1.1,1.1
PERFORM_Q_TEMP_SUPPORT_VG0p50,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,VOLTAGE,31,WRHL,1.1,1.1
PERFORM_Q_TEMP_SUPPORT_VG0p50,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,VOLTAGE,32,HILLSIDE,1.1,1.1
PERFORM_Q_TEMP_SUPPORT_VG0p50,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,VOLTAGE,39,RAMAPO,1.1,1.1
