zone,perform_online_native_gen_count,perform_pmax_mw,perform_qmin_mvar,perform_qmax_mvar,perform_q_range_mvar,perform_q_range_per_pmax,perform_qmax_ge_900_count,model_pmax_mw,model_current_qmin_mvar,model_current_qmax_mvar,pmax_scale_factor,target_qmin_mvar,target_qmax_mvar,source
A,41,3832.699941,-2182.070014,2708.275032,4890.345046,1.27595301518022,0,1292.8,-15993,15993,0.337307908237318,-736.029472049714,913.522585975274,PERFORM_2019_on_peak_native_generators_scaled_by_zonal_PMAX
B,6,724.999992,-408.70001,510.949986,919.649996,1.2684827671005,0,288.8,-999,999,0.398344831981736,-162.803536814384,203.53428632424,PERFORM_2019_on_peak_native_generators_scaled_by_zonal_PMAX
C,32,4552.300085,-2693.76999,3240.074972,5933.844962,1.30348282213474,0,2511.2,-5994,5994,0.551633230040018,-1485.97304056857,1787.33302237618,PERFORM_2019_on_peak_native_generators_scaled_by_zonal_PMAX
D,11,627.900018,-345.599999,438.399999,783.999998,1.24860642701877,0,984.9807077,-1998,1998,1.56869036385344,-542.139388179058,687.713853944657,PERFORM_2019_on_peak_native_generators_scaled_by_zonal_PMAX
E,57,2005.199996,-1113.740021,1404.74999,2518.490011,1.25597946141229,0,600,-0,0,0.299222023337766,-333.255542555866,420.332134291506,PERFORM_2019_on_peak_native_generators_scaled_by_zonal_PMAX
F,65,3608.900002,-2301.119998,2628.24997,4929.369968,1.36589264464746,0,2168.003995,-999,999,0.600738173348811,-1382.37062425494,1578.89008608187,PERFORM_2019_on_peak_native_generators_scaled_by_zonal_PMAX
G,14,4000.600004,-2499.119946,2838.100028,5337.219974,1.33410487643443,0,2200,-0,0,0.549917511823309,-1374.30982245232,1560.72090570342,PERFORM_2019_on_peak_native_generators_scaled_by_zonal_PMAX
H,0,0,0,0,0,0,0,0,0,0,NaN,0,0,PERFORM_2019_on_peak_native_generators_scaled_by_zonal_PMAX
I,1,59.7,-32.800001,41.800001,74.600002,1.24958127303183,0,565.099092,-999,999,9.4656464321608,-310.473212440521,395.664030329968,PERFORM_2019_on_peak_native_generators_scaled_by_zonal_PMAX
J,80,8633.500025,-5097.29005,6159.57506,11256.86511,1.30385881478005,0,4197.07746,-1998,1998,0.48613858201732,-2477.989357038,2994.40708549765,PERFORM_2019_on_peak_native_generators_scaled_by_zonal_PMAX
K,55,4434.099949,-2563.55002,3049.925003,5613.475023,1.26597845956674,0,2384.929342,-999,999,0.537860979551862,-1378.83352488739,1640.43564967329,PERFORM_2019_on_peak_native_generators_scaled_by_zonal_PMAX
