bus_id,bus_name,zone,online_gen_count,min_vg_pu,max_vg_pu,vg_spread_pu,bus_vmin_pu,bus_vmax_pu,vg_outside_bus_bounds,aggregate_qmin_mvar,aggregate_qmax_mvar
42,ALBANY,F,2,1.1,1.1,0,0.9,1.1,0,-999,999
47,MOSES W,D,1,1.09999999,1.09999999,0,0.9,1.1,0,-999,999
48,MOSES E,D,1,1.1,1.1,0,0.9,1.1,0,-999,999
50,CLAY,C,1,1.1,1.1,0,0.9,1.1,0,-999,999
51,CLAY,C,1,1.08300607,1.08300607,0,0.9,1.1,0,-999,999
53,ROCHESTER,B,1,1.09999998,1.09999998,0,0.9,1.1,0,-999,999
54,NIAGARA W,A,2,1.05172033,1.05172033,0,0.9,1.1,0,-10998,10998
55,NIAGARA E,A,1,1.08981247,1.08981247,0,0.9,1.1,0,-999,999
56,HUNTLEY,A,1,1.1,1.1,0,0.9,1.1,0,-999,999
57,HUNTLEY,A,1,1.0934149,1.0934149,0,0.9,1.1,0,-999,999
60,DUNKIRK,A,1,1.09860245,1.09860245,0,0.9,1.1,0,-999,999
61,DUNKIRK,A,1,1.05145966,1.05145966,0,0.9,1.1,0,-999,999
65,GESONIDGE,C,1,1.07077891,1.07077891,0,0.9,1.1,0,-999,999
68,HILLSIDE,C,1,1.1,1.1,0,0.9,1.1,0,-999,999
71,BINGHAMTON,C,1,1.1,1.1,0,0.9,1.1,0,-999,999
72,LAPEER,C,1,1.08884679,1.08884679,0,0.9,1.1,0,-999,999
78,CE UG,I,1,0.974721326,0.974721326,0,0.9,1.1,0,-999,999
79,RAV A-3,J,2,0.980677999,0.980677999,0,0.9,1.1,0,-999,999
80,NORTHPORT,K,2,0.952721175,0.952721175,0,0.9,1.1,0,-999,999
82,AK-3,J,2,0.997173511,0.997173511,0,0.9,1.1,0,-999,999
81,GOETHALS,J,1,0.950759831,0.950759831,0,0.9,1.1,0,-0,0
43,EDIC,E,1,1.0573451,1.0573451,0,0.9,1.1,0,-0,0
44,PORTER,E,1,1.06365915,1.06365915,0,0.9,1.1,0,-0,0
38,GILBOA,F,1,1.0319714,1.0319714,0,0.9,1.1,0,-0,0
41,ROTTERDAM,F,1,1.06962395,1.06962395,0,0.9,1.1,0,-0,0
37,NEW SEATHED,F,1,1.02100313,1.02100313,0,0.9,1.1,0,-0,0
73,PLEASANT VLY,G,1,0.977954429,0.977954429,0,0.9,1.1,0,-0,0
76,RAMAPO,G,1,0.972794501,0.972794501,0,0.9,1.1,0,-0,0
39,LEEDS,G,1,0.999498185,0.999498185,0,0.9,1.1,0,-0,0
9003,EAST GARDEN CITY,K,1,0.952721175,0.952721175,0,0.9,1.1,0,-0,0
