x_multiplier,zone_j_total_pmax_mw,case_count,success_count,min_voltage_seen,max_voltage_seen,max_rate_a_overload_mva_seen,max_zone_j_equiv_pg_mw_seen,mean_success_zone_j_equiv_pg_mw
1,0,6,0,0.9,1.1,0,0,NaN
1,3000,6,6,0.9,1.1,0,2429.76077504158,2145.4342126242
1,3500,6,6,0.9,1.1,0,2429.76077504159,2145.43421261617
1,4000,6,6,0.9,1.1,0,2429.7607750416,2145.43421262978
0.75,0,6,0,0.9,1.1,0,0,NaN
0.75,3000,6,6,0.9,1.1,0,2367.34623115302,2084.17138706864
0.75,3500,6,6,0.9,1.1,0,2367.34623115302,2084.17138708274
0.75,4000,6,6,0.9,1.1,0,2367.34623120874,2084.1713870769
0.5,0,6,0,0.9,1.1,0,0,NaN
0.5,3000,6,6,0.9,1.1,0,2265.69656345064,1984.99634784604
0.5,3500,6,6,0.9,1.1,0,2265.69656345071,1984.99634784997
0.5,4000,6,6,0.9,1.1,0,2265.69656345072,1984.99634784724
0.25,0,6,0,0.9,1.1,0,0,NaN
0.25,3000,6,6,0.9,1.1,0,2053.08817795989,1776.03877452956
0.25,3500,6,6,0.9,1.1,0,2053.08817795988,1776.03877452884
0.25,4000,6,6,0.9,1.1,0,2053.08817795988,1776.03877452354
