source_bus,bus_type,vm_pu,vmin_pu,vmax_pu,p_mismatch_mw,q_mismatch_mvar,voltage_below_min_pu,voltage_above_max_pu,violated,invalid_voltage_bounds
37,1,1.04463314655803,0.9,1.1,-2.27373675443232e-13,5.25801624462474e-13,0,0,0,0
38,1,1.0539597131169,0.9,1.1,0,-3.27515792264421e-13,0,0,0,0
39,1,1.0569798013766,0.9,1.1,-2.1600499167107e-12,-4.15223411209809e-12,0,0,0,0
40,1,1.06299879490893,0.9,1.1,8.61616216798493e-13,2.62490249195516e-12,0,0,0,0
41,1,1.07384089005221,0.9,1.1,-1.70530256582424e-12,-4.74642547487747e-12,0,0,0,0
42,3,1.09999999415948,0.9,1.1,1.13686837721616e-13,0,0,0,0,0
43,1,1.04941946173615,0.9,1.1,-1.50635059981141e-12,-4.10782519111308e-13,0,0,0,0
44,1,1.05582633622859,0.9,1.1,-1.08713038571295e-12,1.81243908770057e-12,0,0,0,0
45,1,1.05663175113372,0.9,1.1,1.13686837721616e-12,1.4281908988778e-12,0,0,0,0
46,1,1.09534417572693,0.9,1.1,-2.8421709430404e-14,-1.20792265079217e-13,0,0,0,0
47,2,1.09999976716196,0.9,1.1,-1.13686837721616e-13,5.11590769747272e-13,0,0,0,0
48,2,1.09999999286668,0.9,1.1,4.90274487674469e-13,5.6843418860808e-13,0,0,0,0
49,1,1.00232405687263,0.9,1.1,-3.41060513164848e-13,4.9737991503207e-14,0,0,0,0
50,1,1.06623455185936,0.9,1.1,4.54747350886464e-13,5.6843418860808e-13,0,0,0,0
51,2,1.03491687293431,0.9,1.1,-1.46371803566581e-12,3.90798504668055e-13,0,0,0,0
52,1,1.01337858932902,0.9,1.1,-2.80032887985399e-13,1.77820717396219e-12,0,0,0,0
53,2,1.07017289324321,0.9,1.1,1.4210854715202e-12,-1.13686837721616e-13,0,0,0,0
54,2,1.09999999826913,0.9,1.1,-6.70752342557535e-12,-5.22959453519434e-12,0,0,0,0
55,2,1.09999994671738,0.9,1.1,2.92743607133161e-12,-1.08002495835535e-12,0,0,0,0
56,2,1.07698542321737,0.9,1.1,1.08002495835535e-12,-7.105427357601e-13,0,0,0,0
57,2,1.08783281071547,0.9,1.1,4.08562073062058e-14,-5.11590769747272e-13,0,0,0,0
58,1,1.05027352245044,0.9,1.1,-6.25277607468888e-13,-1.77635683940025e-12,0,0,0,0
59,1,1.04321990561693,0.9,1.1,-5.6843418860808e-13,-1.19371179607697e-12,0,0,0,0
60,2,1.0986023814734,0.9,1.1,6.18172180111287e-13,-3.69482222595252e-13,0,0,0,0
61,2,1.05432545061322,0.9,1.1,3.41060513164848e-13,-9.9475983006414e-14,0,0,0,0
62,1,1.03605763285241,0.9,1.1,-1.05759389550944e-12,2.4569794014081e-12,0,0,0,0
63,1,0.962625096901676,0.9,1.1,7.16436648424146e-13,4.96944671979135e-13,0,0,0,0
64,1,0.992650905939369,0.9,1.1,-4.2632564145606e-13,1.45661260830821e-13,0,0,0,0
65,2,1.09163240882526,0.9,1.1,-3.32178728967847e-13,-2.8421709430404e-14,0,0,0,0
66,1,1.02968479694575,0.9,1.1,4.54747350886464e-13,-2.56505927609396e-12,0,0,0,0
67,1,1.01991138297488,0.9,1.1,2.8421709430404e-14,8.38440428196918e-13,0,0,0,0
68,2,1.09999999132063,0.9,1.1,3.97903932025656e-13,0,0,0,0,0
69,1,1.04535656716838,0.9,1.1,-3.05914333151264e-13,1.1338811736489e-12,0,0,0,0
70,1,1.05566263586885,0.9,1.1,-1.17920416092314e-12,-1.2679859488947e-13,0,0,0,0
71,2,1.07945318975791,0.9,1.1,-1.25055521493778e-12,-1.19371179607697e-12,0,0,0,0
72,2,1.05654050327307,0.9,1.1,1.62714286489063e-12,-1.49213974509621e-13,0,0,0,0
73,1,1.07330656808967,0.9,1.1,2.27373675443232e-12,2.78532752417959e-12,0,0,0,0
74,1,1.09319821419221,0.9,1.1,3.09796632791404e-12,1.86795023893183e-11,0,0,0,0
75,1,1.09999965245992,0.9,1.1,1.25055521493778e-12,-6.30961949354969e-12,0,0,0,0
76,1,1.09706644557222,0.9,1.1,3.97903932025656e-13,2.34923192010683e-11,0,0,0,0
77,1,1.09583190702919,0.9,1.1,-4.87174351506463e-13,6.40228327477491e-12,0,0,0,0
78,2,1.09774525035551,0.9,1.1,7.16227077646181e-12,-2.71711542154662e-11,0,0,0,0
79,2,1.09999998938723,0.9,1.1,4.54747350886464e-13,-2.23820961764432e-13,0,0,0,0
80,2,1.09999997004214,0.9,1.1,-9.09494701772928e-13,3.84248188822767e-13,0,0,0,0
81,1,1.08974350468523,0.9,1.1,3.12638803734444e-12,2.53379539572052e-11,0,0,0,0
82,2,1.09999998676356,0.9,1.1,-9.09494701772928e-13,-3.44613226843649e-13,0,0,0,0
9001,1,1.06520951835352,0.9,1.1,1.0971819518017e-12,2.91775013694219e-13,0,0,0,0
9002,1,1.08486574420006,0.9,1.1,-4.85024997885109e-12,4.90010694094252e-12,0,0,0,0
9003,1,1.09906377078599,0.9,1.1,8.5265128291212e-14,-3.33066907387547e-13,0,0,0,0
858,1,1.07871363097406,0.9,1.1,-3.71524023347474e-12,1.16872473418064e-11,0,0,0,0
774,1,1.09683789627975,0.9,1.1,2.11353087910717e-12,1.37803026793483e-11,0,0,0,0
