model_branch_row,full_branch_row,branch_key
1,33,NPCC_S7:BRANCH_ROW:33
2,34,NPCC_S7:BRANCH_ROW:34
3,35,NPCC_S7:BRANCH_ROW:35
4,36,NPCC_S7:BRANCH_ROW:36
5,37,NPCC_S7:BRANCH_ROW:37
6,38,NPCC_S7:BRANCH_ROW:38
7,39,NPCC_S7:BRANCH_ROW:39
8,40,NPCC_S7:BRANCH_ROW:40
9,41,NPCC_S7:BRANCH_ROW:41
10,42,NPCC_S7:BRANCH_ROW:42
11,43,NPCC_S7:BRANCH_ROW:43
12,44,NPCC_S7:BRANCH_ROW:44
13,45,NPCC_S7:BRANCH_ROW:45
14,46,NPCC_S7:BRANCH_ROW:46
15,47,NPCC_S7:BRANCH_ROW:47
16,48,NPCC_S7:BRANCH_ROW:48
17,49,NPCC_S7:BRANCH_ROW:49
18,50,NPCC_S7:BRANCH_ROW:50
19,51,NPCC_S7:BRANCH_ROW:51
20,52,NPCC_S7:BRANCH_ROW:52
21,53,NPCC_S7:BRANCH_ROW:53
22,54,NPCC_S7:BRANCH_ROW:54
23,55,NPCC_S7:BRANCH_ROW:55
24,56,NPCC_S7:BRANCH_ROW:56
25,57,NPCC_S7:BRANCH_ROW:57
26,58,NPCC_S7:BRANCH_ROW:58
27,59,NPCC_S7:BRANCH_ROW:59
28,60,NPCC_S7:BRANCH_ROW:60
29,61,NPCC_S7:BRANCH_ROW:61
30,62,NPCC_S7:BRANCH_ROW:62
31,65,NPCC_S7:BRANCH_ROW:65
32,66,NPCC_S7:BRANCH_ROW:66
33,67,NPCC_S7:BRANCH_ROW:67
34,68,NPCC_S7:BRANCH_ROW:68
35,69,NPCC_S7:BRANCH_ROW:69
36,70,NPCC_S7:BRANCH_ROW:70
37,71,NPCC_S7:BRANCH_ROW:71
38,73,NPCC_S7:BRANCH_ROW:73
39,74,NPCC_S7:BRANCH_ROW:74
40,75,NPCC_S7:BRANCH_ROW:75
41,76,NPCC_S7:BRANCH_ROW:76
42,77,NPCC_S7:BRANCH_ROW:77
43,78,NPCC_S7:BRANCH_ROW:78
44,79,NPCC_S7:BRANCH_ROW:79
45,81,NPCC_S7:BRANCH_ROW:81
46,82,NPCC_S7:BRANCH_ROW:82
47,84,NPCC_S7:BRANCH_ROW:84
48,85,NPCC_S7:BRANCH_ROW:85
49,86,NPCC_S7:BRANCH_ROW:86
50,87,NPCC_S7:BRANCH_ROW:87
51,88,NPCC_S7:BRANCH_ROW:88
52,89,NPCC_S7:BRANCH_ROW:89
53,90,NPCC_S7:BRANCH_ROW:90
54,91,NPCC_S7:BRANCH_ROW:91
55,92,NPCC_S7:BRANCH_ROW:92
56,94,NPCC_S7:BRANCH_ROW:94
57,95,NPCC_S7:BRANCH_ROW:95
58,96,NPCC_S7:BRANCH_ROW:96
59,97,NPCC_S7:BRANCH_ROW:97
60,98,NPCC_S7:BRANCH_ROW:98
61,219,NPCC_S7:BRANCH_ROW:219
62,220,NPCC_S7:BRANCH_ROW:220
63,222,NPCC_S7:BRANCH_ROW:222
64,223,NPCC_S7:BRANCH_ROW:223
65,224,NPCC_S7:BRANCH_ROW:224
66,225,NPCC_S7:BRANCH_ROW:225
67,226,NPCC_S7:BRANCH_ROW:226
68,227,NPCC_S7:BRANCH_ROW:227
69,234,NPCC_S7:BRANCH_ROW:234
70,235,NPCC_S7:BRANCH_ROW:235
71,236,NPCC_S7:BRANCH_ROW:236
72,237,NPCC_S7:BRANCH_ROW:237
73,238,NPCC_S7:BRANCH_ROW:238
74,239,NPCC_S7:BRANCH_ROW:239
75,240,NPCC_S7:BRANCH_ROW:240
76,241,NPCC_S7:BRANCH_ROW:241
77,242,NPCC_S7:BRANCH_ROW:242
78,243,NPCC_S7:BRANCH_ROW:243
79,244,NPCC_S7:BRANCH_ROW:244
80,245,NPCC_S7:BRANCH_ROW:245
81,246,NPCC_S7:BRANCH_ROW:246
82,247,PERFORM2019:AC:651:858:1
83,248,PERFORM2019:AC:651:858:2
84,249,PERFORM2019:AC:651:902:1
85,250,PERFORM2019:AC:651:902:2
86,251,PERFORM2019:AC:858:902:1
87,252,PERFORM2019:AC:858:902:2
88,253,PERFORM2019:AC:897:902:1
89,254,PERFORM2019:AC:897:902:2
90,255,PERFORM2019:AC:774:1519:1
91,256,PERFORM2019:AC:774:900:1
92,257,PERFORM2019:AC:900:1519:1
