branch_row,device_key,from_bus,to_bus,online,rate_a_mva,from_mva,to_mva,from_overload_mva,to_overload_mva,angle_deg,angle_min_deg,angle_max_deg,angle_below_min_deg,angle_above_max_deg,violated,invalid_limit_bounds,stored_terminal_flow_error_mva,stored_terminal_flow_inconsistent
1,NPCC_S7:BRANCH_ROW:1,1,2,1,2500,535.190600620949,533.226169661331,0,0,1.34287229561358,-360,360,0,0,0,0,2.18680998633219e-12,0
2,NPCC_S7:BRANCH_ROW:2,1,4,1,2500,1279.17205623722,1263.8129248037,0,0,3.22002339279317,-360,360,0,0,0,0,1.37867264534576e-12,0
3,NPCC_S7:BRANCH_ROW:3,2,33,1,2500,488.419655065531,486.522836803532,0,0,2.40477775960095,-360,360,0,0,0,0,4.06568461738009e-13,0
4,NPCC_S7:BRANCH_ROW:4,4,5,1,2500,1289.85798275121,1272.37676199269,0,0,7.99114772047696,-360,360,0,0,0,0,2.27373675443232e-13,0
5,NPCC_S7:BRANCH_ROW:5,5,6,1,2500,992.943515707781,1011.47971045507,0,0,13.2992253284012,-360,360,0,0,0,0,8.31668949581372e-13,0
6,NPCC_S7:BRANCH_ROW:6,5,31,1,2500,282.413794973234,281.827960977925,0,0,2.27370447692485,-360,360,0,0,0,0,5.69543329542959e-14,0
7,NPCC_S7:BRANCH_ROW:7,6,7,1,2500,722.458828075434,739.554664076349,0,0,3.30745598607341,-360,360,0,0,0,0,1.83314517660132e-12,0
8,NPCC_S7:BRANCH_ROW:8,7,8,1,2500,161.097102586568,167.136507152478,0,0,-0.721163047575034,-360,360,0,0,0,0,1.46067955373414e-12,0
9,NPCC_S7:BRANCH_ROW:9,7,10,1,2500,331.466903349553,319.624261216996,0,0,2.19238138857865,-360,360,0,0,0,0,4.06936949936959e-13,0
10,NPCC_S7:BRANCH_ROW:10,7,12,1,2500,150.145090491446,131.43154220621,0,0,-0.583108955713033,-360,360,0,0,0,0,7.37870492784348e-13,0
11,NPCC_S7:BRANCH_ROW:11,7,15,1,2500,273.12492684045,270.71263523208,0,0,0.647947240358196,-360,360,0,0,0,0,1.48365678980306e-12,0
12,NPCC_S7:BRANCH_ROW:12,8,9,1,2500,364.426209228254,366.383119520378,0,0,-1.54644658682734,-360,360,0,0,0,0,0,0
13,NPCC_S7:BRANCH_ROW:13,8,18,1,2500,198.10372721981,187.427449417157,0,0,1.75629834565545,-360,360,0,0,0,0,3.64252787732548e-13,0
14,NPCC_S7:BRANCH_ROW:14,9,30,1,2500,536.292425753462,534.576311770075,0,0,-4.08225376656123,-360,360,0,0,0,0,1.17185710042169e-13,0
15,NPCC_S7:BRANCH_ROW:15,12,13,1,2500,477.286224923316,478.939556783825,0,0,-3.02051157963061,-360,360,0,0,0,0,1.0247593068766e-13,0
16,NPCC_S7:BRANCH_ROW:16,13,14,1,2500,169.478701124067,171.939899195112,0,0,0.811035176036674,-360,360,0,0,0,0,7.85722208533234e-13,0
17,NPCC_S7:BRANCH_ROW:17,14,15,1,2500,207.528919517012,216.979384664891,0,0,3.44053259966516,-360,360,0,0,0,0,1.84741111297626e-13,0
18,NPCC_S7:BRANCH_ROW:18,16,17,1,2500,690.645076000435,685.347352484269,0,0,11.8376842498928,-360,360,0,0,0,0,2.27623338554982e-13,0
19,NPCC_S7:BRANCH_ROW:19,16,29,1,2500,610.146102684532,587.262591856511,0,0,2.98061696623687,-360,360,0,0,0,0,6.86584323598427e-13,0
20,NPCC_S7:BRANCH_ROW:20,17,18,1,2500,207.810824714672,218.764867071186,0,0,1.26160804533466,-360,360,0,0,0,0,7.617071152741e-13,0
21,NPCC_S7:BRANCH_ROW:21,17,19,1,2500,228.379103864754,200.320994907457,0,0,4.92717875286401,-360,360,0,0,0,0,4.04010875622291e-13,0
22,NPCC_S7:BRANCH_ROW:22,17,20,1,2500,186.940733155136,136.67811968467,0,0,4.51077054300092,-360,360,0,0,0,0,1.17185710042169e-13,0
