source_bus,bus_type,vm_pu,vmin_pu,vmax_pu,p_mismatch_mw,q_mismatch_mvar,voltage_below_min_pu,voltage_above_max_pu,violated,invalid_voltage_bounds
1,1,0.982445747654509,0.9,1.1,1.70566918033896e-12,-3.22019453282999e-12,0,0,0,0
2,1,0.977245344241302,0.9,1.1,2.05230988276193e-12,3.56971520354547e-13,0,0,0,0
3,1,0.953312361044914,0.9,1.1,-3.89022147828655e-13,1.70530256582424e-13,0,0,0,0
4,1,0.969986370959924,0.9,1.1,-9.60878966047252e-13,-4.31070879633583e-12,0,0,0,0
5,1,0.956725259599881,0.9,1.1,2.97409955141422e-13,-6.17446994381847e-18,0,0,0,0
6,1,0.980985851490682,0.9,1.1,6.25277607468888e-13,0,0,0,0,0
7,1,1.01893570585143,0.9,1.1,-5.40012479177676e-12,-4.71089833808946e-12,0,0,0,0
8,1,1.01225554083085,0.9,1.1,-1.55650257250651e-12,4.42991049868981e-13,0,0,0,0
9,1,0.999734946427515,0.9,1.1,8.24229573481716e-13,9.59232693276135e-14,0,0,0,0
10,1,1.06541690043836,0.9,1.1,-3.94149448971418e-12,1.34181353868945e-12,0,0,0,0
11,1,1.06783929181118,0.9,1.1,1.36424205265939e-12,-4.37694325228222e-12,0,0,0,0
12,1,1.03425402751563,0.9,1.1,1.64845914696343e-12,-3.08375547319883e-12,0,0,0,0
13,1,1.06615809821216,0.9,1.1,-1.9015614262136e-12,3.54912226977953e-12,0,0,0,0
14,1,1.06296201632171,0.9,1.1,5.11590769747272e-13,-1.53477230924182e-12,0,0,0,0
15,1,1.02951329494901,0.9,1.1,8.5265128291212e-13,2.8705926524708e-12,0,0,0,0
16,1,1.04187940336555,0.9,1.1,4.2632564145606e-13,1.01607611213694e-12,0,0,0,0
17,1,1.04281526522176,0.9,1.1,7.38964445190504e-13,2.60413912656077e-12,0,0,0,0
18,1,1.0224835393113,0.9,1.1,1.13686837721616e-12,-1.27897692436818e-12,0,0,0,0
19,1,1.07277343470059,0.9,1.1,2.8421709430404e-13,1.79767312147305e-12,0,0,0,0
20,1,1.08245686331785,0.9,1.1,1.47792889038101e-12,1.53121959556302e-12,0,0,0,0
21,2,1.09999998766663,0.9,1.1,-4.54747350886464e-13,-1.13686837721616e-12,0,0,0,0
22,2,1.09999995133422,0.9,1.1,1.59161572810262e-12,-5.6843418860808e-14,0,0,0,0
23,2,1.09999989061796,0.9,1.1,-9.9475983006414e-13,2.8421709430404e-13,0,0,0,0
24,2,1.09999996128111,0.9,1.1,3.41060513164848e-13,-1.13686837721616e-13,0,0,0,0
25,2,1.0999999257008,0.9,1.1,1.70530256582424e-13,0,0,0,0,0
26,2,1.09999996175578,0.9,1.1,-1.13686837721616e-12,1.13686837721616e-13,0,0,0,0
27,2,1.09999998939735,0.9,1.1,4.54747350886464e-13,5.6843418860808e-14,0,0,0,0
28,1,1.00475244108502,0.9,1.1,0,0,0,0,0,0
29,1,1.00475244108502,0.9,1.1,3.21293571769001e-13,-4.72321957863726e-12,0,0,0,0
30,1,0.98630514118754,0.9,1.1,-2.27373675443232e-13,-7.34523553092004e-13,0,0,0,0
31,1,0.95143819321892,0.9,1.1,-2.27373675443232e-13,-1.16529008664656e-12,0,0,0,0
32,1,0.967182608026669,0.9,1.1,1.04473417240486e-12,-1.50867149223367e-11,0,0,0,0
33,1,0.972906035760218,0.9,1.1,-1.02815459521147e-12,-1.34671516236049e-13,0,0,0,0
34,1,0.966061033256078,0.9,1.1,-4.54747350886464e-13,4.54747350886464e-13,0,0,0,0
35,1,0.968101557818378,0.9,1.1,-2.27373675443232e-13,1.19371179607697e-12,0,0,0,0
