parent_branch_row,from_bus,to_bus,parent_status,candidate_status,disposition,replacement_source_rows,residual_added,dlr_eligible
1,1,2,1,1,retained_NPCC_benchmark_equivalent,,0,0
2,1,4,1,1,retained_NPCC_benchmark_equivalent,,0,0
3,2,33,1,1,retained_NPCC_benchmark_equivalent,,0,0
4,4,5,1,1,retained_NPCC_benchmark_equivalent,,0,0
5,5,6,1,1,retained_NPCC_benchmark_equivalent,,0,0
6,5,31,1,1,retained_NPCC_benchmark_equivalent,,0,0
7,6,7,1,1,retained_NPCC_benchmark_equivalent,,0,0
8,7,8,1,1,retained_NPCC_benchmark_equivalent,,0,0
9,7,10,1,1,retained_NPCC_benchmark_equivalent,,0,0
10,7,12,1,1,retained_NPCC_benchmark_equivalent,,0,0
11,7,15,1,1,retained_NPCC_benchmark_equivalent,,0,0
12,8,9,1,1,retained_NPCC_benchmark_equivalent,,0,0
13,8,18,1,1,retained_NPCC_benchmark_equivalent,,0,0
14,9,30,1,1,retained_NPCC_benchmark_equivalent,,0,0
15,12,13,1,1,retained_NPCC_benchmark_equivalent,,0,0
16,13,14,1,1,retained_NPCC_benchmark_equivalent,,0,0
17,14,15,1,1,retained_NPCC_benchmark_equivalent,,0,0
18,16,17,1,1,retained_NPCC_benchmark_equivalent,,0,0
19,16,29,1,1,retained_NPCC_benchmark_equivalent,,0,0
20,17,18,1,1,retained_NPCC_benchmark_equivalent,,0,0
21,17,19,1,1,retained_NPCC_benchmark_equivalent,,0,0
22,17,20,1,1,retained_NPCC_benchmark_equivalent,,0,0
23,19,20,1,1,retained_NPCC_benchmark_equivalent,,0,0
24,29,30,1,1,retained_NPCC_benchmark_equivalent,,0,0
25,29,37,1,1,retained_NPCC_benchmark_equivalent,,0,0
26,30,31,1,1,retained_NPCC_benchmark_equivalent,,0,0
27,31,32,1,1,retained_NPCC_benchmark_equivalent,,0,0
28,32,33,1,1,retained_NPCC_benchmark_equivalent,,0,0
29,32,35,1,1,retained_NPCC_benchmark_equivalent,,0,0
30,33,34,1,1,retained_NPCC_benchmark_equivalent,,0,0
31,34,35,1,1,retained_NPCC_benchmark_equivalent,,0,0
32,35,73,1,1,retained_NPCC_benchmark_equivalent,,0,0
33,37,38,1,1,retained_NPCC_benchmark_equivalent,,0,0
34,37,39,1,1,retained_NPCC_benchmark_equivalent,,0,0
35,37,40,1,1,retained_NPCC_benchmark_equivalent,,0,0
36,37,43,1,1,retained_NPCC_benchmark_equivalent,,0,0
37,38,69,1,1,retained_NPCC_benchmark_equivalent,,0,0
38,39,73,1,1,retained_NPCC_benchmark_equivalent,,0,0
39,39,73,1,1,retained_NPCC_benchmark_equivalent,,0,0
40,40,44,1,1,retained_NPCC_benchmark_equivalent,,0,0
41,41,42,1,1,retained_NPCC_benchmark_equivalent,,0,0
42,41,45,1,1,retained_NPCC_benchmark_equivalent,,0,0
43,43,44,1,1,retained_NPCC_benchmark_equivalent,,0,0
44,43,50,1,1,retained_NPCC_benchmark_equivalent,,0,0
45,43,50,1,1,retained_NPCC_benchmark_equivalent,,0,0
46,44,45,1,1,retained_NPCC_benchmark_equivalent,,0,0
47,44,48,1,1,retained_NPCC_benchmark_equivalent,,0,0
48,45,46,1,1,retained_NPCC_benchmark_equivalent,,0,0
49,45,51,1,1,retained_NPCC_benchmark_equivalent,,0,0
50,45,71,1,1,retained_NPCC_benchmark_equivalent,,0,0
51,46,47,1,1,retained_NPCC_benchmark_equivalent,,0,0
52,46,49,1,1,retained_NPCC_benchmark_equivalent,,0,0
