branch_row,device_key,from_bus,to_bus,online,rate_a_mva,from_mva,to_mva,from_overload_mva,to_overload_mva,angle_deg,angle_min_deg,angle_max_deg,angle_below_min_deg,angle_above_max_deg,violated,invalid_limit_bounds,stored_terminal_flow_error_mva,stored_terminal_flow_inconsistent
1,NPCC_S7:BRANCH_ROW:33,37,38,1,2500,148.313383694253,144.234600463349,0,0,-1.23791395754849,-360,360,0,0,0,0,2.86428933843956e-14,0
2,NPCC_S7:BRANCH_ROW:34,37,39,1,3388,186.665388459618,215.149218941153,0,0,0.589934122213965,-360,360,0,0,0,0,4.01943669423046e-14,0
3,NPCC_S7:BRANCH_ROW:35,37,40,1,2500,130.806993415257,129.882169941511,0,0,1.86201168664749,-360,360,0,0,0,0,1.4210854715202e-14,0
4,NPCC_S7:BRANCH_ROW:36,37,43,1,3745.98196383403,67.4329629909417,161.455174375856,0,0,-0.744962976905402,-360,360,0,0,0,0,1.4720415222858e-12,0
5,NPCC_S7:BRANCH_ROW:37,38,69,1,1216,73.4568054900732,36.2244199596588,0,0,-0.749873002809448,-360,360,0,0,0,0,3.80422483862647e-13,0
6,NPCC_S7:BRANCH_ROW:38,39,73,1,2500,245.691385288583,251.600093637496,0,0,2.27657792530901,-360,360,0,0,0,0,3.17764371615651e-14,0
7,NPCC_S7:BRANCH_ROW:39,39,73,1,2500,245.691385288583,251.600093637496,0,0,2.27657792530901,-360,360,0,0,0,0,3.17764371615651e-14,0
8,NPCC_S7:BRANCH_ROW:40,40,44,1,1328.76341358641,90.4135819142194,122.131159737208,0,0,-1.94319361583963,-360,360,0,0,0,0,1.58882185807825e-14,0
9,NPCC_S7:BRANCH_ROW:41,41,42,1,2500,504.893731976244,514.595242153694,0,0,-1.57789666911257,-360,360,0,0,0,0,8.03887338846093e-14,0
10,NPCC_S7:BRANCH_ROW:42,41,45,1,314.254622579561,30.1639274309177,37.2807604719079,0,0,2.00960612164662,-360,360,0,0,0,0,2.16103136462856e-14,0
11,NPCC_S7:BRANCH_ROW:43,43,44,1,2500,133.390730243174,132.257283126905,0,0,0.663781047713262,-360,360,0,0,0,0,1.4495071809506e-12,0
12,NPCC_S7:BRANCH_ROW:44,43,50,1,3463.47124449306,43.5753473985503,78.13125621113,0,0,0.342539320928758,-360,360,0,0,0,0,7.27890257865428e-13,0
13,NPCC_S7:BRANCH_ROW:45,43,50,1,3463.47124449306,43.5753473985503,78.13125621113,0,0,0.342539320928758,-360,360,0,0,0,0,7.27890257865428e-13,0
14,NPCC_S7:BRANCH_ROW:46,44,45,1,2500,452.366867118675,451.439888703683,0,0,5.28350849433022,-360,360,0,0,0,0,1.1403325463067e-13,0
15,NPCC_S7:BRANCH_ROW:47,44,48,1,6896.14528055676,325.237736441041,320.111643757214,0,0,-21.2971515143079,-360,360,0,0,0,0,5.85928550210846e-14,0
16,NPCC_S7:BRANCH_ROW:48,45,46,1,2040.85471944324,97.4315984001067,104.543016013631,0,0,-21.3409427957291,-360,360,0,0,0,0,2.8421709430404e-14,0
17,NPCC_S7:BRANCH_ROW:49,45,51,1,489.56239109923,57.1936339055098,55.897499212793,0,0,-2.35281002834141,-360,360,0,0,0,0,7.105427357601e-15,0
18,NPCC_S7:BRANCH_ROW:50,45,71,1,166.495119914644,23.4259380994797,22.2023006038226,0,0,-6.07972338845813,-360,360,0,0,0,0,4.39446412658135e-14,0
19,NPCC_S7:BRANCH_ROW:51,46,47,1,2500,128.830098015314,137.82913833782,0,0,-8.4284254376306,-360,360,0,0,0,0,1.49702202577062e-13,0
20,NPCC_S7:BRANCH_ROW:52,46,49,1,2500,21.8758924887739,23.1655156091384,0,0,3.23040848200336,-360,360,0,0,0,0,2.07917237395343e-14,0
21,NPCC_S7:BRANCH_ROW:53,47,48,1,2500,685.101529675755,561.836498647888,0,0,3.18870822472154,-360,360,0,0,0,0,1.17185710042169e-13,0
22,NPCC_S7:BRANCH_ROW:54,50,51,1,2500,572.885659530848,632.095194933755,0,0,3.25194019277332,-360,360,0,0,0,0,8.03887338846093e-14,0
23,NPCC_S7:BRANCH_ROW:55,50,52,1,2858.06690137886,522.688355298458,463.97126628813,0,0,4.79666088057141,-360,360,0,0,0,0,5.6843418860808e-14,0
24,NPCC_S7:BRANCH_ROW:56,51,53,1,290.964700741948,86.6929546853541,77.0345250666263,0,0,9.00616537574607,-360,360,0,0,0,0,1.58882185807825e-14,0
25,NPCC_S7:BRANCH_ROW:57,51,72,1,2500,262.282173807012,278.194666362417,0,0,-2.76540813845399,-360,360,0,0,0,0,2.29143147075165e-13,0
26,NPCC_S7:BRANCH_ROW:58,52,53,1,2500,398.955054756422,414.138321448082,0,0,7.46144468794798,-360,360,0,0,0,0,6.35528743231302e-14,0
27,NPCC_S7:BRANCH_ROW:59,53,55,1,997.983883346124,89.8873671355977,105.287782308022,0,0,-5.07155241055241,-360,360,0,0,0,0,1.4210854715202e-14,0
28,NPCC_S7:BRANCH_ROW:60,53,65,1,785.968397879188,17.4949445413856,15.103041573933,0,0,0.664739039074727,-360,360,0,0,0,0,1.95786437493764e-13,0
29,NPCC_S7:BRANCH_ROW:61,54,56,1,789.941803,76.5560160641164,76.5550120695999,0,0,0.26887812003097,-360,360,0,0,0,0,1.42320892130122e-14,0
