model_bus,zone,parent_pd_mw,pd_gross_mw,qd_gross_mvar,p_boundary_mw,q_boundary_mvar,pd_effective_mw,qd_effective_mvar,within_zone_allocation_weight,assumed_q_over_p
37,F,0,0,0,-112.551103633678,0,112.551103633678,0,0,0.250623624353469
38,F,0,0,0,0,0,0,0,0,0.250623624353469
39,G,0,142.646443394078,35.7505686445557,0,0,142.646443394078,35.7505686445557,0.2,0.250623624353469
40,F,0,0,0,0,0,0,0,0,0.250623624353469
41,F,809.143671,726.975351901978,112.306284093455,0,0,726.975351901978,112.306284093455,0.798175598482101,0.154484307892461
42,F,204.597757,183.820910580206,15.2736546367099,0,0,183.820910580206,15.2736546367099,0.201824401517899,0.0830898649587835
43,E,0,0,0,0,0,0,0,0,0.250623624353469
44,E,0,0,0,0,0,0,0,0,0.250623624353469
45,E,295.9154,624.436415216147,35.8731551608146,0,0,624.436415216147,35.8731551608146,1,0.0574488519353842
46,D,26.5861492,9.9815448708795,-15.9562655659955,0,0,9.9815448708795,-15.9562655659955,0.0303030303168461,-1.59857675063375
47,D,610.325512,229.141551792333,37.5441542729306,0,0,229.141551792333,37.5441542729306,0.695652174150916,0.163846993176323
48,D,0,0,0,192.22924312239,0,-192.22924312239,0,0,0.250623624353469
49,D,240.431262,90.2678839256339,6.3825062263982,0,0,90.2678839256339,6.3825062263982,0.274044795532238,0.0707062794521288
50,C,0,0,0,0,0,0,0,0,0.250623624353469
51,C,844.977176,555.918288914072,49.3431927545406,0,0,555.918288914072,49.3431927545406,0.472527472527473,0.0887597939095103
52,B,0,0,0,0,0,0,0,0,0.250623624353469
53,B,1066.91373,690.48215058251,161.794278948521,0,0,690.48215058251,161.794278948521,1,0.234320726194048
54,A,20,7.08903523917138,0,308.933556550134,0,-301.844521310962,0,0.00763005733397711,0
55,A,939,332.830204479096,46.7876325785311,0,0,332.830204479096,46.7876325785311,0.358231191830225,0.140575079872204
56,A,198.818159,70.471446766909,15.595877526177,0,0,70.471446766909,15.595877526177,0.0758496976102888,0.221307752879856
57,A,277.420687,98.3322513109067,-2.12671057175141,0,0,98.3322513109067,-2.12671057175141,0.105836787372066,-0.0216278031205366
58,A,97.0972405,34.4162879765399,13.4691669544256,0,0,34.4162879765399,13.4691669544256,0.0370428755992982,0.391360246741513
59,A,814.923268,288.850988203635,70.1814488677967,0,0,288.850988203635,70.1814488677967,0.3108955628816,0.24296766060679
60,A,0,0,0,0,0,0,0,0,0.250623624353469
61,A,273.952928,97.103098023309,2.83561409566855,0,0,97.103098023309,2.83561409566855,0.104513827372545,0.0292020970843575
62,A,0,0,0,0,0,0,0,0,0.250623624353469
63,C,0,0,0,0,0,0,0,0,0.250623624353469
64,C,165.296493,108.750089543314,16.4477309181802,0,0,108.750089543314,16.4477309181802,0.0924369749543922,0.151243378164109
65,C,105.188677,69.2046021974149,0,0,0,69.2046021974149,0,0.058823529313079,0
66,C,0,0,0,186.227369987928,0,-186.227369987928,0,0,0.250623624353469
67,C,0,0,0,79.8117299948264,0,-79.8117299948264,0,0,0.250623624353469
68,C,243.899021,160.463418744623,26.9742787058155,0,0,160.463418744623,26.9742787058155,0.136393018910436,0.168102355769604
69,C,0,0,0,0,0,0,0,0,0.250623624353469
70,C,0,0,0,0,0,0,0,0,0.250623624353469
71,C,428.846145,282.141839930356,34.869189546542,0,0,282.141839930356,34.869189546542,0.23981900429462,0.123587446495526
72,C,0,0,0,0,0,0,0,0,0.250623624353469
73,G,0,356.616108485194,89.3764216113891,-168.826655450517,0,525.442763935711,89.3764216113891,0.5,0.250623624353469
74,H,117.903792,235.348554997091,0,0,0,235.348554997091,0,1,0
75,G,0,0,0,133.019549991377,0,-133.019549991377,0,0,0.250623624353469
76,G,0,213.969665091117,53.6258529668335,0,0,213.969665091117,53.6258529668335,0.3,0.250623624353469
77,H,0,0,0,0,0,0,0,0,0.250623624353469
78,I,2311.83906,414.880086647176,107.675337914009,0,0,414.880086647176,107.675337914009,1,0.259533637259334
79,J,0,1522.51512605185,381.578259024093,0,0,1522.51512605185,381.578259024093,0.45,0.250623624353469
80,K,809.143671,1494.71463310442,46.1819911183738,292.31189951868,0,1202.40273358574,46.1819911183738,1,0.0308968615784922
81,J,0,338.336694678189,84.7951686720207,405.050382575126,0,-66.7136878969367,84.7951686720207,0.1,0.250623624353469
82,J,0,1522.51512605185,381.578259024093,0,0,1522.51512605185,381.578259024093,0.45,0.250623624353469
9001,G,0,0,0,0,0,0,0,0,0
9002,G,0,0,0,0,0,0,0,0,0
9003,K,0,0,0,0,0,0,0,0,0
858,G,0,0,0,0,0,0,0,0,0
774,G,0,0,0,0,0,0,0,0,0
