branch_row,device_key,from_bus,to_bus,online,rate_a_mva,from_mva,to_mva,from_overload_mva,to_overload_mva,angle_deg,angle_min_deg,angle_max_deg,angle_below_min_deg,angle_above_max_deg,violated,invalid_limit_bounds,stored_terminal_flow_error_mva,stored_terminal_flow_inconsistent
1,NPCC_S7:BRANCH_ROW:33,37,38,1,2500,145.392118723109,153.637416009756,0,0,-1.39974167550391,-360,360,0,0,0,0,6.82712888502937e-13,0
2,NPCC_S7:BRANCH_ROW:34,37,39,1,3388,2022.26231580489,1927.90812335231,0,0,8.74649249718795,-360,360,0,0,0,0,1.52526898375512e-12,0
3,NPCC_S7:BRANCH_ROW:35,37,40,1,2500,241.675915688341,251.454155507071,0,0,-2.83849823484982,-360,360,0,0,0,0,2.8421709430404e-14,0
4,NPCC_S7:BRANCH_ROW:36,37,43,0,3745.98196383403,0,0,0,0,-9.80029785761505,-360,360,0,0,0,0,0,0
5,NPCC_S7:BRANCH_ROW:37,38,69,1,1216,468.909891529297,486.097227423451,0,0,-11.9536176697778,-360,360,0,0,0,0,3.69482222595252e-13,0
6,NPCC_S7:BRANCH_ROW:38,39,73,1,2500,1135.02833664905,1099.28412064348,0,0,13.997739222351,-360,360,0,0,0,0,7.27950946092375e-13,0
7,NPCC_S7:BRANCH_ROW:39,39,73,1,2500,1135.02833664905,1099.28412064348,0,0,13.997739222351,-360,360,0,0,0,0,7.27950946092375e-13,0
8,NPCC_S7:BRANCH_ROW:40,40,44,0,1328.76341358641,0,0,0,0,-5.02101288186948,-360,360,0,0,0,0,0,0
9,NPCC_S7:BRANCH_ROW:41,41,42,1,2500,371.923477870036,375.021548790069,0,0,-0.68871371621204,-360,360,0,0,0,0,2.8421709430404e-14,0
10,NPCC_S7:BRANCH_ROW:42,41,45,1,314.254622579561,21.5875685127068,29.3073436253744,0,0,-2.88347839770129,-360,360,0,0,0,0,1.00045325555191e-13,0
11,NPCC_S7:BRANCH_ROW:43,43,44,1,2500,348.987600585684,351.608550209739,0,0,1.94078674089575,-360,360,0,0,0,0,3.00064477164082e-12,0
12,NPCC_S7:BRANCH_ROW:44,43,50,1,3463.47124449306,599.125711238586,616.367363797109,0,0,-7.68725893664527,-360,360,0,0,0,0,1.57221128187522e-12,0
13,NPCC_S7:BRANCH_ROW:45,43,50,1,3463.47124449306,599.125711238586,616.367363797109,0,0,-7.68725893664527,-360,360,0,0,0,0,1.57221128187522e-12,0
14,NPCC_S7:BRANCH_ROW:46,44,45,1,2500,190.899499392321,190.760627914974,0,0,2.00387405665982,-360,360,0,0,0,0,1.50809676521306e-12,0
15,NPCC_S7:BRANCH_ROW:47,44,48,0,6896.14528055676,0,0,0,0,6.13284764481684,-360,360,0,0,0,0,0,0
16,NPCC_S7:BRANCH_ROW:48,45,46,1,2040.85471944324,19.9465639945015,2.50974161187528,0,0,0.370173229250069,-360,360,0,0,0,0,1.0043193092529e-13,0
17,NPCC_S7:BRANCH_ROW:49,45,51,1,489.56239109923,110.845762097923,116.31786643803,0,0,-10.9498670327547,-360,360,0,0,0,0,1.04970515499006e-13,0
18,NPCC_S7:BRANCH_ROW:50,45,71,1,166.495119914644,44.7134066448633,48.4614000887208,0,0,-13.3204073231473,-360,360,0,0,0,0,4.84851059353139e-14,0
19,NPCC_S7:BRANCH_ROW:51,46,47,1,2500,64.8253608301496,67.5934533022986,0,0,-4.29424344912535,-360,360,0,0,0,0,3.5527136788005e-15,0
20,NPCC_S7:BRANCH_ROW:52,46,49,1,2500,41.153063062509,38.9596953303112,0,0,11.807725721395,-360,360,0,0,0,0,7.11929161928699e-15,0
21,NPCC_S7:BRANCH_ROW:53,47,48,1,2500,514.933708033144,514.933709269399,0,0,8.0530438080323,-360,360,0,0,0,0,1.13686837721616e-13,0
22,NPCC_S7:BRANCH_ROW:54,50,51,1,2500,69.5837389974258,69.5837389299053,0,0,0.682052701446175,-360,360,0,0,0,0,1.55431223447522e-15,0
23,NPCC_S7:BRANCH_ROW:55,50,52,1,2858.06690137886,164.402859220307,176.997531717862,0,0,-1.60401724614373,-360,360,0,0,0,0,3.17764371615651e-14,0
24,NPCC_S7:BRANCH_ROW:56,51,53,1,290.964700741948,17.6994927794139,13.5967029685954,0,0,0.943241419032203,-360,360,0,0,0,0,2.51214793389404e-15,0
25,NPCC_S7:BRANCH_ROW:57,51,72,1,2500,227.132221136855,241.377279632975,0,0,-2.5575401565716,-360,360,0,0,0,0,8.55606755492907e-13,0
26,NPCC_S7:BRANCH_ROW:58,52,53,1,2500,175.561380701055,175.298293471122,0,0,3.22931136662211,-360,360,0,0,0,0,2.84251786656236e-14,0
27,NPCC_S7:BRANCH_ROW:59,53,55,1,997.983883346124,77.0574352621923,86.1129273843874,0,0,-4.23267632223952,-360,360,0,0,0,0,1.00615366603224e-13,0
28,NPCC_S7:BRANCH_ROW:60,53,65,1,785.968397879188,30.5434998222634,29.930926769613,0,0,1.18307411184545,-360,360,0,0,0,0,9.77839288969429e-14,0
29,NPCC_S7:BRANCH_ROW:61,54,56,1,789.941803,114.797997126062,107.539361721776,0,0,0.446177054816825,-360,360,0,0,0,0,3.80057347238003e-13,0
30,NPCC_S7:BRANCH_ROW:62,54,62,1,789.941803,82.8127082515258,80.6116621236405,0,0,2.72439258541925,-360,360,0,0,0,0,1.91319486729018e-13,0
31,NPCC_S7:BRANCH_ROW:65,55,57,1,789.941803,71.2198447028223,70.9277030743846,0,0,1.34628152280846,-360,360,0,0,0,0,3.10862446895044e-15,0
32,NPCC_S7:BRANCH_ROW:66,55,59,1,789.941803,41.5102017216499,42.4058001695516,0,0,1.4607357740256,-360,360,0,0,0,0,1.77635683940025e-15,0
33,NPCC_S7:BRANCH_ROW:67,56,58,1,2500,327.325000098932,325.539690296283,0,0,2.30146509498121,-360,360,0,0,0,0,1.77635683940025e-14,0
34,NPCC_S7:BRANCH_ROW:68,57,59,1,2500,14.9126703164853,18.0168874967174,0,0,0.114454251217133,-360,360,0,0,0,0,1.98602732259782e-15,0
35,NPCC_S7:BRANCH_ROW:69,58,60,1,2500,57.1239764320212,40.9190827628605,0,0,-0.612956739087341,-360,360,0,0,0,0,2.00090651110382e-13,0
36,NPCC_S7:BRANCH_ROW:70,58,62,1,2500,15.5087578112935,12.1343375596282,0,0,-0.0232495643787871,-360,360,0,0,0,0,3.87601103061918e-13,0
37,NPCC_S7:BRANCH_ROW:71,59,61,1,2500,21.1630916636449,21.5402380273251,0,0,-1.46499975901686,-360,360,0,0,0,0,3.58036167304945e-15,0
38,NPCC_S7:BRANCH_ROW:73,62,63,1,620,78.2855383024598,75.6673357679913,0,0,2.99936229460911,-360,360,0,0,0,0,1.95496120514315e-13,0
39,NPCC_S7:BRANCH_ROW:74,63,64,1,2500,72.3389987683431,72.2141513419329,0,0,1.59969092059202,-360,360,0,0,0,0,1.42731681407222e-14,0
40,NPCC_S7:BRANCH_ROW:75,63,67,1,2500,10.1318809526798,12.3439533653955,0,0,0.146725086824246,-360,360,0,0,0,0,4.44089209850063e-16,0
41,NPCC_S7:BRANCH_ROW:76,64,65,1,2500,21.2089837317189,18.567966355225,0,0,0.830023297385386,-360,360,0,0,0,0,3.5527136788005e-15,0
42,NPCC_S7:BRANCH_ROW:77,64,68,1,2500,31.9617258516237,36.3104184069019,0,0,-3.9907945753512,-360,360,0,0,0,0,5.12687481434491e-14,0
43,NPCC_S7:BRANCH_ROW:78,66,67,1,2500,157.322405024689,158.767878204041,0,0,-1.69854506721109,-360,360,0,0,0,0,2.8421709430404e-14,0
44,NPCC_S7:BRANCH_ROW:79,66,69,1,2500,150.199101651449,159.145714219622,0,0,1.91027328059682,-360,360,0,0,0,0,0,0
45,NPCC_S7:BRANCH_ROW:81,67,68,1,2500,110.217425019165,111.251076543821,0,0,-2.53782874158342,-360,360,0,0,0,0,2.17384276492941e-13,0
46,NPCC_S7:BRANCH_ROW:82,67,70,1,2500,45.662992713236,42.6920053816279,0,0,-1.22501398439402,-360,360,0,0,0,0,7.1607233460989e-15,0
47,NPCC_S7:BRANCH_ROW:84,68,71,1,2500,6.20721622196302,3.7169632717994,0,0,0.323962051466271,-360,360,0,0,0,0,4.92318507806842e-14,0
48,NPCC_S7:BRANCH_ROW:85,69,71,1,2500,328.625215514951,340.108324499095,0,0,-5.82268503792506,-360,360,0,0,0,0,2.34371420084339e-13,0
49,NPCC_S7:BRANCH_ROW:86,70,71,1,2500,42.6920053816279,42.758735808271,0,0,-0.988852705723129,-360,360,0,0,0,0,1.02982746175227e-13,0
50,NPCC_S7:BRANCH_ROW:87,71,72,1,2500,108.083609512177,118.399921827002,0,0,-0.186999866178938,-360,360,0,0,0,0,7.77632542368077e-13,0
51,NPCC_S7:BRANCH_ROW:88,73,74,0,1599.84337349398,0,0,0,0,9.9887511935515,-360,360,0,0,0,0,0,0
52,NPCC_S7:BRANCH_ROW:89,73,74,0,1599.84337349398,0,0,0,0,9.9887511935515,-360,360,0,0,0,0,0,0
53,NPCC_S7:BRANCH_ROW:90,74,77,1,2500,256.041945586054,256.080684904085,0,0,-0.751538905991815,-360,360,0,0,0,0,2.59842634435144e-12,0
54,NPCC_S7:BRANCH_ROW:91,74,78,1,2889.50495049505,1079.63964210103,1080.94666772827,0,0,3.31983873933302,-360,360,0,0,0,0,2.66376776241031e-12,0
55,NPCC_S7:BRANCH_ROW:92,74,78,1,2889.50495049505,1079.63964210103,1080.94666772827,0,0,3.31983873933302,-360,360,0,0,0,0,2.66376776241031e-12,0
56,NPCC_S7:BRANCH_ROW:94,76,77,0,4611.31325301205,0,0,0,0,1.55818563753272,-360,360,0,0,0,0,0,0
57,NPCC_S7:BRANCH_ROW:95,78,79,0,908.848753535103,0,0,0,0,6.4120821037319,-360,360,0,0,0,0,0,0
58,NPCC_S7:BRANCH_ROW:96,78,80,1,984.654731457801,245.578741816921,239.316741838025,0,0,-3.0538567573522,-360,360,0,0,0,0,1.60777467769219e-13,0
59,NPCC_S7:BRANCH_ROW:97,78,81,0,503.818330764024,0,0,0,0,-0.657361582301171,-360,360,0,0,0,0,0,0
60,NPCC_S7:BRANCH_ROW:98,78,82,1,451.473569126203,404.450038734891,415.501009546709,0,0,8.20257405058824,-360,360,0,0,0,0,5.14739050353081e-13,0
61,NPCC_S7:BRANCH_ROW:219,40,41,1,2500,212.149048116852,218.844796261255,0,0,-0.133660427508369,-360,360,0,0,0,0,1.4210854715202e-14,0
62,NPCC_S7:BRANCH_ROW:220,49,48,1,2500,107.935247839719,112.812929702895,0,0,-8.04892536248804,-360,360,0,0,0,0,1.51771994888562e-14,0
63,NPCC_S7:BRANCH_ROW:222,54,52,1,4583.01611665388,336.409958031432,339.465427353622,0,0,3.7410836195382,-360,360,0,0,0,0,5.85928550210846e-14,0
64,NPCC_S7:BRANCH_ROW:223,54,55,1,2500,446.49592976824,450.551259663729,0,0,2.73771866392079,-360,360,0,0,0,0,4.62671908852022e-13,0
65,NPCC_S7:BRANCH_ROW:224,56,57,1,2500,54.1128120756174,53.8490835430521,0,0,3.63782313191243,-360,360,0,0,0,0,7.58859974442808e-15,0
66,NPCC_S7:BRANCH_ROW:225,58,59,1,2500,328.874714928123,327.219475862509,0,0,1.45081228814836,-360,360,0,0,0,0,5.72857867687912e-14,0
67,NPCC_S7:BRANCH_ROW:226,60,61,1,2500,20.0104237220625,19.9734113433155,0,0,0.598769268218835,-360,360,0,0,0,0,1.00172391054809e-13,0
68,NPCC_S7:BRANCH_ROW:227,75,76,1,2500,5.31181023351759,5.31184453978731,0,0,-0.0269152757009223,-360,360,0,0,0,0,1.30606131239838e-15,0
69,NPCC_S7:BRANCH_ROW:234,38,39,1,1216,837.163197292748,808.70237584948,0,0,10.1462341726919,-360,360,0,0,0,0,3.41356444251469e-13,0
70,NPCC_S7:BRANCH_ROW:235,73,9002,0,2432,0,0,0,0,5.27139223969877,-360,360,0,0,0,0,0,0
71,NPCC_S7:BRANCH_ROW:236,9002,74,0,2432,0,0,0,0,4.71735895385273,-360,360,0,0,0,0,0,0
