model_bus,zone,parent_pd_mw,pd_gross_mw,qd_gross_mvar,p_boundary_mw,q_boundary_mvar,pd_effective_mw,qd_effective_mvar,within_zone_allocation_weight,assumed_q_over_p
37,F,0,0,0,60.0864104266649,0,-60.0864104266649,0,0,0.250623624353469
38,F,0,0,0,0,0,0,0,0,0.250623624353469
39,G,0,94.3032033073257,23.634610601024,0,0,94.3032033073257,23.634610601024,0.2,0.250623624353469
40,F,0,0,0,0,0,0,0,0,0.250623624353469
41,F,809.143671,486.070353155475,75.0902420942675,0,0,486.070353155475,75.0902420942675,0.798175598482101,0.154484307892461
42,F,204.597757,122.906360840593,10.2122729248204,0,0,122.906360840593,10.2122729248204,0.201824401517899,0.0830898649587835
43,E,0,0,0,0,0,0,0,0,0.250623624353469
44,E,0,0,0,0,0,0,0,0,0.250623624353469
45,E,295.9154,325.544913781394,18.7021815501447,0,0,325.544913781394,18.7021815501447,1,0.0574488519353842
46,D,26.5861492,16.115337726209,-25.7616042177286,0,0,16.115337726209,-25.7616042177286,0.0303030303168461,-1.59857675063375
47,D,610.325512,369.952100802978,60.615539335832,0,0,369.952100802978,60.615539335832,0.695652174150916,0.163846993176323
48,D,0,0,0,-580.364451439531,0,580.364451439531,0,0,0.250623624353469
49,D,240.431262,145.738706193247,10.3046416870914,0,0,145.738706193247,10.3046416870914,0.274044795532238,0.0707062794521288
50,C,0,0,0,0,0,0,0,0,0.250623624353469
51,C,844.977176,441.447420783904,39.1827820906641,0,0,441.447420783904,39.1827820906641,0.472527472527473,0.0887597939095103
52,B,0,0,0,0,0,0,0,0,0.250623624353469
53,B,1066.91373,518.935038325492,121.597235027965,0,0,518.935038325492,121.597235027965,1,0.234320726194048
54,A,20,9.54490878389458,0,447.342951832467,0,-437.798043048572,0,0.00763005733397711,0
55,A,939,448.133467403851,62.9963979737042,0,0,448.133467403851,62.9963979737042,0.358231191830225,0.140575079872204
56,A,198.818159,94.8850596118425,20.9987993245681,0,0,94.8850596118425,20.9987993245681,0.0758496976102888,0.221307752879856
57,A,277.420687,132.397757609018,-2.86347263516837,0,0,132.397757609018,-2.86347263516837,0.105836787372066,-0.0216278031205366
58,A,97.0972405,46.3392151870187,18.1353266893997,0,0,46.3392151870187,18.1353266893997,0.0370428755992982,0.391360246741513
59,A,814.923268,388.918412946664,94.4945969605564,0,0,388.918412946664,94.4945969605564,0.3108955628816,0.24296766060679
60,A,0,0,0,0,0,0,0,0,0.250623624353469
61,A,273.952928,130.742785442042,3.81796351355783,0,0,130.742785442042,3.81796351355783,0.104513827372545,0.0292020970843575
62,A,0,0,0,0,0,0,0,0,0.250623624353469
63,C,0,0,0,0,0,0,0,0,0.250623624353469
64,C,165.296493,86.3570195409332,13.0609273635547,0,0,86.3570195409332,13.0609273635547,0.0924369749543922,0.151243378164109
65,C,105.188677,54.9544667906167,0,0,0,54.9544667906167,0,0.058823529313079,0
66,C,0,0,0,-7.43653432692008,0,7.43653432692008,0,0,0.250623624353469
67,C,0,0,0,-3.18708614010861,0,3.18708614010861,0,0,0.250623624353469
68,C,243.899021,127.421895892924,21.4199208762297,0,0,127.421895892924,21.4199208762297,0.136393018910436,0.168102355769604
69,C,0,0,0,0,0,0,0,0,0.250623624353469
70,C,0,0,0,0,0,0,0,0,0.250623624353469
71,C,428.846145,224.045133999418,27.689166010736,0,0,224.045133999418,27.689166010736,0.23981900429462,0.123587446495526
72,C,0,0,0,0,0,0,0,0,0.250623624353469
73,G,0,235.758008268314,59.0865265025599,90.1296156399973,0,145.628392628317,59.0865265025599,0.5,0.250623624353469
74,H,117.903792,199.564415372565,0,0,0,199.564415372565,0,1,0
75,G,0,0,0,-5.31181023351435,0,5.31181023351435,0,0,0.250623624353469
76,G,0,141.454804960989,35.451915901536,0,0,141.454804960989,35.451915901536,0.3,0.250623624353469
77,H,0,0,0,0,0,0,0,0,0.250623624353469
78,I,2311.83906,517.087315299078,134.201551720234,0,0,517.087315299078,134.201551720234,1,0.259533637259334
79,J,0,1947.53914607353,488.099319359208,0,0,1947.53914607353,488.099319359208,0.45,0.250623624353469
80,K,809.143671,1215.73692762192,37.5624555685957,544.952383216102,0,670.784544405816,37.5624555685957,1,0.0308968615784922
81,J,0,432.78647690523,108.466515413157,281.919409800965,0,150.867067104264,108.466515413157,0.1,0.250623624353469
82,J,0,1947.53914607353,488.099319359208,0,0,1947.53914607353,488.099319359208,0.45,0.250623624353469
9001,G,0,0,0,0,0,0,0,0,0
9002,G,0,0,0,0,0,0,0,0,0
9003,K,0,0,0,0,0,0,0,0,0
858,G,0,0,0,0,0,0,0,0,0
774,G,0,0,0,0,0,0,0,0,0
9101,F,0,0,0,0,0,0,0,0,0
9102,F,0,0,0,0,0,0,0,0,0
9103,F,0,0,0,0,0,0,0,0,0
9104,G,0,0,0,0,0,0,0,0,0
1220,E,0,0,0,0,0,0,0,0,0
1130,J,0,0,0,0,0,0,0,0,0
557,J,0,0,0,0,0,0,0,0,0
1529,J,0,0,0,0,0,0,0,0,0
1493,J,0,0,0,0,0,0,0,0,0
601,J,0,0,0,0,0,0,0,0,0
1129,J,0,0,0,0,0,0,0,0,0
9111,J,0,0,0,0,0,0,0,0,0
9112,J,0,0,0,0,0,0,0,0,0
9113,J,0,0,0,0,0,0,0,0,0
9114,J,0,0,0,0,0,0,0,0,0
