model_bus,zone,parent_pd_mw,pd_gross_mw,qd_gross_mvar,p_boundary_mw,q_boundary_mvar,pd_effective_mw,qd_effective_mvar,within_zone_allocation_weight,assumed_q_over_p
37,F,0,0,0,-107.897684510807,0,107.897684510807,0,0,0.250623624353469
38,F,0,0,0,0,0,0,0,0,0.250623624353469
39,G,0,162.177043360388,40.6453983939101,0,0,162.177043360388,40.6453983939101,0.2,0.250623624353469
40,F,0,0,0,0,0,0,0,0,0.250623624353469
41,F,809.143671,600.39226864664,92.7511840858605,0,0,600.39226864664,92.7511840858605,0.798175598482101,0.154484307892461
42,F,204.597757,151.813473784489,12.614161035677,0,0,151.813473784489,12.614161035677,0.201824401517899,0.0830898649587835
43,E,0,0,0,0,0,0,0,0,0.250623624353469
44,E,0,0,0,0,0,0,0,0,0.250623624353469
45,E,295.9154,415.391998103143,23.8637933941708,0,0,415.391998103143,23.8637933941708,1,0.0574488519353842
46,D,26.5861492,5.12036453312953,-8.18529569743048,0,0,5.12036453312953,-8.18529569743048,0.0303030303168461,-1.59857675063375
47,D,610.325512,117.545759703663,19.2595192880717,0,0,117.545759703663,19.2595192880717,0.695652174150916,0.163846993176323
48,D,0,0,0,564.565902250178,0,-564.565902250178,0,0,0.250623624353469
49,D,240.431262,46.3059052794443,3.27411827897219,0,0,46.3059052794443,3.27411827897219,0.274044795532238,0.0707062794521288
50,C,0,0,0,0,0,0,0,0,0.250623624353469
51,C,844.977176,406.454697510535,36.0768351845874,0,0,406.454697510535,36.0768351845874,0.472527472527473,0.0887597939095103
52,B,0,0,0,0,0,0,0,0,0.250623624353469
53,B,1066.91373,618.641960022222,144.960633326516,0,0,618.641960022222,144.960633326516,1,0.234320726194048
54,A,20,7.12637273032032,0,-124.720673034239,0,131.84704576456,0,0.00763005733397711,0
55,A,939,334.583199688539,47.0340600201141,0,0,334.583199688539,47.0340600201141,0.358231191830225,0.140575079872204
56,A,198.818159,70.8426153295045,15.6780200067047,0,0,70.8426153295045,15.6780200067047,0.0758496976102888,0.221307752879856
57,A,277.420687,98.8501609331764,-2.1379118190961,0,0,98.8501609331764,-2.1379118190961,0.105836787372066,-0.0216278031205366
58,A,97.0972405,34.5975563444277,13.5401081876086,0,0,34.5975563444277,13.5401081876086,0.0370428755992982,0.391360246741513
59,A,814.923268,290.372347718936,70.5510900301712,0,0,290.372347718936,70.5510900301712,0.3108955628816,0.24296766060679
60,A,0,0,0,0,0,0,0,0,0.250623624353469
61,A,273.952928,97.6145337745303,2.85054909212813,0,0,97.6145337745303,2.85054909212813,0.104513827372545,0.0292020970843575
62,A,0,0,0,0,0,0,0,0,0.250623624353469
63,C,0,0,0,0,0,0,0,0,0.250623624353469
64,C,165.296493,79.5116577940175,12.0256117281958,0,0,79.5116577940175,12.0256117281958,0.0924369749543922,0.151243378164109
65,C,105.188677,50.598327512184,0,0,0,50.598327512184,0,0.058823529313079,0
66,C,0,0,0,-60.5729029478685,0,60.5729029478685,0,0,0.250623624353469
67,C,0,0,0,-25.9598155490865,0,25.9598155490865,0,0,0.250623624353469
68,C,243.899021,117.321397097323,19.7220032342411,0,0,117.321397097323,19.7220032342411,0.136393018910436,0.168102355769604
69,C,0,0,0,0,0,0,0,0,0.250623624353469
70,C,0,0,0,0,0,0,0,0,0.250623624353469
71,C,428.846145,206.285489236142,25.4942968637751,0,0,206.285489236142,25.4942968637751,0.23981900429462,0.123587446495526
72,C,0,0,0,0,0,0,0,0,0.250623624353469
73,G,0,405.44260840097,101.613495984775,-161.846526766211,0,567.289135167181,101.613495984775,0.5,0.250623624353469
74,H,117.903792,230.237430792078,0,0,0,230.237430792078,0,1,0
75,G,0,0,0,-43.2663592484775,0,43.2663592484775,0,0,0.250623624353469
76,G,0,243.265565040582,60.9680975908651,0,0,243.265565040582,60.9680975908651,0.3,0.250623624353469
77,H,0,0,0,0,0,0,0,0,0.250623624353469
78,I,2311.83906,492.648737521584,127.858918740196,0,0,492.648737521584,127.858918740196,1,0.259533637259334
79,J,0,1680.22616423467,421.10437101402,0,0,1680.22616423467,421.10437101402,0.45,0.250623624353469
80,K,809.143671,1885.24240732053,58.2480737008859,324.042905164546,0,1561.19950215599,58.2480737008859,1,0.0308968615784922
81,J,0,373.38359205215,93.5787491142268,69.6468212015581,0,303.736770850592,93.5787491142268,0.1,0.250623624353469
82,J,0,1680.22616423467,421.10437101402,0,0,1680.22616423467,421.10437101402,0.45,0.250623624353469
9001,G,0,0,0,0,0,0,0,0,0
9002,G,0,0,0,0,0,0,0,0,0
9003,K,0,0,0,0,0,0,0,0,0
858,G,0,0,0,0,0,0,0,0,0
774,G,0,0,0,0,0,0,0,0,0
9101,F,0,0,0,0,0,0,0,0,0
9102,F,0,0,0,0,0,0,0,0,0
9103,F,0,0,0,0,0,0,0,0,0
9104,G,0,0,0,0,0,0,0,0,0
1220,E,0,0,0,0,0,0,0,0,0
1130,J,0,0,0,0,0,0,0,0,0
557,J,0,0,0,0,0,0,0,0,0
1529,J,0,0,0,0,0,0,0,0,0
1493,J,0,0,0,0,0,0,0,0,0
601,J,0,0,0,0,0,0,0,0,0
1129,J,0,0,0,0,0,0,0,0,0
9111,J,0,0,0,0,0,0,0,0,0
9112,J,0,0,0,0,0,0,0,0,0
9113,J,0,0,0,0,0,0,0,0,0
9114,J,0,0,0,0,0,0,0,0,0
