branch_row,device_key,from_bus,to_bus,online,rate_a_mva,from_mva,to_mva,from_overload_mva,to_overload_mva,angle_deg,angle_min_deg,angle_max_deg,angle_below_min_deg,angle_above_max_deg,violated,invalid_limit_bounds,stored_terminal_flow_error_mva,stored_terminal_flow_inconsistent
1,NPCC_S7:BRANCH_ROW:33,37,38,1,2500,71.1618454377107,71.1410616483923,0,0,-0.740793287779671,-360,360,0,0,0,0,1.43214466921978e-14,0
2,NPCC_S7:BRANCH_ROW:34,37,39,1,3388,1565.11009097348,1537.46402401202,0,0,7.54925975254346,-360,360,0,0,0,0,2.27373675443232e-13,0
3,NPCC_S7:BRANCH_ROW:35,37,40,1,2500,135.293040994934,135.883382487044,0,0,-2.39884548126465,-360,360,0,0,0,0,1.58882185807825e-14,0
4,NPCC_S7:BRANCH_ROW:36,37,43,0,3745.98196383403,0,0,0,0,-12.1356590274661,-360,360,0,0,0,0,0,0
5,NPCC_S7:BRANCH_ROW:37,38,69,1,1216,389.38978544109,397.669406929693,0,0,-11.4579308612383,-360,360,0,0,0,0,5.6843418860808e-14,0
6,NPCC_S7:BRANCH_ROW:38,39,73,1,2500,995.975907005462,996.335286036871,0,0,12.3111455712178,-360,360,0,0,0,0,2.8421709430404e-14,0
7,NPCC_S7:BRANCH_ROW:39,39,73,1,2500,995.975907005462,996.335286036871,0,0,12.3111455712178,-360,360,0,0,0,0,2.8421709430404e-14,0
8,NPCC_S7:BRANCH_ROW:40,40,44,0,1328.76341358641,0,0,0,0,-10.7872462113961,-360,360,0,0,0,0,0,0
9,NPCC_S7:BRANCH_ROW:41,41,42,1,2500,423.736871705223,432.405588275439,0,0,-1.31966030196682,-360,360,0,0,0,0,5.6843418860808e-14,0
10,NPCC_S7:BRANCH_ROW:42,41,45,1,314.254622579561,55.3016246185681,59.919415135937,0,0,-8.02428130162216,-360,360,0,0,0,0,7.105427357601e-15,0
11,NPCC_S7:BRANCH_ROW:43,43,44,1,2500,280.183026862741,272.579431822377,0,0,-1.05043266519461,-360,360,0,0,0,0,2.8421709430404e-14,0
12,NPCC_S7:BRANCH_ROW:44,43,50,1,3463.47124449306,467.849939366774,480.854625701019,0,0,-6.42512280297546,-360,360,0,0,0,0,5.6843418860808e-14,0
13,NPCC_S7:BRANCH_ROW:45,43,50,1,3463.47124449306,467.849939366774,480.854625701019,0,0,-6.42512280297546,-360,360,0,0,0,0,5.6843418860808e-14,0
14,NPCC_S7:BRANCH_ROW:46,44,45,1,2500,310.284331932167,307.155560542053,0,0,4.05452129131484,-360,360,0,0,0,0,0,0
15,NPCC_S7:BRANCH_ROW:47,44,48,0,6896.14528055676,0,0,0,0,-40.677651736463,-360,360,0,0,0,0,0,0
16,NPCC_S7:BRANCH_ROW:48,45,46,1,2040.85471944324,142.609291529516,145.797554143094,0,0,-36.8692311553419,-360,360,0,0,0,0,7.43740053204729e-14,0
17,NPCC_S7:BRANCH_ROW:49,45,51,1,489.56239109923,78.7090562595879,84.5270437232588,0,0,-7.19582598316823,-360,360,0,0,0,0,1.4210854715202e-14,0
18,NPCC_S7:BRANCH_ROW:50,45,71,1,166.495119914644,28.3902975820741,27.8704998554793,0,0,-8.08662536207613,-360,360,0,0,0,0,2.16103136462856e-14,0
19,NPCC_S7:BRANCH_ROW:51,46,47,1,2500,147.218525259774,160.775990388378,0,0,-11.9252105184337,-360,360,0,0,0,0,1.83128519905436e-13,0
20,NPCC_S7:BRANCH_ROW:52,46,49,1,2500,9.12618554320275,6.96066145095404,0,0,-2.1307564314718,-360,360,0,0,0,0,2.15005230275804e-14,0
21,NPCC_S7:BRANCH_ROW:53,47,48,1,2500,229.155732490982,223.553872309323,0,0,4.06226864599771,-360,360,0,0,0,0,1.4210854715202e-14,0
22,NPCC_S7:BRANCH_ROW:54,50,51,1,2500,210.097302966511,212.452170556402,0,0,2.23338544592746,-360,360,0,0,0,0,1.4210854715202e-14,0
23,NPCC_S7:BRANCH_ROW:55,50,52,1,2858.06690137886,265.324043844434,333.166861796645,0,0,-3.10687797817001,-360,360,0,0,0,0,2.8421709430404e-14,0
24,NPCC_S7:BRANCH_ROW:56,51,53,1,290.964700741948,24.4910758606162,43.2630513028301,0,0,-0.59888193045601,-360,360,0,0,0,0,4.73991124185827e-14,0
25,NPCC_S7:BRANCH_ROW:57,51,72,1,2500,120.503213468371,141.960558255861,0,0,-1.3610609057722,-360,360,0,0,0,0,1.4210854715202e-14,0
26,NPCC_S7:BRANCH_ROW:58,52,53,1,2500,226.420317399017,218.761220512219,0,0,4.74138149364146,-360,360,0,0,0,0,3.17764371615651e-14,0
27,NPCC_S7:BRANCH_ROW:59,53,55,1,997.983883346124,129.465492424763,136.210767319849,0,0,-8.84022997302441,-360,360,0,0,0,0,1.23938289267133e-13,0
28,NPCC_S7:BRANCH_ROW:60,53,65,1,785.968397879188,169.247897419834,186.172800548986,0,0,4.44685047244685,-360,360,0,0,0,0,2.10091278659839e-13,0
29,NPCC_S7:BRANCH_ROW:61,54,56,1,789.941803,133.812252067005,139.300006301006,0,0,-1.00625575868734,-360,360,0,0,0,0,2.8421709430404e-14,0
30,NPCC_S7:BRANCH_ROW:62,54,62,1,789.941803,57.4957190435764,58.076368881085,0,0,2.35626779713644,-360,360,0,0,0,0,7.94410929039127e-15,0
31,NPCC_S7:BRANCH_ROW:65,55,57,1,789.941803,62.9836555556351,62.5005611239726,0,0,0.871740405808513,-360,360,0,0,0,0,3.40542014962516e-13,0
32,NPCC_S7:BRANCH_ROW:66,55,59,1,789.941803,27.6610646761342,30.299344914114,0,0,0.425571023016502,-360,360,0,0,0,0,3.5527136788005e-15,0
33,NPCC_S7:BRANCH_ROW:67,56,58,1,2500,264.787261212004,263.200588903409,0,0,2.33758333727482,-360,360,0,0,0,0,0,0
34,NPCC_S7:BRANCH_ROW:68,57,59,1,2500,63.7974544190646,63.8187850115644,0,0,-0.446169382792011,-360,360,0,0,0,0,1.82757683086259e-13,0
35,NPCC_S7:BRANCH_ROW:69,58,60,1,2500,100.179363135021,113.811754353387,0,0,-1.89668610451896,-360,360,0,0,0,0,7.105427357601e-15,0
36,NPCC_S7:BRANCH_ROW:70,58,62,1,2500,103.077998927359,102.471813550254,0,0,1.02494021854896,-360,360,0,0,0,0,7.105427357601e-15,0
