source_bus,bus_type,vm_pu,vmin_pu,vmax_pu,p_mismatch_mw,q_mismatch_mvar,voltage_below_min_pu,voltage_above_max_pu,violated,invalid_voltage_bounds
37,1,0.940906411371577,0.9,1.1,-2.4114115149132e-09,5.23710762256879e-10,0,0,0,0
38,1,0.94216776191216,0.9,1.1,-5.72174485569121e-09,3.07862069170994e-10,0,0,0,0
39,1,0.923448066528448,0.9,1.1,-5.32122612639796e-09,5.38562971996726e-10,0,0,0,0
40,1,0.961715333644117,0.9,1.1,1.43230630768337e-10,-2.03705553546936e-10,0,0,0,0
41,1,0.98518821878523,0.9,1.1,2.5138717774098e-09,-1.87014848052058e-11,0,0,0,0
42,3,1.01645850115022,0.9,1.1,0,0,0,0,0,0
43,1,0.972159259167789,0.9,1.1,-5.66859625905636e-09,2.47096787475698e-10,0,0,0,0
44,1,0.945776842630212,0.9,1.1,3.24519078276353e-10,-4.60109728095404e-10,0,0,0,0
45,1,0.936240042920648,0.9,1.1,3.11348458126304e-09,-1.67027280895127e-10,0,0,0,0
46,1,0.92718106694638,0.9,1.1,-6.33530561344742e-10,1.4128076486486e-10,0,0,0,0
47,2,1.00981630799408,0.9,1.1,-1.2112195690861e-09,9.9475983006414e-14,0,0,0,0
48,2,0.985130694830276,0.9,1.1,-5.27397148175623e-09,-2.27373675443232e-13,0,0,0,0
49,1,0.962003372044516,0.9,1.1,2.88082446786575e-10,-1.07771569446413e-11,0,0,0,0
50,2,1.03286641527386,0.9,1.1,-2.04886418941896e-09,-1.13686837721616e-13,0,0,0,0
51,2,1.04444325901089,0.9,1.1,4.73363570563379e-10,1.70530256582424e-12,0,0,0,0
52,1,0.999064401036503,0.9,1.1,-6.58110832644709e-10,1.01874383482479e-10,0,0,0,0
53,2,0.965269151866332,0.9,1.1,2.38304664890165e-09,-2.8421709430404e-13,0,0,0,0
54,2,0.980276901646237,0.9,1.1,-2.24929408432217e-10,-2.35900188272353e-12,0,0,0,0
55,2,0.985471866572117,0.9,1.1,-6.80358880345011e-10,5.04485342389671e-13,0,0,0,0
56,2,0.975265794916834,0.9,1.1,-5.9515059547266e-10,7.38964445190504e-13,0,0,0,0
57,2,1.00615514859231,0.9,1.1,7.29212246142197e-10,-4.83169060316868e-13,0,0,0,0
58,1,0.963655807371017,0.9,1.1,1.56806123641218e-10,1.41984202173262e-11,0,0,0,0
59,1,0.961742601555597,0.9,1.1,-1.48929757415317e-10,2.97646352009906e-11,0,0,0,0
