scenario_id,external_region,model_bus,allocation_weight,p_injection_mw,q_injection_mvar,landing_assumption,q_assumption
S5_2025_HIGH_TOTAL_EAST_PUBLIC,HQ,48,1,537.161651627593,0,assumed_aggregate_NY_landing_split_not_observed_terminal_power,assumed_zero_Q_unobserved
S5_2025_HIGH_TOTAL_EAST_PUBLIC,SCH - HQ_CEDARS,48,1,30.7829026720684,0,assumed_aggregate_NY_landing_split_not_observed_terminal_power,assumed_zero_Q_unobserved
S5_2025_HIGH_TOTAL_EAST_PUBLIC,ISONE,37,0.4,-215.130932759151,0,assumed_aggregate_NY_landing_split_not_observed_terminal_power,assumed_zero_Q_unobserved
S5_2025_HIGH_TOTAL_EAST_PUBLIC,ISONE,73,0.6,-322.696399138726,0,assumed_aggregate_NY_landing_split_not_observed_terminal_power,assumed_zero_Q_unobserved
S5_2025_HIGH_TOTAL_EAST_PUBLIC,SCH - NPX_1385,80,1,16.9305964696376,0,assumed_aggregate_NY_landing_split_not_observed_terminal_power,assumed_zero_Q_unobserved
S5_2025_HIGH_TOTAL_EAST_PUBLIC,SCH - NPX_CSC,80,1,126.979473522282,0,assumed_aggregate_NY_landing_split_not_observed_terminal_power,assumed_zero_Q_unobserved
S5_2025_HIGH_TOTAL_EAST_PUBLIC,ONTARIO,54,1,367.193854523768,0,assumed_aggregate_NY_landing_split_not_observed_terminal_power,assumed_zero_Q_unobserved
S5_2025_HIGH_TOTAL_EAST_PUBLIC,PJM,66,0.35,18.7360137113544,0,assumed_aggregate_NY_landing_split_not_observed_terminal_power,assumed_zero_Q_unobserved
S5_2025_HIGH_TOTAL_EAST_PUBLIC,PJM,67,0.15,8.02972016200904,0,assumed_aggregate_NY_landing_split_not_observed_terminal_power,assumed_zero_Q_unobserved
S5_2025_HIGH_TOTAL_EAST_PUBLIC,PJM,75,0.25,13.3828669366817,0,assumed_aggregate_NY_landing_split_not_observed_terminal_power,assumed_zero_Q_unobserved
S5_2025_HIGH_TOTAL_EAST_PUBLIC,PJM,81,0.25,13.3828669366817,0,assumed_aggregate_NY_landing_split_not_observed_terminal_power,assumed_zero_Q_unobserved
S5_2025_HIGH_TOTAL_EAST_PUBLIC,SCH - PJM_HTP,81,1,253.958947044564,0,assumed_aggregate_NY_landing_split_not_observed_terminal_power,assumed_zero_Q_unobserved
S5_2025_HIGH_TOTAL_EAST_PUBLIC,SCH - PJM_NEPTUNE,80,1,253.958947044564,0,assumed_aggregate_NY_landing_split_not_observed_terminal_power,assumed_zero_Q_unobserved
S5_2025_HIGH_TOTAL_EAST_PUBLIC,SCH - PJM_VFT,81,1,121.207679271269,0,assumed_aggregate_NY_landing_split_not_observed_terminal_power,assumed_zero_Q_unobserved
