scenario_id,external_region,model_bus,allocation_weight,p_injection_mw,q_injection_mvar,landing_assumption,q_assumption
S6_2019_LOW_TOTAL_EAST_PUBLIC,HQ,48,1,0,0,assumed_aggregate_NY_landing_split_not_observed_terminal_power,assumed_zero_Q_unobserved
S6_2019_LOW_TOTAL_EAST_PUBLIC,SCH - HQ_CEDARS,48,1,122.314573300168,0,assumed_aggregate_NY_landing_split_not_observed_terminal_power,assumed_zero_Q_unobserved
S6_2019_LOW_TOTAL_EAST_PUBLIC,ISONE,37,0.4,-22.6423588005974,0,assumed_aggregate_NY_landing_split_not_observed_terminal_power,assumed_zero_Q_unobserved
S6_2019_LOW_TOTAL_EAST_PUBLIC,ISONE,73,0.6,-33.963538200896,0,assumed_aggregate_NY_landing_split_not_observed_terminal_power,assumed_zero_Q_unobserved
S6_2019_LOW_TOTAL_EAST_PUBLIC,SCH - NPX_1385,80,1,40.5569374626872,0,assumed_aggregate_NY_landing_split_not_observed_terminal_power,assumed_zero_Q_unobserved
S6_2019_LOW_TOTAL_EAST_PUBLIC,SCH - NPX_CSC,80,1,101.070463200665,0,assumed_aggregate_NY_landing_split_not_observed_terminal_power,assumed_zero_Q_unobserved
S6_2019_LOW_TOTAL_EAST_PUBLIC,ONTARIO,54,1,544.44147858641,0,assumed_aggregate_NY_landing_split_not_observed_terminal_power,assumed_zero_Q_unobserved
S6_2019_LOW_TOTAL_EAST_PUBLIC,PJM,66,0.35,17.0226479183668,0,assumed_aggregate_NY_landing_split_not_observed_terminal_power,assumed_zero_Q_unobserved
S6_2019_LOW_TOTAL_EAST_PUBLIC,PJM,67,0.15,7.2954205364429,0,assumed_aggregate_NY_landing_split_not_observed_terminal_power,assumed_zero_Q_unobserved
S6_2019_LOW_TOTAL_EAST_PUBLIC,PJM,75,0.25,12.1590342274048,0,assumed_aggregate_NY_landing_split_not_observed_terminal_power,assumed_zero_Q_unobserved
S6_2019_LOW_TOTAL_EAST_PUBLIC,PJM,81,0.25,12.1590342274048,0,assumed_aggregate_NY_landing_split_not_observed_terminal_power,assumed_zero_Q_unobserved
S6_2019_LOW_TOTAL_EAST_PUBLIC,SCH - PJM_HTP,81,1,64.3760912106146,0,assumed_aggregate_NY_landing_split_not_observed_terminal_power,assumed_zero_Q_unobserved
S6_2019_LOW_TOTAL_EAST_PUBLIC,SCH - PJM_NEPTUNE,80,1,424.882201990056,0,assumed_aggregate_NY_landing_split_not_observed_terminal_power,assumed_zero_Q_unobserved
S6_2019_LOW_TOTAL_EAST_PUBLIC,SCH - PJM_VFT,81,1,202.784687313436,0,assumed_aggregate_NY_landing_split_not_observed_terminal_power,assumed_zero_Q_unobserved
