source_bus,bus_type,vm_pu,vmin_pu,vmax_pu,p_mismatch_mw,q_mismatch_mvar,voltage_below_min_pu,voltage_above_max_pu,violated,invalid_voltage_bounds
37,1,1.080256818683,0.9,1.1,5.96855898038484e-13,8.7133425474839e-12,0,0,0,0
38,1,1.09124717074767,0.9,1.1,1.4210854715202e-13,2.46642983814382e-12,0,0,0,0
39,1,1.08298063199192,0.9,1.1,-1.4210854715202e-12,-4.72510919280467e-12,0,0,0,0
40,1,1.02269243279643,0.9,1.1,0,0,0,0,0,0
41,1,0.977503678667823,0.9,1.1,-2.27373675443232e-13,-2.55795384873636e-13,0,0,0,0
42,3,0.965789179290726,0.9,1.1,0,0,0,0,0,0
43,1,1.07826447162907,0.9,1.1,4.54747350886464e-13,1.64368518795754e-11,0,0,0,0
44,1,1.05511186258997,0.9,1.1,-8.5265128291212e-14,-8.38912272982384e-12,0,0,0,0
45,1,1.02426678843595,0.9,1.1,0,1.29674049276218e-12,0,0,0,0
46,1,0.924923961277271,0.9,1.1,-8.88178419700125e-16,-1.24344978758018e-13,0,0,0,0
47,2,0.900000024998878,0.9,1.1,3.41060513164848e-13,4.54747350886464e-13,0,0,0,0
48,2,1.09999999130335,0.9,1.1,-1.01633839260681e-12,-5.6843418860808e-13,0,0,0,0
49,1,1.05805094883869,0.9,1.1,1.20792265079217e-13,-1.65201186064223e-13,0,0,0,0
50,2,1.08353710448407,0.9,1.1,3.41060513164848e-13,6.82121026329696e-13,0,0,0,0
51,2,0.918168207439806,0.9,1.1,1.4210854715202e-13,0,0,0,0,0
52,1,1.03289042680805,0.9,1.1,4.26920811299883e-14,-7.32670027334278e-13,0,0,0,0
53,2,1.05672824386153,0.9,1.1,5.6843418860808e-14,-5.6843418860808e-13,0,0,0,0
54,2,0.958664077490882,0.9,1.1,-7.38964445190504e-13,3.41060513164848e-13,0,0,0,0
55,2,1.03013966479302,0.9,1.1,5.6843418860808e-14,-3.41060513164848e-13,0,0,0,0
56,2,0.980887795132372,0.9,1.1,-1.13686837721616e-12,-7.105427357601e-14,0,0,0,0
57,2,1.01400315623536,0.9,1.1,-2.04281036531029e-13,-2.77111666946439e-13,0,0,0,0
58,1,0.979831807451427,0.9,1.1,4.54747350886464e-13,-2.96651592179842e-13,0,0,0,0
59,1,0.9824221197557,0.9,1.1,-2.27373675443232e-13,3.18323145620525e-12,0,0,0,0
60,2,0.975167209953108,0.9,1.1,-2.8421709430404e-14,1.84741111297626e-13,0,0,0,0
61,2,1.00202647770961,0.9,1.1,-1.70530256582424e-13,-1.84741111297626e-13,0,0,0,0
62,1,0.982028078226014,0.9,1.1,-1.53273013872356e-14,-1.74654421919244e-12,0,0,0,0
63,1,1.00660782700107,0.9,1.1,-4.48171284726235e-14,3.57604575787835e-13,0,0,0,0
64,1,0.979207150917376,0.9,1.1,1.4210854715202e-14,1.3855583347322e-13,0,0,0,0
65,2,0.900000008407512,0.9,1.1,-1.22568621918617e-13,0,0,0,0,0
66,1,1.09433638656384,0.9,1.1,-1.56319401867222e-13,-5.45310324673309e-13,0,0,0,0
67,1,1.08643273078913,0.9,1.1,-7.105427357601e-15,4.96109230085917e-13,0,0,0,0
68,2,1.099999991252,0.9,1.1,1.4210854715202e-13,4.2632564145606e-13,0,0,0,0
69,1,1.09999997303817,0.9,1.1,1.29676424799681e-13,1.17438151203919e-12,0,0,0,0
70,1,1.0915155461876,0.9,1.1,0,0,0,0,0,0
71,2,1.09095819600908,0.9,1.1,-5.6843418860808e-13,-2.1600499167107e-12,0,0,0,0
72,2,0.964778230777467,0.9,1.1,-1.13686837721616e-13,2.8421709430404e-12,0,0,0,0
73,1,1.08222377872318,0.9,1.1,9.66338120633736e-12,4.88000750920037e-11,0,0,0,0
74,1,1.08474196684188,0.9,1.1,-1.06012976175407e-11,-5.95079541199084e-11,0,0,0,0
75,1,1.08425956838012,0.9,1.1,1.62003743753303e-12,1.07067132937289e-12,0,0,0,0
76,1,1.08427805950143,0.9,1.1,-1.13686837721616e-12,-7.73070496506989e-12,0,0,0,0
77,1,1.08490555720117,0.9,1.1,-1.74119206783649e-12,1.30570780163445e-11,0,0,0,0
78,2,1.08424455923506,0.9,1.1,7.105427357601e-12,4.16093826061115e-11,0,0,0,0
79,2,1.09999999813146,0.9,1.1,6.13908923696727e-12,1.48929757415317e-11,0,0,0,0
80,2,0.900000001117679,0.9,1.1,4.54747350886464e-13,1.13686837721616e-13,0,0,0,0
81,1,1.0445207151333,0.9,1.1,-3.06954461848363e-12,4.68958205601666e-13,0,0,0,0
82,2,1.09999999785088,0.9,1.1,1.59161572810262e-12,-6.82121026329696e-13,0,0,0,0
9001,1,1.08552808574322,0.9,1.1,1.72281186712124e-13,3.08647193120932e-12,0,0,0,0
9002,1,1.08396962017858,0.9,1.1,4.82985779207778e-12,3.04492477646034e-11,0,0,0,0
9003,1,0.992248146395357,0.9,1.1,-7.95807864051312e-13,-1.08801856413265e-12,0,0,0,0
858,1,1.08326263490824,0.9,1.1,-9.32826629738761e-12,-3.58811303778302e-11,0,0,0,0
774,1,1.08468106770333,0.9,1.1,-3.00960389774393e-12,6.68013784445835e-13,0,0,0,0
9101,1,1.08034558006234,0.9,1.1,5.26809086766596e-13,-2.45585648522295e-11,0,0,0,0
9102,1,1.07903002623895,0.9,1.1,1.3762201304598e-13,-5.36511382784654e-12,0,0,0,0
9103,1,1.05343869007138,0.9,1.1,-4.26232602122939e-13,1.48306502548253e-12,0,0,0,0
