scenario_id,external_region,model_bus,allocation_weight,p_injection_mw,q_injection_mvar,landing_assumption,q_assumption
S3_2019_SHOULDER_LIGHT_LOAD_PUBLIC,HQ,48,1,74.9604051047409,0,assumed_aggregate_NY_landing_split_not_observed_terminal_power,assumed_zero_Q_unobserved
S3_2019_SHOULDER_LIGHT_LOAD_PUBLIC,SCH - HQ_CEDARS,48,1,53.7993338072303,0,assumed_aggregate_NY_landing_split_not_observed_terminal_power,assumed_zero_Q_unobserved
S3_2019_SHOULDER_LIGHT_LOAD_PUBLIC,ISONE,37,0.4,-86.0631529536518,0,assumed_aggregate_NY_landing_split_not_observed_terminal_power,assumed_zero_Q_unobserved
S3_2019_SHOULDER_LIGHT_LOAD_PUBLIC,ISONE,73,0.6,-129.094729430478,0,assumed_aggregate_NY_landing_split_not_observed_terminal_power,assumed_zero_Q_unobserved
S3_2019_SHOULDER_LIGHT_LOAD_PUBLIC,SCH - NPX_1385,80,1,-24.0303691005629,0,assumed_aggregate_NY_landing_split_not_observed_terminal_power,assumed_zero_Q_unobserved
S3_2019_SHOULDER_LIGHT_LOAD_PUBLIC,SCH - NPX_CSC,80,1,0,0,assumed_aggregate_NY_landing_split_not_observed_terminal_power,assumed_zero_Q_unobserved
S3_2019_SHOULDER_LIGHT_LOAD_PUBLIC,ONTARIO,54,1,518.460593278025,0,assumed_aggregate_NY_landing_split_not_observed_terminal_power,assumed_zero_Q_unobserved
S3_2019_SHOULDER_LIGHT_LOAD_PUBLIC,PJM,66,0.35,-15.5169831877941,0,assumed_aggregate_NY_landing_split_not_observed_terminal_power,assumed_zero_Q_unobserved
S3_2019_SHOULDER_LIGHT_LOAD_PUBLIC,PJM,67,0.15,-6.65013565191174,0,assumed_aggregate_NY_landing_split_not_observed_terminal_power,assumed_zero_Q_unobserved
S3_2019_SHOULDER_LIGHT_LOAD_PUBLIC,PJM,75,0.25,-11.0835594198529,0,assumed_aggregate_NY_landing_split_not_observed_terminal_power,assumed_zero_Q_unobserved
S3_2019_SHOULDER_LIGHT_LOAD_PUBLIC,PJM,81,0.25,-11.0835594198529,0,assumed_aggregate_NY_landing_split_not_observed_terminal_power,assumed_zero_Q_unobserved
S3_2019_SHOULDER_LIGHT_LOAD_PUBLIC,SCH - PJM_HTP,81,1,0,0,assumed_aggregate_NY_landing_split_not_observed_terminal_power,assumed_zero_Q_unobserved
S3_2019_SHOULDER_LIGHT_LOAD_PUBLIC,SCH - PJM_NEPTUNE,80,1,151.71412133639,0,assumed_aggregate_NY_landing_split_not_observed_terminal_power,assumed_zero_Q_unobserved
S3_2019_SHOULDER_LIGHT_LOAD_PUBLIC,SCH - PJM_VFT,81,1,33.3555869604828,0,assumed_aggregate_NY_landing_split_not_observed_terminal_power,assumed_zero_Q_unobserved
