model_gen_row,full_gen_row,generator_key
1,10,NPCC_S7:GEN_ROW:10:BUS:42
2,11,NPCC_S7:GEN_ROW:11:BUS:47
3,12,NPCC_S7:GEN_ROW:12:BUS:48
4,13,NPCC_S7:GEN_ROW:13:BUS:50
5,14,NPCC_S7:GEN_ROW:14:BUS:51
6,15,NPCC_S7:GEN_ROW:15:BUS:53
7,16,NPCC_S7:GEN_ROW:16:BUS:54
8,17,NPCC_S7:GEN_ROW:17:BUS:54
9,18,NPCC_S7:GEN_ROW:18:BUS:55
10,19,NPCC_S7:GEN_ROW:19:BUS:56
11,20,NPCC_S7:GEN_ROW:20:BUS:57
12,21,NPCC_S7:GEN_ROW:21:BUS:60
13,22,NPCC_S7:GEN_ROW:22:BUS:61
14,23,NPCC_S7:GEN_ROW:23:BUS:65
15,24,NPCC_S7:GEN_ROW:24:BUS:68
16,25,NPCC_S7:GEN_ROW:25:BUS:71
17,26,NPCC_S7:GEN_ROW:26:BUS:72
18,27,NPCC_S7:GEN_ROW:27:BUS:78
19,28,NPCC_S7:GEN_ROW:28:BUS:79
20,29,NPCC_S7:GEN_ROW:29:BUS:80
21,30,NPCC_S7:GEN_ROW:30:BUS:82
22,49,NPCC_S7:GEN_ROW:49:BUS:79
23,50,NPCC_S7:GEN_ROW:50:BUS:82
24,51,NPCC_S7:GEN_ROW:51:BUS:81
25,52,NPCC_S7:GEN_ROW:52:BUS:43
26,53,NPCC_S7:GEN_ROW:53:BUS:44
27,54,NPCC_S7:GEN_ROW:54:BUS:38
28,55,NPCC_S7:GEN_ROW:55:BUS:42
29,56,NPCC_S7:GEN_ROW:56:BUS:41
30,57,NPCC_S7:GEN_ROW:57:BUS:37
31,58,NPCC_S7:GEN_ROW:58:BUS:73
32,59,NPCC_S7:GEN_ROW:59:BUS:76
33,60,NPCC_S7:GEN_ROW:60:BUS:39
34,61,NPCC_S7:GEN_ROW:61:BUS:80
35,62,NPCC_S7:GEN_ROW:62:BUS:9003
