source_bus,bus_type,vm_pu,vmin_pu,vmax_pu,p_mismatch_mw,q_mismatch_mvar,voltage_below_min_pu,voltage_above_max_pu,violated,invalid_voltage_bounds
37,1,1.09611160920952,0.9,1.1,4.67522909275431e-10,2.62151411689615e-12,0,0,0,0
38,1,1.0974386459195,0.9,1.1,4.33885816164548e-10,-3.80376286024386e-11,0,0,0,0
39,1,1.09096641181436,0.9,1.1,1.3855583347322e-11,-5.91349191836343e-12,0,0,0,0
40,1,1.06405129849117,0.9,1.1,1.13023273518564e-09,7.40370399378339e-11,0,0,0,0
41,1,1.03116916131792,0.9,1.1,6.96977053848968e-09,-1.17134746346892e-09,0,0,0,0
42,3,1.01687494222621,0.9,1.1,-5.6843418860808e-14,-2.8421709430404e-14,0,0,0,0
43,1,1.09851384916518,0.9,1.1,9.97559368443035e-10,-4.5053197283984e-11,0,0,0,0
44,1,1.09527667725611,0.9,1.1,8.3574036580103e-11,-9.51114187408564e-12,0,0,0,0
45,1,1.08397782487437,0.9,1.1,4.19134948970168e-10,-1.29827704142826e-10,0,0,0,0
46,1,1.08757167315951,0.9,1.1,7.37623295776757e-11,-4.03943545279617e-11,0,0,0,0
47,2,1.07716126672007,0.9,1.1,-1.33411504066316e-10,-1.4352963262354e-12,0,0,0,0
48,2,1.05978222694311,0.9,1.1,2.60065746715554e-10,1.4495071809506e-12,0,0,0,0
49,1,1.05428265167865,0.9,1.1,5.89750470680883e-12,1.72617475868719e-12,0,0,0,0
50,2,1.08316659096371,0.9,1.1,8.14964096207405e-10,-7.24753590475302e-13,0,0,0,0
51,2,1.02492956157589,0.9,1.1,6.82803147356026e-10,0,0,0,0,0
52,1,1.08056405183524,0.9,1.1,1.06801007321413e-09,-1.14026930450015e-11,0,0,0,0
53,2,1.05606898977439,0.9,1.1,-4.49148274128675e-10,3.41060513164848e-13,0,0,0,0
54,2,1.07680871656445,0.9,1.1,-3.56840246240608e-09,-2.40163444686914e-12,0,0,0,0
55,2,1.05900657946159,0.9,1.1,1.57059787397884e-09,5.96855898038484e-13,0,0,0,0
56,2,1.07553292288359,0.9,1.1,-1.82444637175649e-09,3.64508423444931e-12,0,0,0,0
57,2,1.06028595065286,0.9,1.1,4.03183264552354e-10,7.105427357601e-15,0,0,0,0
58,1,1.07062125439641,0.9,1.1,5.07682784700592e-12,-1.32621025272783e-10,0,0,0,0
59,1,1.06610131072727,0.9,1.1,2.72356714958732e-09,7.23403559277358e-11,0,0,0,0
60,2,1.07017792656953,0.9,1.1,-9.70686642176588e-10,0,0,0,0,0
61,2,1.06844455569046,0.9,1.1,-2.32262209465262e-10,-9.14823772291129e-14,0,0,0,0
62,1,1.07395679667977,0.9,1.1,-1.80420466359462e-11,1.45377717219418e-11,0,0,0,0
63,1,1.07144513099322,0.9,1.1,-3.10629836799055e-12,-3.66318178803062e-11,0,0,0,0
64,1,1.06476527218905,0.9,1.1,6.60492105453159e-10,-1.06965991619745e-10,0,0,0,0
65,2,1.05563063730066,0.9,1.1,-1.48385304044041e-10,-1.86517468137026e-13,0,0,0,0
66,1,1.07627553306327,0.9,1.1,5.74975622669172e-11,1.93579676485527e-11,0,0,0,0
67,1,1.06955008632454,0.9,1.1,3.10123926539063e-10,-1.68134495041883e-11,0,0,0,0
68,2,1.05639968411183,0.9,1.1,-5.84776671530562e-10,-2.41584530158434e-13,0,0,0,0
69,1,1.07952366878507,0.9,1.1,6.5664789936077e-10,2.46675069782949e-12,0,0,0,0
70,1,1.05943944304881,0.9,1.1,3.15481596121688e-11,-4.31527907965241e-12,0,0,0,0
71,2,1.04774440510092,0.9,1.1,-4.16520151702571e-10,1.91846538655227e-12,0,0,0,0
72,2,1.03729224782904,0.9,1.1,-5.33617594555835e-10,-1.49213974509621e-12,0,0,0,0
73,1,1.08048644981066,0.9,1.1,-3.06954461848363e-12,1.81685777533858e-11,0,0,0,0
74,1,1.06895266647425,0.9,1.1,5.15854026161833e-12,1.51628709588181e-11,0,0,0,0
75,1,1.06996389154463,0.9,1.1,-3.00581781687015e-12,-2.37795894086901e-12,0,0,0,0
76,1,1.06996569527219,0.9,1.1,1.32303057398531e-11,1.01714192624058e-11,0,0,0,0
77,1,1.06936019842034,0.9,1.1,-3.03027750086871e-12,-2.29146495014048e-12,0,0,0,0
78,2,1.06324450497854,0.9,1.1,5.40012479177676e-12,1.92699189938139e-11,0,0,0,0
79,2,1.06126456312487,0.9,1.1,3.41060513164848e-12,4.83169060316868e-13,0,0,0,0
80,2,0.900000002956459,0.9,1.1,-1.56319401867222e-12,-1.13686837721616e-13,0,0,0,0
