scenario_id,external_region,model_bus,allocation_weight,p_injection_mw,q_injection_mvar,landing_assumption,q_assumption
S3_2025_SHOULDER_LIGHT_LOAD_EXACT,HQ,48,1,-174.321743452056,0,assumed_aggregate_NY_landing_split_not_observed_terminal_power,assumed_zero_Q_unobserved
S3_2025_SHOULDER_LIGHT_LOAD_EXACT,SCH - HQ_CEDARS,48,1,-35.5758660106238,0,assumed_aggregate_NY_landing_split_not_observed_terminal_power,assumed_zero_Q_unobserved
S3_2025_SHOULDER_LIGHT_LOAD_EXACT,ISONE,37,0.4,21.7311619939294,0,assumed_aggregate_NY_landing_split_not_observed_terminal_power,assumed_zero_Q_unobserved
S3_2025_SHOULDER_LIGHT_LOAD_EXACT,ISONE,73,0.6,32.5967429908941,0,assumed_aggregate_NY_landing_split_not_observed_terminal_power,assumed_zero_Q_unobserved
S3_2025_SHOULDER_LIGHT_LOAD_EXACT,SCH - NPX_1385,80,1,28.1049341483928,0,assumed_aggregate_NY_landing_split_not_observed_terminal_power,assumed_zero_Q_unobserved
S3_2025_SHOULDER_LIGHT_LOAD_EXACT,SCH - NPX_CSC,80,1,0,0,assumed_aggregate_NY_landing_split_not_observed_terminal_power,assumed_zero_Q_unobserved
S3_2025_SHOULDER_LIGHT_LOAD_EXACT,ONTARIO,54,1,161.788365856514,0,assumed_aggregate_NY_landing_split_not_observed_terminal_power,assumed_zero_Q_unobserved
S3_2025_SHOULDER_LIGHT_LOAD_EXACT,PJM,66,0.35,-2.68953547040316,0,assumed_aggregate_NY_landing_split_not_observed_terminal_power,assumed_zero_Q_unobserved
S3_2025_SHOULDER_LIGHT_LOAD_EXACT,PJM,67,0.15,-1.15265805874421,0,assumed_aggregate_NY_landing_split_not_observed_terminal_power,assumed_zero_Q_unobserved
S3_2025_SHOULDER_LIGHT_LOAD_EXACT,PJM,75,0.25,-1.92109676457368,0,assumed_aggregate_NY_landing_split_not_observed_terminal_power,assumed_zero_Q_unobserved
S3_2025_SHOULDER_LIGHT_LOAD_EXACT,PJM,81,0.25,-1.92109676457368,0,assumed_aggregate_NY_landing_split_not_observed_terminal_power,assumed_zero_Q_unobserved
S3_2025_SHOULDER_LIGHT_LOAD_EXACT,SCH - PJM_HTP,81,1,29.1722101287115,0,assumed_aggregate_NY_landing_split_not_observed_terminal_power,assumed_zero_Q_unobserved
S3_2025_SHOULDER_LIGHT_LOAD_EXACT,SCH - PJM_NEPTUNE,80,1,168.985363550463,0,assumed_aggregate_NY_landing_split_not_observed_terminal_power,assumed_zero_Q_unobserved
S3_2025_SHOULDER_LIGHT_LOAD_EXACT,SCH - PJM_VFT,81,1,74.7093186223099,0,assumed_aggregate_NY_landing_split_not_observed_terminal_power,assumed_zero_Q_unobserved
