scenario_id,external_region,model_bus,allocation_weight,p_injection_mw,q_injection_mvar,landing_assumption,q_assumption
S5_2019_HIGH_TOTAL_EAST_PUBLIC,HQ,48,1,505.355075562584,0,assumed_aggregate_NY_landing_split_not_observed_terminal_power,assumed_zero_Q_unobserved
S5_2019_HIGH_TOTAL_EAST_PUBLIC,SCH - HQ_CEDARS,48,1,68.1458228224918,0,assumed_aggregate_NY_landing_split_not_observed_terminal_power,assumed_zero_Q_unobserved
S5_2019_HIGH_TOTAL_EAST_PUBLIC,ISONE,37,0.4,-200.934055849948,0,assumed_aggregate_NY_landing_split_not_observed_terminal_power,assumed_zero_Q_unobserved
S5_2019_HIGH_TOTAL_EAST_PUBLIC,ISONE,73,0.6,-301.401083774923,0,assumed_aggregate_NY_landing_split_not_observed_terminal_power,assumed_zero_Q_unobserved
S5_2019_HIGH_TOTAL_EAST_PUBLIC,SCH - NPX_1385,80,1,17.5744490436952,0,assumed_aggregate_NY_landing_split_not_observed_terminal_power,assumed_zero_Q_unobserved
S5_2019_HIGH_TOTAL_EAST_PUBLIC,SCH - NPX_CSC,80,1,118.358534375907,0,assumed_aggregate_NY_landing_split_not_observed_terminal_power,assumed_zero_Q_unobserved
S5_2019_HIGH_TOTAL_EAST_PUBLIC,ONTARIO,54,1,292.930199335862,0,assumed_aggregate_NY_landing_split_not_observed_terminal_power,assumed_zero_Q_unobserved
S5_2019_HIGH_TOTAL_EAST_PUBLIC,PJM,66,0.35,208.308689197131,0,assumed_aggregate_NY_landing_split_not_observed_terminal_power,assumed_zero_Q_unobserved
S5_2019_HIGH_TOTAL_EAST_PUBLIC,PJM,67,0.15,89.2751525130561,0,assumed_aggregate_NY_landing_split_not_observed_terminal_power,assumed_zero_Q_unobserved
S5_2019_HIGH_TOTAL_EAST_PUBLIC,PJM,75,0.25,148.791920855094,0,assumed_aggregate_NY_landing_split_not_observed_terminal_power,assumed_zero_Q_unobserved
S5_2019_HIGH_TOTAL_EAST_PUBLIC,PJM,81,0.25,148.791920855094,0,assumed_aggregate_NY_landing_split_not_observed_terminal_power,assumed_zero_Q_unobserved
S5_2019_HIGH_TOTAL_EAST_PUBLIC,SCH - PJM_HTP,81,1,88.5895696692393,0,assumed_aggregate_NY_landing_split_not_observed_terminal_power,assumed_zero_Q_unobserved
S5_2019_HIGH_TOTAL_EAST_PUBLIC,SCH - PJM_NEPTUNE,80,1,236.717068751814,0,assumed_aggregate_NY_landing_split_not_observed_terminal_power,assumed_zero_Q_unobserved
S5_2019_HIGH_TOTAL_EAST_PUBLIC,SCH - PJM_VFT,81,1,112.978600995184,0,assumed_aggregate_NY_landing_split_not_observed_terminal_power,assumed_zero_Q_unobserved
