source_bus,bus_type,vm_pu,vmin_pu,vmax_pu,p_mismatch_mw,q_mismatch_mvar,voltage_below_min_pu,voltage_above_max_pu,violated,invalid_voltage_bounds
37,1,0.988965268983053,0.9,1.1,-1.98951966012828e-13,5.31866217734489e-12,0,0,0,0
38,1,0.988519970553946,0.9,1.1,1.70530256582424e-13,2.19269047363468e-13,0,0,0,0
39,1,0.975236361931347,0.9,1.1,3.41060513164848e-13,-1.62003743753303e-12,0,0,0,0
40,1,1.00180672652064,0.9,1.1,-5.05492722226537e-14,-2.13488111275714e-12,0,0,0,0
41,1,1.01619724290093,0.9,1.1,2.8421709430404e-13,4.2632564145606e-14,0,0,0,0
42,3,1.04169770062869,0.9,1.1,3.41060513164848e-13,2.8421709430404e-14,0,0,0,0
43,1,1.01066399482448,0.9,1.1,5.6843418860808e-14,4.47419878923938e-12,0,0,0,0
44,1,0.991313813210693,0.9,1.1,1.98951966012828e-13,-1.46271883494364e-12,0,0,0,0
45,1,0.978702494205069,0.9,1.1,-5.6843418860808e-14,1.08357767203415e-12,0,0,0,0
46,1,0.976207641771517,0.9,1.1,-1.55431223447522e-13,-7.28306304154103e-14,0,0,0,0
47,2,1.03596713396362,0.9,1.1,-1.13686837721616e-13,4.01456645704457e-13,0,0,0,0
48,2,1.03651739939739,0.9,1.1,-8.88178419700125e-14,5.40012479177676e-13,0,0,0,0
49,1,1.0155852267726,0.9,1.1,3.5527136788005e-14,-9.32587340685131e-15,0,0,0,0
50,2,1.04830380383576,0.9,1.1,1.36424205265939e-12,1.02318153949454e-12,0,0,0,0
51,2,1.02731379113631,0.9,1.1,-1.70530256582424e-13,7.17648163117701e-13,0,0,0,0
52,1,1.0225761074042,0.9,1.1,-1.0536480028982e-12,-2.78667656368842e-13,0,0,0,0
53,2,1.00064878567896,0.9,1.1,4.54747350886464e-13,1.13686837721616e-13,0,0,0,0
54,2,1.00227600083838,0.9,1.1,-3.41060513164848e-13,-1.23634436022257e-12,0,0,0,0
55,2,1.00211505849849,0.9,1.1,-9.66338120633736e-13,-5.22248910783674e-13,0,0,0,0
56,2,1.00624567866996,0.9,1.1,-3.41060513164848e-13,-8.95283847057726e-13,0,0,0,0
57,2,1.001281498614,0.9,1.1,3.37507799486048e-13,1.4486190025309e-12,0,0,0,0
58,1,0.998778015465921,0.9,1.1,3.16191517413245e-13,1.73017156157584e-12,0,0,0,0
59,1,0.994350971203885,0.9,1.1,5.6843418860808e-13,9.02389274415327e-13,0,0,0,0
60,2,1.0023080677951,0.9,1.1,4.90274487674469e-13,2.27373675443232e-13,0,0,0,0
61,2,1.00146519763526,0.9,1.1,-3.26849658449646e-13,-6.03961325396085e-14,0,0,0,0
62,1,1.00126087695452,0.9,1.1,-5.11659855429484e-13,-7.27362127673577e-13,0,0,0,0
63,1,1.00054741375154,0.9,1.1,3.35920378530113e-13,9.80399530027319e-13,0,0,0,0
64,1,0.999599291193759,0.9,1.1,-2.8421709430404e-14,1.33226762955019e-13,0,0,0,0
65,2,0.999207644601327,0.9,1.1,1.24344978758018e-14,-1.4210854715202e-14,0,0,0,0
66,1,1.01112887135398,0.9,1.1,3.97903932025656e-13,-1.53557722093467e-12,0,0,0,0
67,1,1.00810498028597,0.9,1.1,-1.03916875104915e-13,-7.8912570922185e-13,0,0,0,0
68,2,1.00055700440119,0.9,1.1,1.70530256582424e-13,3.23296944770846e-13,0,0,0,0
69,1,1.00965962743185,0.9,1.1,-1.57521643594242e-13,-1.09798645233001e-12,0,0,0,0
70,1,1.01201467497863,0.9,1.1,8.84888848556903e-14,1.57804688322133e-14,0,0,0,0
71,2,1.01130147665038,0.9,1.1,-1.19371179607697e-12,1.03739239420975e-12,0,0,0,0
72,2,1.01493444014578,0.9,1.1,-8.95283847057726e-13,5.6843418860808e-13,0,0,0,0
73,1,0.976884270393297,0.9,1.1,7.27595761418343e-12,2.8208546609676e-11,0,0,0,0
74,1,0.999751168466836,0.9,1.1,2.30215846386272e-11,2.59792187762287e-11,0,0,0,0
75,1,1.00026139733328,0.9,1.1,1.64135371960583e-12,2.44249065417534e-12,0,0,0,0
76,1,1.00024944614003,0.9,1.1,8.75388650456443e-12,2.97006863547722e-12,0,0,0,0
77,1,1.00105979056766,0.9,1.1,-8.23502579820035e-12,1.44019656263049e-11,0,0,0,0
78,2,1.00717229191319,0.9,1.1,-1.05444541986799e-11,2.48974174610339e-11,0,0,0,0
79,2,1.0076593043116,0.9,1.1,-2.72848410531878e-12,1.98951966012828e-12,0,0,0,0
80,2,1.02010653887585,0.9,1.1,1.76214598468505e-12,-1.13686837721616e-12,0,0,0,0
81,1,1.00564951985444,0.9,1.1,2.1032064978499e-12,1.04876107798191e-11,0,0,0,0
82,2,1.00975764854922,0.9,1.1,1.70530256582424e-12,-1.76214598468505e-12,0,0,0,0
9001,1,0.975962979145971,0.9,1.1,-1.42169921239168e-13,2.95906361632966e-12,0,0,0,0
