model_bus,zone,parent_pd_mw,pd_gross_mw,qd_gross_mvar,p_boundary_mw,q_boundary_mvar,pd_effective_mw,qd_effective_mvar,within_zone_allocation_weight,assumed_q_over_p
37,F,0,0,0,-198.901820796117,0,198.901820796117,0,0,0.250623624353469
38,F,0,0,0,0,0,0,0,0,0.250623624353469
39,G,0,142.690209281897,35.7615374099839,0,0,142.690209281897,35.7615374099839,0.2,0.250623624353469
40,F,0,0,0,0,0,0,0,0,0.250623624353469
41,F,809.143671,618.392286271452,95.5319043506818,0,0,618.392286271452,95.5319043506818,0.798175598482101,0.154484307892461
42,F,204.597757,156.364906816704,12.9923389916927,0,0,156.364906816704,12.9923389916927,0.201824401517899,0.0830898649587835
43,E,0,0,0,0,0,0,0,0,0.250623624353469
44,E,0,0,0,0,0,0,0,0,0.250623624353469
45,E,295.9154,437.554762389596,25.1370187581421,0,0,437.554762389596,25.1370187581421,1,0.0574488519353842
46,D,26.5861492,5.6516758679439,-9.03463764461292,0,0,5.6516758679439,-9.03463764461292,0.0303030303168461,-1.59857675063375
47,D,610.325512,129.742819910185,21.257970928501,0,0,129.742819910185,21.257970928501,0.695652174150916,0.163846993176323
48,D,0,0,0,525.099782316807,0,-525.099782316807,0,0,0.250623624353469
49,D,240.431262,51.110807778988,3.61385505784517,0,0,51.110807778988,3.61385505784517,0.274044795532238,0.0707062794521288
50,C,0,0,0,0,0,0,0,0,0.250623624353469
51,C,844.977176,384.960380611277,34.1690040463836,0,0,384.960380611277,34.1690040463836,0.472527472527473,0.0887597939095103
52,B,0,0,0,0,0,0,0,0,0.250623624353469
53,B,1066.91373,547.185315512068,128.216860493507,0,0,547.185315512068,128.216860493507,1,0.234320726194048
54,A,20,5.85481818898306,0,339.493374166181,0,-333.638555977197,0,0.00763005733397711,0
55,A,939,274.883713972755,38.6418000472882,0,0,274.883713972755,38.6418000472882,0.358231191830225,0.140575079872204
56,A,198.818159,58.2022086806663,12.8806000157627,0,0,58.2022086806663,12.8806000157627,0.0758496976102888,0.221307752879856
57,A,277.420687,81.2123842123888,-1.75644545669492,0,0,81.2123842123888,-1.75644545669492,0.105836787372066,-0.0216278031205366
58,A,97.0972405,28.4243344889731,11.1241545590678,0,0,28.4243344889731,11.1241545590678,0.0370428755992982,0.391360246741513
59,A,814.923268,238.561378605596,57.9627000709323,0,0,238.561378605596,57.9627000709323,0.3108955628816,0.24296766060679
60,A,0,0,0,0,0,0,0,0,0.250623624353469
61,A,273.952928,80.1972292889783,2.34192727559322,0,0,80.1972292889783,2.34192727559322,0.104513827372545,0.0292020970843575
62,A,0,0,0,0,0,0,0,0,0.250623624353469
63,C,0,0,0,0,0,0,0,0,0.250623624353469
64,C,165.296493,75.3068871756002,11.3896680154612,0,0,75.3068871756002,11.3896680154612,0.0924369749543922,0.151243378164109
65,C,105.188677,47.9225644006231,0,0,0,47.9225644006231,0,0.058823529313079,0
66,C,0,0,0,17.3226006778929,0,-17.3226006778929,0,0,0.250623624353469
67,C,0,0,0,7.42397171909697,0,-7.42397171909697,0,0,0.250623624353469
68,C,243.899021,111.11715513944,18.6790555453564,0,0,111.11715513944,18.6790555453564,0.136393018910436,0.168102355769604
69,C,0,0,0,0,0,0,0,0,0.250623624353469
70,C,0,0,0,0,0,0,0,0,0.250623624353469
71,C,428.846145,195.376608850413,24.1460961927777,0,0,195.376608850413,24.1460961927777,0.23981900429462,0.123587446495526
72,C,0,0,0,0,0,0,0,0,0.250623624353469
73,G,0,356.725523204741,89.4038435249596,-298.352731194175,0,655.078254398916,89.4038435249596,0.5,0.250623624353469
74,H,117.903792,196.025013967034,0,0,0,196.025013967034,0,1,0
75,G,0,0,0,12.3732861984949,0,-12.3732861984949,0,0,0.250623624353469
76,G,0,214.035313922845,53.6423061149758,0,0,214.035313922845,53.6423061149758,0.3,0.250623624353469
77,H,0,0,0,0,0,0,0,0,0.250623624353469
78,I,2311.83906,442.98075789767,114.968407333079,0,0,442.98075789767,114.968407333079,1,0.259533637259334
79,J,0,1570.80697423044,393.681337041339,0,0,1570.80697423044,393.681337041339,0.45,0.250623624353469
80,K,809.143671,1708.61364347282,52.7907992335027,367.85445454985,0,1340.75918892297,52.7907992335027,1,0.0308968615784922
81,J,0,349.068216495654,87.484741564742,359.237979802077,0,-10.1697633064227,87.484741564742,0.1,0.250623624353469
82,J,0,1570.80697423044,393.681337041339,0,0,1570.80697423044,393.681337041339,0.45,0.250623624353469
9001,G,0,0,0,0,0,0,0,0,0
9002,G,0,0,0,0,0,0,0,0,0
9003,K,0,0,0,0,0,0,0,0,0
858,G,0,0,0,0,0,0,0,0,0
774,G,0,0,0,0,0,0,0,0,0
9101,F,0,0,0,0,0,0,0,0,0
9102,F,0,0,0,0,0,0,0,0,0
9103,F,0,0,0,0,0,0,0,0,0
9104,G,0,0,0,0,0,0,0,0,0
1220,E,0,0,0,0,0,0,0,0,0
1130,J,0,0,0,0,0,0,0,0,0
557,J,0,0,0,0,0,0,0,0,0
1529,J,0,0,0,0,0,0,0,0,0
1493,J,0,0,0,0,0,0,0,0,0
601,J,0,0,0,0,0,0,0,0,0
1129,J,0,0,0,0,0,0,0,0,0
9111,J,0,0,0,0,0,0,0,0,0
9112,J,0,0,0,0,0,0,0,0,0
9113,J,0,0,0,0,0,0,0,0,0
9114,J,0,0,0,0,0,0,0,0,0
