source_bus,bus_type,vm_pu,vmin_pu,vmax_pu,p_mismatch_mw,q_mismatch_mvar,voltage_below_min_pu,voltage_above_max_pu,violated,invalid_voltage_bounds
37,1,1.00148310447415,0.9,1.1,-9.09494701772928e-13,-2.66869859544272e-12,0,0,0,0
38,1,1.00321902548281,0.9,1.1,2.27373675443232e-13,-5.87030424270552e-13,0,0,0,0
39,1,0.994473676960296,0.9,1.1,1.19371179607697e-12,2.73558953267639e-12,0,0,0,0
40,1,1.00383779792473,0.9,1.1,-1.52351211199229e-13,-4.27690527663779e-12,0,0,0,0
41,1,1.0025731760031,0.9,1.1,9.66338120633736e-13,6.25277607468888e-12,0,0,0,0
42,3,1.01408218392285,0.9,1.1,-3.97903932025656e-13,-2.88480350718601e-12,0,0,0,0
43,1,0.985396810157979,0.9,1.1,-8.5265128291212e-14,-2.45012343746964e-12,0,0,0,0
44,1,1.00237305172178,0.9,1.1,-3.12638803734444e-13,-1.38430933382949e-12,0,0,0,0
45,1,0.995118368452275,0.9,1.1,-2.27373675443232e-13,-5.32907051820075e-14,0,0,0,0
46,1,1.08603839045297,0.9,1.1,1.17239551400417e-13,-3.5527136788005e-15,0,0,0,0
47,2,1.09999874759872,0.9,1.1,2.27373675443232e-13,1.98951966012828e-13,0,0,0,0
48,2,1.09999939911662,0.9,1.1,4.9737991503207e-14,-1.13686837721616e-13,0,0,0,0
49,1,1.0852585924142,0.9,1.1,-7.105427357601e-14,1.27897692436818e-13,0,0,0,0
50,2,0.924486459799001,0.9,1.1,1.13686837721616e-13,-6.82121026329696e-13,0,0,0,0
51,2,0.961907430331078,0.9,1.1,-4.83169060316868e-13,8.5265128291212e-13,0,0,0,0
52,1,0.995777267283915,0.9,1.1,1.08835146019481e-13,2.12167906185307e-12,0,0,0,0
53,2,1.09999990956655,0.9,1.1,-2.8421709430404e-13,-6.82121026329696e-13,0,0,0,0
54,2,1.00648553147562,0.9,1.1,-3.41060513164848e-13,-7.95807864051312e-13,0,0,0,0
