interface_name,branch_key,model_branch_row,from_bus,to_bus,meter_column,sign
Dysinger_East,NPCC_S7:BRANCH_ROW:59,27,53,55,PT,1
Dysinger_East,NPCC_S7:BRANCH_ROW:222,63,54,52,PF,1
West_Central,NPCC_S7:BRANCH_ROW:55,23,50,52,PT,1
West_Central,NPCC_S7:BRANCH_ROW:56,24,51,53,PT,1
West_Central,NPCC_S7:BRANCH_ROW:60,28,53,65,PF,1
Moses_South,NPCC_S7:BRANCH_ROW:48,16,45,46,PT,1
Moses_South,NY2025:SMART_PATH:1,104,1220,48,PT,1
Moses_South,NY2025:SMART_PATH:2,105,1220,48,PT,1
Central_East,NPCC_S7:BRANCH_ROW:42,10,41,45,PT,1
Central_East,NY2025:CEEC:351,93,43,9101,PF,1
Central_East,NY2025:CEEC:352,94,43,9101,PF,1
Central_East,NY2025:CEEC:14,97,43,9102,PF,1
Central_East,NY2025:CEEC:LEGACY230:2,100,9103,44,PT,1
Total_East_proxy,NPCC_S7:BRANCH_ROW:34,2,37,39,PF,1
Total_East_proxy,NPCC_S7:BRANCH_ROW:234,69,38,39,PF,1
UPNY_ConEd,PERFORM2019:AC:651:858:1,82,73,858,PF,1
UPNY_ConEd,PERFORM2019:AC:651:858:2,83,73,858,PF,1
UPNY_ConEd,PERFORM2019:AC:651:902:1,84,73,9002,PF,1
UPNY_ConEd,PERFORM2019:AC:651:902:2,85,73,9002,PF,1
UPNY_ConEd,PERFORM2019:AC:774:900:1,91,774,77,PF,1
UPNY_ConEd,PERFORM2019:AC:900:1519:1,92,76,77,PF,1
Dunwoodie_South,NPCC_S7:BRANCH_ROW:98,60,78,82,PF,1
Dunwoodie_South,NPCC_S7:BRANCH_ROW:241,76,78,82,PF,1
Dunwoodie_South,NY2025:NYC:DELIVERY:95:1,108,78,1130,PF,1
Dunwoodie_South,NY2025:NYC:DELIVERY:240:1,110,78,557,PF,1
Dunwoodie_South,NY2025:NYC:DELIVERY:97:1,112,78,1129,PF,1
Dunwoodie_South,NY2025:NYC:DELIVERY:239:1,114,78,1129,PF,1
