scenario_id,vintage,scenario_index,timestamp,timestamp_utc,source_time_zone,dataset_split,campaign_role,actual_total_load_mw,benchmark_total_load_mw,scale_factor_gamma,load_source_id,p32_source_id,zonal_generation_observed,boundary_q_observed,sampling_intervals_equal,temporal_policy,default_campaign_interface_fit_allowed,scale_policy,scale_reference_scenario_id,scale_reference_timestamp,scale_reference_source_id,scale_reference_actual_load_mw,benchmark_peak_load_mw,interface_timestamp,boundary_timestamp,exact_timestamp_match,replacement_for_scenario_id,source_selection_basis
S1_2019_SUMMER_PEAK_PUBLIC,2019,1,2019-07-20 16:00,2019-07-20T20:00:00Z,EDT,training,historical_validation,30396.9,10902.2197987,0.358662225381536,NYISO:P58C:20190720,NYISO:P32:20190720,0,0,0,same_published_hour_label_hourly_load_and_five_minute_flow,0,fixed_year_peak,S1_2019_SUMMER_PEAK_PUBLIC,2019-07-20 16:00,NYISO:P58C:20190720,30396.9,10902.2197987,2019-07-20 16:00,2019-07-20 16:00,1,,summer max total load from July 2019 P-58C (30396.9 MW)
S2_2019_WINTER_PEAK_PUBLIC,2019,2,2019-01-21 18:00,2019-01-21T23:00:00Z,EST,training,historical_validation,24727.6,8868.85604434446,0.358662225381536,NYISO:P58C:20190121,NYISO:P32:20190121,0,0,0,same_published_hour_label_hourly_load_and_five_minute_flow,0,fixed_year_peak,S1_2019_SUMMER_PEAK_PUBLIC,2019-07-20 16:00,NYISO:P58C:20190720,30396.9,10902.2197987,2019-01-21 18:00,2019-01-21 18:00,1,,winter max total load from January 2019 P-58C (24727.6 MW)
S3_2019_SHOULDER_LIGHT_LOAD_PUBLIC,2019,3,2019-04-21 04:00,2019-04-21T08:00:00Z,EDT,training,historical_validation,11951.1,4286.40812175727,0.358662225381536,NYISO:P58C:20190421,NYISO:P32:20190421,0,0,0,same_published_hour_label_hourly_load_and_five_minute_flow,0,fixed_year_peak,S1_2019_SUMMER_PEAK_PUBLIC,2019-07-20 16:00,NYISO:P58C:20190720,30396.9,10902.2197987,2019-04-21 04:00,2019-04-21 04:00,1,,shoulder minimum total load from April 2019 P-58C (11951.1 MW)
S4_2019_HIGH_NYC_LI_LOAD_PUBLIC,2019,4,2019-07-17 16:00,2019-07-17T20:00:00Z,EDT,training,historical_validation,29319.7,10515.868849519,0.358662225381536,NYISO:P58C:20190717,NYISO:P32:20190717,0,0,0,same_published_hour_label_hourly_load_and_five_minute_flow,0,fixed_year_peak,S1_2019_SUMMER_PEAK_PUBLIC,2019-07-20 16:00,NYISO:P58C:20190720,30396.9,10902.2197987,2019-07-17 16:00,2019-07-17 16:00,1,,summer max NYC plus Long Island load from July 2019 P-58C (15816.5 MW)
S5_2019_HIGH_TOTAL_EAST_PUBLIC,2019,5,2019-07-17 08:00,2019-07-17T12:00:00Z,EDT,heldout,historical_validation,24338.6,8729.33643867104,0.358662225381536,NYISO:P58C:20190717,NYISO:P32:20190717,0,0,0,same_published_hour_label_hourly_load_and_five_minute_flow,0,fixed_year_peak,S1_2019_SUMMER_PEAK_PUBLIC,2019-07-20 16:00,NYISO:P58C:20190720,30396.9,10902.2197987,2019-07-17 08:00,2019-07-17 08:00,1,,maximum on-the-hour Total East flow from July 2019 P-32 (5781.1 MW)
S6_2019_LOW_TOTAL_EAST_PUBLIC,2019,6,2019-07-27 02:00,2019-07-27T06:00:00Z,EDT,heldout,historical_validation,16935.2,6074.01651928138,0.358662225381536,NYISO:P58C:20190727,NYISO:P32:20190727,0,0,0,same_published_hour_label_hourly_load_and_five_minute_flow,0,fixed_year_peak,S1_2019_SUMMER_PEAK_PUBLIC,2019-07-20 16:00,NYISO:P58C:20190720,30396.9,10902.2197987,2019-07-27 02:00,2019-07-27 02:00,1,,minimum on-the-hour Total East flow from July 2019 P-32 (2206.4 MW)
S1_2025_SUMMER_PEAK_PUBLIC,2025,1,2025-07-29 18:00,2025-07-29T22:00:00Z,EDT,training,2025_target,30644.9878,10902.2197987,0.355758660106238,NYISO:P58C:20250729,NYISO:P32:20250729,0,0,0,same_published_hour_label_hourly_load_and_five_minute_flow,1,fixed_year_peak,S1_2025_SUMMER_PEAK_PUBLIC,2025-07-29 18:00,NYISO:P58C:20250729,30644.9878,10902.2197987,2025-07-29 18:00,2025-07-29 18:00,1,,summer max total load from July 2025 P-58C
S2_2025_WINTER_PEAK_PUBLIC,2025,2,2025-01-22 18:00,2025-01-22T23:00:00Z,EST,training,2025_target,23521.3492,8367.92367528293,0.355758660106238,NYISO:P58C:20250122,NYISO:P32:20250122,0,0,0,same_published_hour_label_hourly_load_and_five_minute_flow,1,fixed_year_peak,S1_2025_SUMMER_PEAK_PUBLIC,2025-07-29 18:00,NYISO:P58C:20250729,30644.9878,10902.2197987,2025-01-22 18:00,2025-01-22 18:00,1,,winter max total load from January 2025 P-58C
S3_2025_SHOULDER_LIGHT_LOAD_EXACT,2025,3,2025-04-20 13:00,2025-04-20T17:00:00Z,EDT,training,2025_target,11083.2248,3942.95320450422,0.355758660106238,NYISO:P58C:20250420,NYISO:P32:20250420,0,0,0,same_published_hour_label_hourly_load_and_five_minute_flow,1,fixed_year_peak,S1_2025_SUMMER_PEAK_PUBLIC,2025-07-29 18:00,NYISO:P58C:20250729,30644.9878,10902.2197987,2025-04-20 13:00,2025-04-20 13:00,1,S3_2025_SHOULDER_LIGHT_LOAD_PUBLIC,explicit_replacement_nearest_exact_common_hour_lower_load_than_15_00_not_monthly_minimum
S4_2025_HIGH_NYC_LI_LOAD_PUBLIC,2025,4,2025-07-29 17:00,2025-07-29T21:00:00Z,EDT,training,2025_target,30414.5116,10820.2258946016,0.355758660106238,NYISO:P58C:20250729,NYISO:P32:20250729,0,0,0,same_published_hour_label_hourly_load_and_five_minute_flow,1,fixed_year_peak,S1_2025_SUMMER_PEAK_PUBLIC,2025-07-29 18:00,NYISO:P58C:20250729,30644.9878,10902.2197987,2025-07-29 17:00,2025-07-29 17:00,1,,summer max NYC plus Long Island load from July 2025 P-58C
