zone,parent_pd_mw,pd_gross_mw,old_load_share_percent,modeled_load_share_percent,NYISO_scaled_load_mw,zonal_load_error_mw
A,2621.2122825,932.3404915822148,24.04292273407071,8.551840898432332,932.340491582214,7.958078640513122e-13
B,1066.91373,636.148567337793,9.786206384567855,5.835037075785683,636.148567337793,0.0
C,1788.207512,910.8206146565215,16.4022331691866,8.354451033587933,910.820614656522,-5.684341886080801e-13
D,877.3429232000001,170.18537308686732,8.047378785232489,1.561015795215946,170.185373086867,3.126388037344441e-13
E,295.9154,444.549582437007,2.714267419514744,4.0776061265065975,444.549582437007,0.0
F,1013.741428,785.822247965843,9.298486424946967,7.207910521667752,785.822247965843,0.0
G,0.0,816.0023223786341,0.0,7.4847355625313545,816.002322378635,-9.094947017729282e-13
H,117.903792,227.774482133019,1.0814659232430726,2.0892486698917865,227.774482133019,0.0
I,2311.83906,486.15217802916,21.205214192027825,4.459203602619799,486.15217802916,0.0
J,0.0,3639.495443265132,0.0,33.383067948227456,3639.49544326512,1.2278178473934531e-11
K,809.143671,1852.92849582782,7.421824967209741,16.99588276553335,1852.92849582782,0.0
