source_bus,bus_type,vm_pu,vmin_pu,vmax_pu,p_mismatch_mw,q_mismatch_mvar,voltage_below_min_pu,voltage_above_max_pu,violated,invalid_voltage_bounds
37,1,1.08230712422268,0.9,1.1,-1.47792889038101e-12,-1.99309752729748e-11,0,0,0,0
38,1,1.08772279332589,0.9,1.1,-7.38964445190504e-13,-1.94011473553246e-12,0,0,0,0
39,1,1.07992254183074,0.9,1.1,3.15480974677484e-12,-1.72661884789704e-12,0,0,0,0
40,1,1.07478846356487,0.9,1.1,-5.91034361707104e-14,1.14797487568487e-12,0,0,0,0
41,1,1.07990523488269,0.9,1.1,1.13686837721616e-12,2.58637555816676e-12,0,0,0,0
42,3,1.09999998453623,0.9,1.1,0,2.8421709430404e-14,0,0,0,0
43,1,1.07841206848661,0.9,1.1,-4.2632564145606e-14,2.30981900273264e-11,0,0,0,0
44,1,1.05523371063507,0.9,1.1,1.35003119794419e-13,-2.51465515077598e-12,0,0,0,0
45,1,1.04195267534678,0.9,1.1,5.6843418860808e-14,-1.87938553608546e-12,0,0,0,0
46,1,1.03472966334256,0.9,1.1,-1.77635683940025e-15,1.66977542903624e-13,0,0,0,0
47,2,1.09999998520537,0.9,1.1,1.13686837721616e-13,2.30926389122033e-13,0,0,0,0
48,2,1.09999999791332,0.9,1.1,-7.56728013584507e-13,7.95807864051312e-13,0,0,0,0
49,1,1.07718326091372,0.9,1.1,2.91322521661641e-13,-7.105427357601e-15,0,0,0,0
50,2,1.09999999651192,0.9,1.1,1.13686837721616e-13,1.56319401867222e-12,0,0,0,0
51,2,1.08861699597232,0.9,1.1,-3.69482222595252e-13,-6.07514039074886e-13,0,0,0,0
52,1,1.09528987414297,0.9,1.1,-5.54775731025596e-13,6.21343258735733e-12,0,0,0,0
53,2,1.08009059914256,0.9,1.1,-1.70530256582424e-13,0,0,0,0,0
54,2,1.09145316144236,0.9,1.1,-6.82121026329696e-13,-3.24007487506606e-12,0,0,0,0
55,2,1.09616043708075,0.9,1.1,5.40012479177676e-13,-2.1600499167107e-12,0,0,0,0
56,2,1.09999998537103,0.9,1.1,1.70530256582424e-13,2.97362134915602e-12,0,0,0,0
57,2,1.09480855471916,0.9,1.1,3.74811293113453e-13,3.5527136788005e-14,0,0,0,0
58,1,1.09331915299089,0.9,1.1,1.14397380457376e-12,4.18332035678759e-12,0,0,0,0
59,1,1.08918655519928,0.9,1.1,-2.04636307898909e-12,3.51008111465489e-12,0,0,0,0
60,2,1.09999979506423,0.9,1.1,-2.77111666946439e-13,8.24340595784179e-15,0,0,0,0
61,2,1.09958579456461,0.9,1.1,1.70530256582424e-13,1.13686837721616e-13,0,0,0,0
62,1,1.09440289195239,0.9,1.1,-4.74485198733032e-13,8.97068223015214e-13,0,0,0,0
63,1,1.08887668062372,0.9,1.1,0,0,0,0,0,0
64,1,1.08355111976155,0.9,1.1,-2.55795384873636e-13,4.2454928461666e-13,0,0,0,0
65,2,1.07323438042769,0.9,1.1,3.95239396766556e-13,5.32907051820075e-15,0,0,0,0
66,1,1.0999999929551,0.9,1.1,2.55795384873636e-13,-2.45775622076394e-12,0,0,0,0
67,1,1.09552579545554,0.9,1.1,7.105427357601e-15,-2.71310751642773e-13,0,0,0,0
68,2,1.08240738863363,0.9,1.1,-2.27373675443232e-13,7.46069872548105e-13,0,0,0,0
69,1,1.09932053527468,0.9,1.1,-3.02309274013687e-13,1.5450891623181e-12,0,0,0,0
70,1,1.09474289813471,0.9,1.1,9.60112862374702e-14,4.04129869731472e-13,0,0,0,0
71,2,1.09085569554953,0.9,1.1,-9.09494701772928e-13,-1.53477230924182e-12,0,0,0,0
72,2,1.09208619700146,0.9,1.1,2.27373675443232e-13,3.80495634999534e-12,0,0,0,0
73,1,1.08377329942056,0.9,1.1,-1.30739863379858e-12,4.32009983342141e-11,0,0,0,0
74,1,1.09714769097841,0.9,1.1,-2.75690581474919e-12,-1.9728663147589e-11,0,0,0,0
75,1,1.09655144907446,0.9,1.1,-1.79056769411545e-12,-2.44249065417534e-12,0,0,0,0
76,1,1.09649293261918,0.9,1.1,7.58859641791787e-12,1.31450406115619e-12,0,0,0,0
77,1,1.09761109486456,0.9,1.1,8.29621752725279e-12,2.35504188862465e-11,0,0,0,0
78,2,1.09999999556635,0.9,1.1,-4.58744153775115e-12,-3.24007487506606e-12,0,0,0,0
79,2,1.09920230135268,0.9,1.1,1.36424205265939e-12,0,0,0,0,0
80,2,1.09719176439277,0.9,1.1,-4.54747350886464e-13,4.83169060316868e-13,0,0,0,0
81,1,1.09484061079603,0.9,1.1,-2.27373675443232e-13,5.82645043323282e-13,0,0,0,0
82,2,1.09873674761007,0.9,1.1,2.27373675443232e-12,-7.95807864051312e-13,0,0,0,0
9001,1,1.08013309355553,0.9,1.1,5.58396787426767e-13,-1.39715870188512e-13,0,0,0,0
9002,1,1.09134738725779,0.9,1.1,1.31163345552392e-11,2.82789081132559e-11,0,0,0,0
9003,1,1.09999990998924,0.9,1.1,2.38742359215394e-12,1.11022302462516e-12,0,0,0,0
858,1,1.08732625908419,0.9,1.1,-1.22867134791492e-11,-4.79945981903072e-11,0,0,0,0
774,1,1.09708158941031,0.9,1.1,-1.48045044758195e-11,-2.10227755661096e-11,0,0,0,0
