source_bus,bus_type,vm_pu,vmin_pu,vmax_pu,p_mismatch_mw,q_mismatch_mvar,voltage_below_min_pu,voltage_above_max_pu,violated,invalid_voltage_bounds
37,1,1.08200366715189,0.9,1.1,4.2632564145606e-14,-3.32481438214405e-12,0,0,0,0
38,1,1.08452609121361,0.9,1.1,3.69482222595252e-13,-4.56579218877096e-13,0,0,0,0
39,1,1.08097253109181,0.9,1.1,4.68958205601666e-13,-2.07478478841949e-12,0,0,0,0
40,1,1.07672221340023,0.9,1.1,4.6612157290901e-13,-2.27966461013518e-12,0,0,0,0
41,1,1.08369832748569,0.9,1.1,8.5265128291212e-14,4.16378043155419e-12,0,0,0,0
42,3,1.09999985273536,0.9,1.1,0,0,0,0,0,0
43,1,1.08079291914344,0.9,1.1,-1.96109795069788e-12,1.05249142734465e-11,0,0,0,0
44,1,1.07224782927539,0.9,1.1,1.13686837721616e-12,-3.6054492724702e-12,0,0,0,0
45,1,1.05883975969287,0.9,1.1,-1.70530256582424e-13,1.48148160405981e-12,0,0,0,0
46,1,1.06906795141104,0.9,1.1,6.3948846218409e-14,-2.78888023785839e-13,0,0,0,0
47,2,1.09999990674177,0.9,1.1,4.54747350886464e-13,-1.4210854715202e-14,0,0,0,0
48,2,1.09999998210251,0.9,1.1,7.105427357601e-14,7.74491581978509e-13,0,0,0,0
49,1,1.07893923899224,0.9,1.1,1.4210854715202e-13,-1.4033219031262e-13,0,0,0,0
50,2,1.0999999865793,0.9,1.1,1.25055521493778e-12,2.78532752417959e-12,0,0,0,0
51,2,1.09316288267672,0.9,1.1,-5.6843418860808e-13,8.41993141875719e-13,0,0,0,0
52,1,1.09390062360581,0.9,1.1,-2.97892370062569e-13,7.17912339618302e-13,0,0,0,0
53,2,1.08299288649555,0.9,1.1,-1.05160324892495e-12,6.53699316899292e-13,0,0,0,0
54,2,1.08759277557838,0.9,1.1,1.30739863379858e-12,-3.19744231092045e-12,0,0,0,0
55,2,1.09600226266319,0.9,1.1,9.37916411203332e-13,6.82121026329696e-13,0,0,0,0
56,2,1.0999999624848,0.9,1.1,-3.5811353882309e-12,2.07833750209829e-12,0,0,0,0
57,2,1.09570947229194,0.9,1.1,-1.54543045027822e-13,-3.23296944770846e-13,0,0,0,0
58,1,1.09378340745269,0.9,1.1,8.81072992342524e-13,-3.15658610361425e-12,0,0,0,0
59,1,1.09003441796575,0.9,1.1,-2.72848410531878e-12,1.442401753593e-12,0,0,0,0
60,2,1.09999949780369,0.9,1.1,-2.20268248085631e-13,1.29629640355233e-12,0,0,0,0
61,2,1.09999913004427,0.9,1.1,2.55795384873636e-13,3.14415160573844e-13,0,0,0,0
62,1,1.09397308843918,0.9,1.1,-4.34510646195544e-13,6.51812427685188e-13,0,0,0,0
63,1,1.08904574063819,0.9,1.1,1.6399353923272e-13,8.97660759784483e-13,0,0,0,0
64,1,1.08424909738398,0.9,1.1,1.4210854715202e-14,2.68229882749438e-13,0,0,0,0
65,2,1.07542542462065,0.9,1.1,8.86402062860725e-13,2.34479102800833e-13,0,0,0,0
66,1,1.09999998045692,0.9,1.1,-5.6843418860808e-13,3.05311331771918e-13,0,0,0,0
67,1,1.09705341981324,0.9,1.1,-5.25801624462474e-13,2.45636844198316e-12,0,0,0,0
68,2,1.08773564835656,0.9,1.1,-1.13686837721616e-13,1.31450406115619e-13,0,0,0,0
69,1,1.09761086031268,0.9,1.1,1.66766853584302e-12,-2.37070445687738e-12,0,0,0,0
70,1,1.09997044185824,0.9,1.1,2.28136921392213e-13,-3.31984205592147e-13,0,0,0,0
71,2,1.09899755070588,0.9,1.1,-2.50111042987555e-12,-7.14095449438901e-13,0,0,0,0
72,2,1.0995131814781,0.9,1.1,1.4210854715202e-12,7.31859017832903e-13,0,0,0,0
73,1,1.08629140563389,0.9,1.1,6.06803496339126e-12,4.29309920946253e-11,0,0,0,0
74,1,1.09790947047809,0.9,1.1,1.13118403533008e-11,2.25652829755063e-11,0,0,0,0
75,1,1.09796788678622,0.9,1.1,-5.6843418860808e-13,3.78863607153335e-12,0,0,0,0
76,1,1.09790925383675,0.9,1.1,2.64321897702757e-12,-5.36459765498876e-12,0,0,0,0
77,1,1.09860424111881,0.9,1.1,-1.60321012554625e-12,6.79538692227939e-12,0,0,0,0
78,2,1.09999998356847,0.9,1.1,4.65760763290746e-12,-4.60431692772545e-12,0,0,0,0
79,2,1.09912591728578,0.9,1.1,-3.41060513164848e-13,1.47792889038101e-12,0,0,0,0
80,2,1.09792937746467,0.9,1.1,-6.82121026329696e-13,-1.12265752250096e-12,0,0,0,0
81,1,1.09631991874115,0.9,1.1,-2.8421709430404e-12,-9.47864009503974e-12,0,0,0,0
82,2,1.09873710175767,0.9,1.1,-5.6843418860808e-13,2.44426701101474e-12,0,0,0,0
9001,1,1.08229824994974,0.9,1.1,-3.38099873888123e-13,-3.0574394444283e-12,0,0,0,0
9002,1,1.09296993040186,0.9,1.1,-3.61944676074581e-12,-1.82836322932252e-11,0,0,0,0
9003,1,1.09989928686965,0.9,1.1,1.10844666778576e-12,2.17048601314218e-12,0,0,0,0
858,1,1.08947117801242,0.9,1.1,-2.14708624868199e-12,-1.2198335241013e-11,0,0,0,0
774,1,1.09835600362192,0.9,1.1,-4.72420553742131e-12,1.39467031991651e-11,0,0,0,0
